school,student,gcse,lrt,girl,schgend,avslrt,schav,vrband
1,1,2.6132,6.1906,1,1,1.6617,2,1
1,2,1.3406999,2.058,1,1,1.6617,2,2
1,3,-17.239,-13.646,0,1,1.6617,2,3
1,4,9.6758995,2.058,1,1,1.6617,2,2
1,5,5.4434004,3.711,1,1,1.6617,2,2
1,6,17.348999,21.894,0,1,1.6617,2,1
1,7,10.396,-11.166,0,1,1.6617,2,3
1,8,-1.2908,-10.34,0,1,1.6617,2,2
1,9,-9.3938,-5.3806,1,1,1.6617,2,2
1,10,-12.195,-14.471999,0,1,1.6617,2,3
1,11,24.087,24.374,0,1,1.6617,2,1
1,12,6.1073,21.068,0,1,1.6617,2,1
1,13,-18.367,0.40499002,0,1,1.6617,2,2
1,14,-1.2908,11.976,0,1,1.6617,2,1
1,15,22.031,25.2,0,1,1.6617,2,1
1,16,12.405,11.15,1,1,1.6617,2,1
1,17,17.348999,10.323,1,1,1.6617,2,1
1,18,13.101,7.8436,0,1,1.6617,2,1
1,19,-6.2304997,-11.166,0,1,1.6617,2,3
1,20,10.396,-11.993,1,1,1.6617,2,3
1,21,-10.290999,-3.7276,1,1,1.6617,2,2
1,22,-12.195,-13.646,0,1,1.6617,2,3
1,23,3.2807002,-9.5132,1,1,1.6617,2,2
1,24,-4.9278,-23.564,0,1,1.6617,2,3
1,25,19.003,-0.42152,1,1,1.6617,2,2
1,26,8.9657,3.711,0,1,1.6617,2,1
1,27,0.73536,11.15,0,1,1.6617,2,1
1,28,1.9415,0.40499002,0,1,1.6617,2,2
1,29,15.061999,6.1906,1,1,1.6617,2,1
1,30,19.003,20.241001,0,1,1.6617,2,1
1,31,3.2807002,-6.2071,0,1,1.6617,2,2
1,32,8.9657,-11.166,0,1,1.6617,2,3
1,33,16.618,2.8845,0,1,1.6617,2,2
1,34,-7.7611,-1.2479999,0,1,1.6617,2,2
1,35,4.0267,3.711,0,1,1.6617,2,1
1,36,9.6758995,10.323,0,1,1.6617,2,1
1,37,4.7819,-1.2479999,0,1,1.6617,2,2
1,38,1.3406999,1.2315,0,1,1.6617,2,2
1,39,23.136002,6.1906,0,1,1.6617,2,1
1,40,-1.9761001,2.8845,0,1,1.6617,2,2
1,41,4.7819,-2.9011,0,1,1.6617,2,2
1,42,8.2199,7.8436,0,1,1.6617,2,1
1,43,10.396,-2.9011,1,1,1.6617,2,2
1,44,-5.5511,-10.34,1,1,1.6617,2,2
1,45,-13.353,-9.5132,0,1,1.6617,2,2
1,46,-5.5511,-23.564,0,1,1.6617,2,3
1,47,15.061999,7.8436,1,1,1.6617,2,1
1,48,-9.3938,-3.7276,0,1,1.6617,2,2
1,49,23.136002,7.8436,1,1,1.6617,2,1
1,50,-0.62088,-7.0336003,1,1,1.6617,2,2
1,51,-1.9761001,0.40499002,0,1,1.6617,2,2
1,52,-1.9761001,-2.9011,0,1,1.6617,2,2
1,53,20.397,16.109001,1,1,1.6617,2,1
1,54,16.618,3.711,1,1,1.6617,2,1
1,55,14.3949995,16.109001,1,1,1.6617,2,1
1,56,3.2807002,3.711,1,1,1.6617,2,1
1,57,0.73536,-0.42152,1,1,1.6617,2,2
1,58,9.6758995,-2.9011,1,1,1.6617,2,2
1,59,-10.290999,-6.2071,1,1,1.6617,2,2
1,60,17.348999,16.109001,0,1,1.6617,2,1
1,61,24.087,11.976,1,1,1.6617,2,1
1,62,-15.267,-6.2071,0,1,1.6617,2,2
1,63,14.3949995,8.6701,0,1,1.6617,2,1
1,64,15.061999,5.3640995,1,1,1.6617,2,1
1,65,18.138,4.5376,0,1,1.6617,2,1
1,66,7.4723,12.803,1,1,1.6617,2,1
1,67,-10.290999,-12.819,0,1,1.6617,2,3
1,68,-1.2908,-1.2479999,0,1,1.6617,2,2
1,69,15.792,2.058,0,1,1.6617,2,2
1,70,13.101,16.935001,0,1,1.6617,2,1
1,71,-11.186,-8.6867,1,1,1.6617,2,2
1,72,8.9657,8.6701,0,1,1.6617,2,1
1,73,2.6132,3.711,0,1,1.6617,2,2
2,1,15.792,1.2315,1,3,3.9515,3,2
2,2,12.405,7.0171,1,3,3.9515,3,1
2,3,6.1073,2.8845,1,3,3.9515,3,2
2,4,4.7819,7.0171,1,3,3.9515,3,1
2,5,-11.186,-6.2071,1,3,3.9515,3,2
2,6,17.348999,12.803,1,3,3.9515,3,1
2,7,24.087,6.1906,1,3,3.9515,3,1
2,8,29.247,9.4967,1,3,3.9515,3,1
2,9,27.018002,-4.5541,1,3,3.9515,3,2
2,10,13.101,11.976,1,3,3.9515,3,1
2,11,15.061999,10.323,1,3,3.9515,3,1
2,12,-1.2908,-12.819,1,3,3.9515,3,3
2,13,-1.2908,-5.3806,1,3,3.9515,3,2
2,14,6.1073,13.629,1,3,3.9515,3,1
2,15,31.34,10.323,1,3,3.9515,3,1
2,16,22.031,12.803,1,3,3.9515,3,1
2,17,5.4434004,3.711,1,3,3.9515,3,2
2,18,-6.2304997,-4.5541,1,3,3.9515,3,2
2,19,14.3949995,0.40499002,1,3,3.9515,3,2
2,20,10.396,-2.9011,1,3,3.9515,3,2
2,21,0.043218,-6.2071,1,3,3.9515,3,2
2,22,4.0267,7.8436,1,3,3.9515,3,1
2,23,-6.2304997,-7.8602,1,3,3.9515,3,2
2,24,13.101,19.414999,1,3,3.9515,3,1
2,25,-10.290999,-8.6867,1,3,3.9515,3,2
2,26,24.087,19.414999,1,3,3.9515,3,1
2,27,8.2199,-3.7276,1,3,3.9515,3,2
2,28,6.1073,1.2315,1,3,3.9515,3,2
2,29,27.018002,20.241001,1,3,3.9515,3,1
2,30,17.348999,19.414999,1,3,3.9515,3,1
