student,gpa1,job1,gpa2,job2,gpa3,job3,gpa4,job4,gpa5,job5,gpa6,job6,sex,highgpa,admitted
1,2.3,2,2.1,2,3.0,2,3.0,2,3.0,2,3.3,2,2,2.8,1
2,2.2,2,2.5,3,2.6,2,2.6,2,3.0,2,2.8,2,1,2.5,0
3,2.4,2,2.9,2,3.0,2,2.8,3,3.3,2,3.4,2,2,2.5,1
4,2.5,3,2.7,2,2.4,2,2.7,2,2.9,2,2.7,2,1,3.8,0
5,2.8,2,2.8,2,2.8,2,3.0,2,2.9,2,3.1,2,1,3.1,1
6,2.5,2,2.4,3,2.4,3,2.3,2,2.7,3,2.8,3,2,2.9,0
7,2.4,3,2.4,2,2.8,3,2.6,2,3.0,2,3.0,2,1,2.3,1
8,2.8,2,2.8,2,3.1,2,3.3,2,3.3,2,3.4,2,2,3.9,1
9,2.8,2,2.7,2,2.7,3,3.1,2,3.1,2,3.5,2,1,2.0,
10,2.8,2,2.8,2,3.0,2,2.7,3,3.0,2,3.0,2,1,2.8,1
11,2.6,2,2.9,3,3.2,2,3.6,2,3.6,2,3.8,2,2,3.9,
12,2.6,3,3.0,2,2.3,2,2.9,2,3.1,2,3.3,2,2,2.9,1
13,2.8,2,3.1,2,3.5,2,3.6,2,3.9,2,3.9,2,1,3.7,
14,2.4,2,3.0,2,2.9,2,3.0,2,3.3,2,3.4,2,2,3.5,1
15,2.2,2,2.7,2,2.6,3,2.6,3,2.8,3,2.8,2,1,3.6,0
16,2.5,2,2.7,2,2.8,2,2.7,2,2.8,2,2.8,2,2,2.9,0
17,2.6,2,2.2,2,2.6,2,2.5,3,2.6,3,2.8,2,1,2.4,1
18,2.4,3,2.9,2,2.0,2,2.6,2,2.5,2,2.7,3,1,2.5,0
19,2.5,2,2.3,2,3.0,2,2.9,3,2.9,2,2.9,3,2,2.3,0
20,2.8,2,2.9,2,3.2,2,3.2,2,3.4,2,3.3,2,1,3.4,
21,2.6,2,2.4,2,2.5,2,2.5,2,2.5,2,2.6,2,2,2.8,0
22,2.8,2,2.7,2,3.1,2,3.1,2,3.0,2,3.3,1,1,3.6,
23,2.8,2,3.2,2,2.8,2,3.0,2,2.9,3,3.0,2,1,2.4,1
24,2.7,2,2.9,3,3.0,2,2.7,2,2.9,3,3.0,2,2,3.9,0
25,3.5,2,3.1,2,3.0,2,3.3,2,3.4,2,3.6,2,2,3.7,
26,2.3,2,2.8,2,2.1,2,2.8,2,2.8,3,2.5,2,1,3.0,0
27,2.2,2,2.4,2,2.5,2,2.2,3,2.8,3,2.5,3,1,3.3,0
28,2.6,2,3.1,2,2.9,2,3.1,2,3.1,1,3.2,2,2,3.5,1
29,2.9,2,2.7,2,2.9,2,2.9,3,3.3,2,3.2,2,2,3.3,
30,2.9,2,3.0,2,3.2,1,3.1,2,3.2,1,3.3,2,2,2.4,1
31,2.6,2,2.2,2,2.1,3,2.4,3,2.6,3,2.8,2,2,2.0,0
32,2.8,2,2.9,2,3.0,2,3.3,2,3.4,2,3.6,2,2,3.5,
33,2.3,2,3.0,2,2.4,2,2.8,2,2.8,3,3.0,2,2,3.2,0
34,2.4,2,2.8,2,2.6,2,2.7,2,2.6,2,2.6,2,1,3.9,0
35,2.5,2,2.5,2,2.6,2,3.2,2,3.4,2,3.6,2,1,3.5,
36,2.5,2,2.9,2,3.0,2,3.2,2,3.0,2,3.5,1,1,2.9,
37,2.2,3,2.5,2,3.3,2,3.1,2,3.3,2,3.4,2,1,3.0,
38,2.9,2,3.2,2,3.2,2,3.4,2,3.6,2,3.8,2,2,2.9,
39,2.4,2,2.3,2,3.0,2,3.1,2,3.1,2,2.9,3,1,3.5,0
