grade1,grade4,essay
8,10,1
7,5,2
2,1,3
5,5,4
7,7,5
10,10,6
5,7,7
2,3,8
5,5,9
7,4,10
5,4,11
7,7,12
5,9,13
6,7,14
3,2,15
6,5,16
5,3,17
4,4,18
2,4,19
9,7,20
7,5,21
8,3,22
8,5,23
5,3,24
6,4,25
5,6,26
1,2,27
4,7,28
1,1,29
5,4,30
9,9,31
9,6,32
5,4,33
7,7,34
8,6,35
4,6,36
10,4,37
8,5,38
4,5,39
4,5,40
8,6,41
4,3,42
8,5,43
5,4,44
1,2,45
7,5,46
9,9,47
5,4,48
4,4,49
4,2,50
7,4,51
9,8,52
7,7,53
9,7,54
8,4,55
8,8,56
9,9,57
5,5,58
5,4,59
2,2,60
9,7,61
6,8,62
6,4,63
4,2,64
7,4,65
7,6,66
7,6,67
5,4,68
6,6,69
8,6,70
6,6,71
9,6,72
2,1,73
6,8,74
5,4,75
5,4,76
7,5,77
4,4,78
10,8,79
8,5,80
4,3,81
4,4,82
1,1,83
6,4,84
10,8,85
8,7,86
3,2,87
9,6,88
6,2,89
5,4,90
2,3,91
6,9,92
5,6,93
7,2,94
2,2,95
6,4,96
5,5,97
7,5,98
5,4,99
3,1,100
7,9,101
7,6,102
4,2,103
8,5,104
5,7,105
3,2,106
5,3,107
9,4,108
5,5,109
3,4,110
4,2,111
6,6,112
9,6,113
2,2,114
7,2,115
5,3,116
6,6,117
6,5,118
4,3,119
4,2,120
6,8,121
3,2,122
7,4,123
5,2,124
7,2,125
7,5,126
6,2,127
6,7,128
7,3,129
9,8,130
3,3,131
7,5,132
9,6,133
7,5,134
6,2,135
6,8,136
7,7,137
8,8,138
4,2,139
6,5,140
8,4,141
6,6,142
8,8,143
6,5,144
6,7,145
8,8,146
9,3,147
4,9,148
7,9,149
7,10,150
7,5,151
2,2,152
6,5,153
5,6,154
6,3,155
5,1,156
9,4,157
4,4,158
7,4,159
8,4,160
5,1,161
6,6,162
3,1,163
4,2,164
3,5,165
2,2,166
9,8,167
1,3,168
4,6,169
9,7,170
8,5,171
2,4,172
5,2,173
6,7,174
4,1,175
7,5,176
9,7,177
8,10,178
9,6,179
6,3,180
7,2,181
7,2,182
4,4,183
5,4,184
4,5,185
4,1,186
5,4,187
3,5,188
3,2,189
4,7,190
6,5,191
3,3,192
7,4,193
7,7,194
3,3,195
1,1,196
4,4,197
6,2,198
