id,housing,cons,section8,nonsect8,linyime,s8lint,time
1,1,1,1,0,0,0,0
1,2,1,1,0,1,1,1
1,2,1,1,0,2,2,2
1,2,1,1,0,3,3,3
2,1,1,1,0,0,0,0
2,2,1,1,0,1,1,1
2,2,1,1,0,2,2,2
2,1,1,1,0,3,3,3
3,0,1,1,0,0,0,0
3,2,1,1,0,1,1,1
3,2,1,1,0,2,2,2
3,2,1,1,0,3,3,3
4,1,1,1,0,0,0,0
4,1,1,1,0,1,1,1
4,1,1,1,0,2,2,2
4,1,1,1,0,3,3,3
5,0,1,1,0,0,0,0
5,1,1,1,0,1,1,1
5,2,1,1,0,2,2,2
5,2,1,1,0,3,3,3
6,2,1,1,0,0,0,0
6,2,1,1,0,1,1,1
6,2,1,1,0,2,2,2
6,2,1,1,0,3,3,3
7,2,1,1,0,0,0,0
7,2,1,1,0,1,1,1
7,2,1,1,0,2,2,2
7,2,1,1,0,3,3,3
8,2,1,1,0,0,0,0
8,0,1,1,0,1,1,1
8,0,1,1,0,2,2,2
8,2,1,1,0,3,3,3
9,1,1,1,0,0,0,0
9,1,1,1,0,1,1,1
9,2,1,1,0,2,2,2
9,2,1,1,0,3,3,3
10,2,1,1,0,0,0,0
11,1,1,1,0,0,0,0
11,2,1,1,0,1,1,1
11,1,1,1,0,3,3,3
12,1,1,1,0,0,0,0
12,2,1,1,0,1,1,1
12,1,1,1,0,2,2,2
12,1,1,1,0,3,3,3
13,0,1,1,0,0,0,0
13,0,1,1,0,1,1,1
13,2,1,1,0,2,2,2
14,0,1,1,0,0,0,0
14,2,1,1,0,1,1,1
14,2,1,1,0,2,2,2
14,2,1,1,0,3,3,3
15,0,1,1,0,0,0,0
15,1,1,1,0,1,1,1
15,0,1,1,0,2,2,2
15,0,1,1,0,3,3,3
16,0,1,1,0,0,0,0
17,0,1,1,0,0,0,0
17,2,1,1,0,1,1,1
17,2,1,1,0,2,2,2
17,1,1,1,0,3,3,3
18,1,1,1,0,0,0,0
18,1,1,1,0,1,1,1
18,2,1,1,0,2,2,2
18,2,1,1,0,3,3,3
19,2,1,1,0,0,0,0
19,1,1,1,0,1,1,1
19,2,1,1,0,2,2,2
19,2,1,1,0,3,3,3
20,1,1,1,0,0,0,0
20,2,1,1,0,1,1,1
20,2,1,1,0,2,2,2
20,2,1,1,0,3,3,3
21,0,1,1,0,0,0,0
21,2,1,1,0,1,1,1
21,2,1,1,0,2,2,2
21,0,1,1,0,3,3,3
22,0,1,1,0,0,0,0
22,1,1,1,0,1,1,1
22,2,1,1,0,2,2,2
22,2,1,1,0,3,3,3
23,1,1,1,0,0,0,0
23,2,1,1,0,1,1,1
23,2,1,1,0,2,2,2
23,2,1,1,0,3,3,3
24,1,1,1,0,0,0,0
24,2,1,1,0,1,1,1
24,2,1,1,0,2,2,2
24,2,1,1,0,3,3,3
25,2,1,1,0,0,0,0
25,2,1,1,0,1,1,1
25,2,1,1,0,2,2,2
25,2,1,1,0,3,3,3
26,1,1,1,0,0,0,0
26,2,1,1,0,1,1,1
26,2,1,1,0,2,2,2
26,2,1,1,0,3,3,3
27,1,1,1,0,0,0,0
27,1,1,1,0,1,1,1
27,2,1,1,0,2,2,2
28,0,1,1,0,0,0,0
28,0,1,1,0,1,1,1
28,0,1,1,0,2,2,2
28,0,1,1,0,3,3,3
29,0,1,1,0,0,0,0
