schid,stuid,ses,meanses,homework,white,parented,public,ratio,percmin,math,sex,race,sctype,cstr,scsize,urban,region
6053,1,0.85,0.6997727,1,1,4,0,18,3,50,2,4,4,3,3,1,2
6053,2,0.43,0.6997727,1,1,3,0,18,3,43,2,4,4,3,3,1,2
6053,4,-0.59,0.6997727,3,0,3,0,18,3,50,2,1,4,3,3,1,2
6053,11,1.02,0.6997727,1,1,5,0,18,3,49,2,4,4,3,3,1,2
6053,12,0.84,0.6997727,1,1,5,0,18,3,62,1,4,4,3,3,1,2
6053,13,1.32,0.6997727,1,1,6,0,18,3,43,2,4,4,3,3,1,2
6053,18,-0.12,0.6997727,1,1,3,0,18,3,42,1,4,4,3,3,1,2
6053,22,0.98,0.6997727,4,1,4,0,18,3,68,1,4,4,3,3,1,2
6053,23,0.55,0.6997727,1,0,5,0,18,3,41,1,3,4,3,3,1,2
6053,24,1.63,0.6997727,5,1,6,0,18,3,62,1,4,4,3,3,1,2
6053,25,1.29,0.6997727,1,1,6,0,18,3,69,2,4,4,3,3,1,2
6053,26,1.02,0.6997727,0,1,6,0,18,3,60,2,4,4,3,3,1,2
6053,27,0.6,0.6997727,4,1,4,0,18,3,71,1,4,4,3,3,1,2
6053,28,1.23,0.6997727,1,1,6,0,18,3,56,1,4,4,3,3,1,2
6053,32,0.82,0.6997727,1,0,6,0,18,3,47,2,3,4,3,3,1,2
6053,33,0.82,0.6997727,1,1,5,0,18,3,58,2,4,4,3,3,1,2
6053,34,0.58,0.6997727,1,1,4,0,18,3,66,1,4,4,3,3,1,2
6053,36,1.66,0.6997727,2,0,6,0,18,3,41,1,1,4,3,3,1,2
6053,39,-0.64,0.6997727,2,0,3,0,18,3,60,2,1,4,3,3,1,2
6053,42,1.48,0.6997727,2,1,6,0,18,3,69,1,4,4,3,3,1,2
6053,43,0.85,0.6997727,1,1,5,0,18,3,44,1,4,4,3,3,1,2
6053,44,0.4,0.6997727,1,1,5,0,18,3,61,2,4,4,3,3,1,2
6053,45,0.73,0.6997727,2,1,4,0,18,3,65,2,4,4,3,3,1,2
6053,53,0.44,0.6997727,6,1,4,0,18,3,67,2,4,4,3,3,1,2
6053,55,0.37,0.6997727,1,1,3,0,18,3,57,2,4,4,3,3,1,2
6053,56,0.03,0.6997727,5,1,3,0,18,3,64,2,4,4,3,3,1,2
6053,57,-0.59,0.6997727,4,1,2,0,18,3,67,2,4,4,3,3,1,2
6053,60,1.3,0.6997727,1,1,5,0,18,3,65,2,4,4,3,3,1,2
6053,63,0.71,0.6997727,1,1,5,0,18,3,70,1,4,4,3,3,1,2
6053,64,1.49,0.6997727,4,1,6,0,18,3,59,2,4,4,3,3,1,2
6053,67,0.49,0.6997727,1,1,4,0,18,3,54,1,4,4,3,3,1,2
6053,68,0.48,0.6997727,1,1,4,0,18,3,53,1,4,4,3,3,1,2
6053,69,0.76,0.6997727,3,1,6,0,18,3,58,1,4,4,3,3,1,2
