id,situation,chosen,price,cost,range,electric,gas,hybrid,highperf,medhiperf
1,1,0,4.6763,47.43,0.0,0,0,1,0,0
1,1,1,5.7209,27.43,1.3,1,0,0,1,1
1,1,0,8.796,32.41,1.2,1,0,0,0,1
1,2,1,3.3768,4.89,1.3,1,0,0,1,1
1,2,0,9.0336,30.19,0.0,0,0,1,0,1
1,2,0,5.7099,27.16,1.8,1,0,0,1,1
1,3,1,4.5534,10.72,1.2,1,0,0,0,0
1,3,0,2.1825,15.53,0.0,0,0,1,1,1
1,3,0,3.4031,60.62,0.0,0,1,0,0,0
1,4,0,0.8639,22.16,0.0,0,1,0,0,1
1,4,1,2.4063,17.74,1.9,1,0,0,0,0
1,4,0,6.9325,28.84,1.6,1,0,0,0,0
1,5,1,5.2145,39.75,0.0,0,0,1,0,1
1,5,0,4.6742,24.85,0.0,0,0,1,1,1
1,5,0,2.1282,52.72,0.0,0,1,0,0,1
1,6,0,1.7015,60.32,0.0,0,1,0,1,1
1,6,1,1.9895,64.94,0.0,0,1,0,1,1
1,6,0,6.1018,25.05,0.0,0,0,1,0,0
1,7,1,5.1026,11.17,1.7,1,0,0,1,1
1,7,0,1.1619,27.12,0.0,0,1,0,0,1
1,7,0,1.3669,47.14,0.0,0,1,0,1,1
1,8,0,6.9772,28.03,1.6,1,0,0,0,1
1,8,0,4.0561,12.15,1.5,1,0,0,1,1
1,8,1,3.3889,45.09,0.0,0,0,1,1,1
1,9,1,1.5717,39.15,0.0,0,1,0,0,1
1,9,0,2.9806,26.16,1.1,1,0,0,1,1
1,9,0,1.2731,42.81,0.0,0,1,0,0,1
1,10,0,3.8766,40.24,0.0,0,0,1,0,0
1,10,0,4.2432,29.26,0.0,0,0,1,1,1
1,10,1,3.8307,39.59,0.0,0,0,1,0,1
1,11,0,5.1275,25.38,2.0,1,0,0,1,1
1,11,1,3.7199,62.59,0.0,0,1,0,1,1
1,11,0,3.5022,61.81,0.0,0,1,0,0,0
1,12,0,7.3486,27.25,0.0,0,0,1,1,1
1,12,0,8.1766,44.08,0.0,0,0,1,0,0
1,12,1,6.1016,27.05,0.0,0,0,1,0,1
1,13,0,2.9245,30.66,0.6,1,0,0,1,1
1,13,0,4.7483,38.2,0.0,0,0,1,0,0
1,13,1,6.2512,32.2,0.0,0,0,1,1,1
1,14,0,1.5077,43.02,0.0,0,1,0,0,1
1,14,1,1.5617,39.26,0.0,0,1,0,1,1
1,14,0,3.8911,5.97,0.6,1,0,0,1,1
1,15,1,2.7326,39.75,0.0,0,1,0,1,1
1,15,0,5.2835,39.76,1.4,1,0,0,1,1
1,15,0,2.7598,69.71,0.0,0,1,0,0,1
2,16,0,4.8301,19.14,0.7,1,0,0,0,1
2,16,1,3.082,4.74,1.0,1,0,0,0,1
2,16,0,2.7147,50.98,0.0,0,1,0,1,1
2,17,0,2.7275,43.79,0.0,0,1,0,0,0
2,17,0,7.9439,8.79,1.9,1,0,0,1,1
2,17,1,2.1747,44.44,0.0,0,1,0,0,1
2,18,0,2.2576,37.79,0.0,0,0,1,0,0
2,18,0,3.5248,66.36,0.0,0,1,0,1,1
2,18,1,2.4221,14.69,2.0,1,0,0,1,1
2,19,1,1.3459,16.28,0.0,0,0,1,1,1
2,19,0,4.1603,33.49,0.0,0,0,1,0,0
2,19,0,5.6748,23.19,0.0,0,0,1,0,0
2,20,0,6.2537,30.65,1.3,1,0,0,0,0
2,20,1,2.6992,61.12,0.0,0,1,0,0,1
2,20,0,3.9192,15.02,1.3,1,0,0,1,1
2,21,0,1.1963,25.04,0.0,0,1,0,1,1
2,21,1,3.4725,32.74,0.0,0,0,1,1,1
2,21,0,2.3932,71.9,0.0,0,1,0,0,1
2,22,1,2.586,55.7,0.0,0,1,0,1,1
2,22,0,2.3671,49.5,0.0,0,1,0,0,1
2,22,0,4.4789,41.24,0.0,0,0,1,0,1
2,23,0,3.7433,26.01,0.0,0,0,1,1,1
2,23,0,1.0182,15.03,0.9,1,0,0,0,1
2,23,1,1.5739,14.9,1.6,1,0,0,1,1
2,24,0,5.7705,14.11,0.9,1,0,0,1,1
2,24,1,2.5196,70.46,0.0,0,1,0,1,1
2,24,0,2.5112,21.33,0.7,1,0,0,0,0
2,25,0,4.7238,36.78,0.0,0,0,1,0,1
2,25,1,2.6982,45.74,0.0,0,1,0,0,1
2,25,0,2.427,54.4,0.0,0,1,0,0,0
2,26,0,4.468,46.96,0.0,0,0,1,0,0
2,26,1,2.3488,40.61,0.0,0,1,0,1,1
2,26,0,3.4101,14.83,1.1,1,0,0,0,1
2,27,0,6.3534,36.4,0.8,1,0,0,0,0
2,27,1,4.1999,26.67,0.0,0,0,1,1,1
2,27,0,6.5844,40.99,1.4,1,0,0,1,1
2,28,1,1.8173,53.36,0.0,0,1,0,0,0
2,28,0,3.0817,11.78,1.1,1,0,0,1,1
2,28,0,3.6434,14.39,2.0,1,0,0,1,1
2,29,0,2.7247,34.04,0.7,1,0,0,1,1
2,29,1,2.3064,68.0,0.0,0,1,0,1,1
2,29,0,2.8424,13.24,0.9,1,0,0,0,1
2,30,1,2.3855,57.8,0.0,0,1,0,1,1
2,30,0,3.4792,14.8,0.0,0,0,1,1,1
2,30,0,6.0436,22.47,1.9,1,0,0,1,1
3,31,0,4.6869,36.7,0.0,0,0,1,0,1
3,31,1,1.511,37.82,0.0,0,1,0,0,0
3,31,0,2.4071,48.13,0.0,0,1,0,1,1
3,32,1,4.491,5.96,1.0,1,0,0,0,1
3,32,0,2.6196,58.35,0.0,0,1,0,0,0
3,32,0,0.7694,22.57,0.0,0,1,0,1,1
3,33,0,1.8398,48.17,0.0,0,1,0,0,1
3,33,0,1.8852,64.12,0.0,0,1,0,0,0
3,33,1,2.4784,5.02,1.3,1,0,0,1,1
3,34,1,5.5553,41.68,0.0,0,0,1,0,1
3,34,0,2.9555,55.39,0.0,0,1,0,0,0
3,34,0,5.173,10.34,1.4,1,0,0,0,1
3,35,1,2.6068,22.01,0.0,0,0,1,1,1
3,35,0,2.6515,57.48,0.0,0,1,0,0,0
