girl,minority,mathkind,mathgain,ses,yearstea,mathknow,housepov,mathprep,classid,schoolid,childid
1,1,448,32,0.46,1.0,,0.082,2.0,160,1,1
0,1,460,109,-0.27,1.0,,0.082,2.0,160,1,2
1,1,511,56,-0.03,1.0,,0.082,2.0,160,1,3
0,1,449,83,-0.38,2.0,-0.11,0.082,3.25,217,1,4
0,1,425,53,-0.03,2.0,-0.11,0.082,3.25,217,1,5
1,1,450,65,0.76,2.0,-0.11,0.082,3.25,217,1,6
0,1,452,51,-0.03,2.0,-0.11,0.082,3.25,217,1,7
0,1,443,66,0.2,2.0,-0.11,0.082,3.25,217,1,8
1,1,422,88,0.64,2.0,-0.11,0.082,3.25,217,1,9
0,1,480,-7,0.13,2.0,-0.11,0.082,3.25,217,1,10
0,1,502,60,0.83,2.0,-0.11,0.082,3.25,217,1,11
1,1,502,-2,0.06,1.0,-1.25,0.082,2.5,197,2,12
0,0,430,101,0.3,1.0,-1.25,0.082,2.5,197,2,13
0,0,526,30,-0.27,2.0,-0.72,0.082,2.33,211,2,14
0,0,504,65,0.74,2.0,-0.72,0.082,2.33,211,2,15
1,0,527,29,0.31,2.0,-0.72,0.082,2.33,211,2,16
1,0,462,152,1.1,2.0,-0.72,0.082,2.33,211,2,17
0,0,483,50,0.52,12.54,,0.082,2.3,307,2,18
1,1,516,60,-1.15,12.54,,0.082,2.3,307,2,19
0,1,476,74,0.0,12.54,,0.082,2.3,307,2,20
0,1,453,91,0.39,12.54,,0.082,2.3,307,2,21
0,0,494,68,-0.06,20.0,0.45,0.086,3.83,11,3,22
0,0,416,94,-0.26,20.0,0.45,0.086,3.83,11,3,23
0,0,456,120,0.64,20.0,0.45,0.086,3.83,11,3,24
1,0,445,58,-0.37,20.0,0.45,0.086,3.83,11,3,25
0,0,446,123,0.54,5.0,0.99,0.086,2.25,137,3,26
1,0,479,88,2.21,5.0,0.99,0.086,2.25,137,3,27
0,1,474,60,-0.43,19.0,1.61,0.086,3.0,145,3,28
0,0,453,152,0.41,19.0,1.61,0.086,3.0,145,3,29
0,0,494,96,0.06,19.0,1.61,0.086,3.0,145,3,30
1,0,529,57,-0.09,19.0,1.61,0.086,3.0,145,3,31
0,1,461,115,1.58,19.0,1.61,0.086,3.0,145,3,32
0,0,482,58,0.12,8.0,1.14,0.086,2.17,228,3,33
0,0,475,51,-0.35,8.0,1.14,0.086,2.17,228,3,34
0,0,464,104,0.9,8.0,1.14,0.086,2.17,228,3,35
1,1,496,65,-1.03,27.0,-1.05,0.365,2.0,48,4,36
1,1,443,64,-0.8,27.0,-1.05,0.365,2.0,48,4,37
0,1,455,59,1.04,27.0,-1.05,0.365,2.0,48,4,38
0,1,447,70,-0.3,27.0,-1.05,0.365,2.0,48,4,39
1,1,501,63,0.9,12.0,,0.365,2.0,179,4,40
0,1,434,-110,-0.37,12.0,,0.365,2.0,179,4,41
1,1,462,73,-0.03,3.0,0.22,0.511,3.75,299,5,42
0,1,444,100,-0.03,3.0,0.22,0.511,3.75,299,5,43
1,1,472,-9,-1.39,3.0,0.22,0.511,3.75,299,5,44
1,1,450,67,-1.25,3.0,0.22,0.511,3.75,299,5,45
0,1,463,58,-0.28,3.0,0.22,0.511,3.75,299,5,46
1,1,381,72,0.41,3.0,0.22,0.511,3.75,299,5,47
1,1,447,88,0.01,1.0,-0.86,0.044,1.75,254,6,48
0,0,504,115,-0.31,1.0,-0.86,0.044,1.75,254,6,49
0,1,483,62,-1.43,24.0,-0.73,0.044,4.0,286,6,50
1,0,459,42,-0.73,24.0,-0.73,0.044,4.0,286,6,51
0,0,472,88,1.31,24.0,-0.73,0.044,4.0,286,6,52
1,0,475,71,0.09,24.0,-0.73,0.044,4.0,286,6,53
0,1,468,74,0.35,24.0,-0.73,0.044,4.0,286,6,54
0,0,467,67,-0.02,24.0,-0.73,0.044,4.0,286,6,55
1,1,418,74,0.79,19.0,-0.98,0.044,2.5,291,6,56
1,1,415,87,-0.69,19.0,-0.98,0.044,2.5,291,6,57
0,1,444,83,-0.44,19.0,-0.98,0.044,2.5,291,6,58
0,1,433,93,0.29,19.0,-0.98,0.044,2.5,291,6,59
0,0,427,56,-1.3,13.0,1.53,0.148,2.33,89,7,60
1,0,428,40,-0.32,13.0,1.53,0.148,2.33,89,7,61
1,0,429,69,0.57,13.0,1.53,0.148,2.33,89,7,62
1,0,497,75,-0.03,7.0,,0.148,2.5,107,7,63
1,1,422,57,0.94,7.0,,0.148,2.5,107,7,64
1,1,487,23,-1.02,7.0,,0.148,2.5,107,7,65
0,1,435,53,-0.88,7.0,,0.148,2.5,107,7,66
