o,e,x,county
9,1.4,16,1
39,8.7,16,2
11,3.0,10,3
9,2.5,24,4
15,4.3,10,5
8,2.4,24,6
26,8.1,10,7
7,2.3,7,8
6,2.0,7,9
20,6.6,16,10
13,4.4,7,11
5,1.8,16,12
3,1.1,10,13
8,3.3,24,14
17,7.8,7,15
9,4.6,16,16
2,1.1,10,17
7,4.2,7,18
9,5.5,7,19
7,4.4,10,20
16,10.5,7,21
31,22.7,16,22
11,8.8,10,23
7,5.6,7,24
19,15.5,1,25
15,12.5,1,26
7,6.0,7,27
10,9.0,7,28
16,14.4,10,29
11,10.2,10,30
5,4.8,7,31
3,2.9,24,32
7,7.0,10,33
8,8.5,7,34
11,12.3,7,35
9,10.1,0,36
11,12.7,10,37
8,9.4,1,38
6,7.2,16,39
4,5.3,0,40
10,18.8,1,41
8,15.8,16,42
2,4.3,16,43
6,14.6,0,44
19,50.7,1,45
3,8.2,7,46
2,5.6,1,47
3,9.3,1,48
28,88.7,0,49
6,19.6,1,50
1,3.4,1,51
1,3.6,0,52
1,5.7,1,53
1,7.0,1,54
0,4.2,16,55
0,1.8,10,56
