couple,close,commit,satis,lmarr,husband
1,4,4,4,2.0,0
1,4,4,4,2.0,1
2,3,4,4,3.8333333,0
2,3,4,3,3.8333333,1
3,4,3,3,7.1666665,0
3,2,3,3,7.1666665,1
4,4,4,4,22.833334,0
4,3,3,3,22.833334,1
5,3,3,3,15.5,0
5,3,4,2,15.5,1
6,3,3,3,7.9166665,0
6,3,3,3,7.9166665,1
7,4,4,4,9.666667,0
7,4,4,3,9.666667,1
8,4,4,4,11.25,0
8,4,4,3,11.25,1
9,4,4,4,1.9166666,0
9,3,3,3,1.9166666,1
10,3,4,4,2.1666667,0
10,3,4,4,2.1666667,1
11,1,2,2,20.916666,0
11,3,3,3,20.916666,1
12,1,2,1,20.25,0
12,2,3,1,20.25,1
13,2,2,3,3.0,0
13,3,3,3,3.0,1
14,3,3,4,0.8333333,0
14,3,3,3,0.8333333,1
15,4,4,3,11.0,0
15,4,4,4,11.0,1
16,4,4,4,8.25,0
16,4,4,4,8.25,1
17,4,4,4,1.25,0
17,4,4,4,1.25,1
18,3,4,4,5.0833335,0
18,4,4,4,5.0833335,1
19,3,2,2,19.333334,0
19,2,1,1,19.333334,1
20,4,3,3,1.1666666,0
20,3,4,4,1.1666666,1
21,3,4,4,20.416666,0
21,3,4,3,20.416666,1
22,4,4,4,22.166666,0
22,4,4,4,22.166666,1
23,3,4,3,25.0,0
23,3,3,3,25.0,1
24,3,4,3,17.166666,0
24,4,4,3,17.166666,1
25,4,4,4,19.0,0
25,3,3,4,19.0,1
26,3,4,4,1.0,0
26,3,4,3,1.0,1
27,3,4,3,22.0,0
27,3,4,4,22.0,1
28,4,4,4,24.0,0
28,4,4,4,24.0,1
29,4,4,4,14.833333,0
29,4,4,4,14.833333,1
30,2,4,4,1.0,0
30,3,3,4,1.0,1
31,4,4,4,24.25,0
31,4,4,4,24.25,1
32,4,4,3,2.5833333,0
32,3,4,4,2.5833333,1
33,4,4,4,2.5,0
33,4,4,4,2.5,1
34,3,3,3,15.083333,0
34,3,4,4,15.083333,1
35,3,4,4,1.25,0
35,3,4,4,1.25,1
36,3,3,2,0.41666666,0
36,3,4,3,0.41666666,1
37,3,3,3,2.25,0
37,2,3,3,2.25,1
38,4,4,4,0.0,0
38,4,4,4,0.0,1
39,4,4,4,19.416666,0
39,3,4,4,19.416666,1
40,4,4,3,19.666666,0
40,4,4,4,19.666666,1
41,3,4,4,22.583334,0
41,4,4,4,22.583334,1
42,4,4,4,6.75,0
42,3,4,3,6.75,1
43,3,4,3,7.4166665,0
43,4,4,4,7.4166665,1
44,4,4,4,4.9166665,0
44,4,4,4,4.9166665,1
45,4,4,3,13.333333,0
45,3,3,3,13.333333,1
46,3,4,4,1.75,0
46,4,4,4,1.75,1
47,2,3,3,11.416667,0
47,2,4,3,11.416667,1
48,4,4,4,0.083333336,0
48,4,4,4,0.083333336,1
49,2,2,3,6.1666665,0
49,3,4,3,6.1666665,1
50,4,4,4,3.75,0
50,3,4,3,3.75,1
51,3,4,4,17.666666,0
51,4,4,4,17.666666,1
52,3,4,4,8.583333,0
52,4,4,4,8.583333,1
53,4,4,3,13.916667,0
53,4,4,4,13.916667,1
54,3,4,4,2.0,0
54,3,4,4,2.0,1
55,4,4,4,14.5,0
55,4,4,4,14.5,1
56,4,4,4,15.5,0
56,4,4,4,15.5,1
57,4,4,4,25.083334,0
57,4,4,4,25.083334,1
58,4,4,4,17.0,0
58,4,4,4,17.0,1
59,3,4,2,18.083334,0
59,3,4,3,18.083334,1
60,4,4,4,16.083334,0
60,4,4,4,16.083334,1
61,4,4,4,0.5,0
61,3,4,4,0.5,1
62,4,4,4,18.666666,0
62,4,4,4,18.666666,1
63,3,4,4,11.166667,0
63,4,4,4,11.166667,1
64,4,4,4,2.5833333,0
64,4,4,4,2.5833333,1
65,4,4,4,11.25,0
65,4,4,4,11.25,1
66,2,4,4,9.083333,0
66,3,3,4,9.083333,1
67,4,4,4,2.9166667,0
67,4,4,4,2.9166667,1
68,3,4,4,13.25,0
68,3,4,4,13.25,1
69,4,4,4,15.833333,0
69,3,4,3,15.833333,1
70,4,4,4,22.25,0
70,4,4,4,22.25,1
71,3,3,3,3.9166667,0
71,3,4,4,3.9166667,1
72,3,3,3,4.8333335,0
72,3,4,4,4.8333335,1
73,4,4,4,10.166667,0
73,4,4,4,10.166667,1
74,4,4,4,25.833334,0
74,4,4,4,25.833334,1
75,2,4,4,4.9166665,0
75,2,3,3,4.9166665,1
76,3,3,4,6.8333335,0
76,3,4,4,6.8333335,1
77,4,4,4,11.583333,0
77,4,4,4,11.583333,1
78,3,4,4,24.333334,0
78,2,4,2,24.333334,1
79,4,4,4,0.9166667,0
79,4,3,4,0.9166667,1
80,1,2,1,1.3333334,0
80,4,3,2,1.3333334,1
81,3,3,2,23.0,0
81,3,4,4,23.0,1
82,4,4,4,10.083333,0
82,4,4,4,10.083333,1
83,3,3,3,8.25,0
83,3,4,3,8.25,1
84,3,4,3,17.833334,0
84,3,4,3,17.833334,1
85,4,4,4,3.0833333,0
85,4,4,4,3.0833333,1
86,4,4,3,22.0,0
86,4,4,4,22.0,1
87,4,4,4,0.5833333,0
87,4,4,4,0.5833333,1
88,4,4,4,16.916666,0
88,4,4,4,16.916666,1
89,3,4,4,9.583333,0
89,3,4,4,9.583333,1
90,3,3,4,8.083333,0
90,4,4,4,8.083333,1
91,4,4,4,12.583333,0
91,4,4,4,12.583333,1
92,4,4,3,0.33333334,0
92,4,4,4,0.33333334,1
93,4,4,3,23.833334,0
93,4,4,4,23.833334,1
94,4,4,4,10.25,0
94,3,4,4,10.25,1
95,4,4,4,25.916666,0
95,4,4,4,25.916666,1
96,4,4,4,4.0,0
96,3,4,4,4.0,1
97,4,4,4,21.916666,0
97,4,4,3,21.916666,1
98,3,3,3,14.0,0
98,3,3,4,14.0,1
99,2,4,3,21.666666,0
99,4,4,4,21.666666,1
100,3,4,4,1.1666666,0
100,3,4,3,1.1666666,1
101,2,4,4,8.0,0
101,3,4,3,8.0,1
102,3,3,2,19.916666,0
102,2,3,2,19.916666,1
103,4,4,4,26.25,0
103,3,4,4,26.25,1
104,4,4,4,5.25,0
104,4,4,4,5.25,1
105,3,4,4,12.25,0
105,2,4,4,12.25,1
106,3,4,3,5.9166665,0
106,3,3,3,5.9166665,1
107,4,4,4,10.083333,0
107,4,4,4,10.083333,1
108,4,4,4,11.333333,0
108,4,4,4,11.333333,1
109,4,3,4,11.333333,0
109,4,4,4,11.333333,1
110,3,4,4,18.25,0
110,4,4,4,18.25,1
111,4,4,4,1.5833334,0
111,4,4,3,1.5833334,1
112,4,4,4,0.0,0
112,4,3,3,0.0,1
113,3,4,4,18.583334,0
113,3,3,3,18.583334,1
114,3,4,4,5.0,0
114,4,4,4,5.0,1
115,2,4,3,13.916667,0
115,2,3,3,13.916667,1
116,3,4,4,15.75,0
116,4,4,4,15.75,1
117,3,2,3,13.916667,0
117,2,2,3,13.916667,1
118,3,3,3,4.1666665,0
118,3,3,3,4.1666665,1
119,3,2,2,16.0,0
119,3,3,2,16.0,1
120,4,4,4,20.583334,0
120,4,4,4,20.583334,1
121,4,4,4,8.166667,0
121,4,4,4,8.166667,1
122,4,4,4,1.5833334,0
122,4,4,4,1.5833334,1
123,3,4,4,8.416667,0
123,4,4,3,8.416667,1
124,2,2,3,7.8333335,0
124,3,3,3,7.8333335,1
125,4,4,4,8.416667,0
125,3,4,4,8.416667,1
126,3,4,4,23.75,0
126,4,4,4,23.75,1
127,4,3,3,22.583334,0
127,4,4,4,22.583334,1
128,4,4,4,16.75,0
128,4,4,4,16.75,1
129,4,4,4,7.0833335,0
129,4,4,4,7.0833335,1
130,4,3,2,2.0,0
130,3,3,3,2.0,1
131,4,4,4,9.833333,0
131,3,4,4,9.833333,1
132,2,3,4,4.3333335,0
132,3,4,3,4.3333335,1
133,3,4,4,16.166666,0
133,3,4,4,16.166666,1
134,4,3,4,3.0,0
134,3,3,3,3.0,1
135,4,4,4,9.25,0
135,4,4,4,9.25,1
136,4,4,4,3.25,0
136,4,4,4,3.25,1
137,4,4,4,15.75,0
137,4,4,4,15.75,1
138,4,4,4,7.9166665,0
138,3,4,4,7.9166665,1
139,2,3,3,7.9166665,0
139,4,4,4,7.9166665,1
140,4,4,4,7.25,0
140,3,3,3,7.25,1
141,3,3,3,20.25,0
141,3,2,3,20.25,1
142,4,4,4,17.083334,0
142,4,4,4,17.083334,1
143,3,3,3,15.25,0
143,2,2,2,15.25,1
144,4,3,4,16.333334,0
144,3,4,4,16.333334,1
145,4,4,4,21.416666,0
