neighid,schid,attain,p7vrq,p7read,dadocc,dadunemp,daded,momed,male,deprive,dummy
675,0,0.735,21.972,12.134,2.316,0,0,0,1,-0.182,1
647,0,0.2641,-7.028,-12.866,16.196,0,0,1,0,0.206,1
650,0,-1.3276,-11.028,-31.866,-23.454,1,0,0,1,0.534,1
650,0,0.735,3.972,3.134,2.316,0,0,0,1,0.534,1
648,0,-0.1325,-2.028,0.134,-3.454,0,0,0,0,0.188,1
648,0,0.561,-5.028,-0.866,-3.454,0,0,0,0,0.188,1
665,0,-0.36,-2.028,-1.866,16.196,0,0,0,1,0.382,1
661,0,0.735,8.972,3.134,2.316,0,0,0,0,-0.402,1
675,0,-0.36,-2.028,4.134,-3.454,0,1,1,1,-0.182,1
664,0,0.9127,16.972,28.134,-3.454,0,0,1,0,-0.172,1
663,0,0.1582,-4.028,-8.866,-9.094,0,0,0,1,-0.219,1
661,0,1.5177,17.972,25.134,2.316,0,0,0,0,-0.402,1
665,0,0.2641,5.972,7.134,-11.494,1,0,0,0,0.382,1
668,0,0.0293,0.972,-11.866,2.316,0,0,0,0,-0.244,1
687,0,-0.1325,6.972,12.134,-11.494,0,0,0,1,-0.045,1
646,0,0.3917,3.972,6.134,2.316,0,0,0,0,0.632,1
648,0,-1.3276,-9.028,-15.866,-11.494,0,0,0,1,0.188,1
664,0,0.3917,8.972,8.134,-3.454,0,0,1,1,-0.172,1
667,0,2.4151,3.972,16.134,-3.454,0,0,0,0,0.15,1
666,0,-0.36,2.972,4.134,-9.094,0,0,0,0,0.337,1
687,0,-0.5812,-1.028,-3.866,-9.094,0,0,0,1,-0.045,1
671,0,0.561,0.972,-5.866,-9.094,0,0,0,0,-0.342,1
665,0,1.5177,5.972,16.134,-3.454,0,1,1,0,0.382,1
687,0,-1.3276,-15.028,-16.866,16.196,0,0,0,1,-0.045,1
667,0,0.2641,4.972,4.134,-3.454,0,0,0,1,0.15,1
659,0,2.4151,5.972,23.134,-3.454,0,0,0,1,-0.559,1
659,0,0.3917,-7.028,-5.866,16.196,0,0,0,1,-0.559,1
647,0,0.9127,-7.028,-6.866,16.196,0,0,1,0,0.206,1
662,0,0.3917,-0.028,-1.866,-11.494,0,1,1,1,0.283,1
646,0,0.9127,4.972,-1.866,-9.094,0,0,0,0,0.632,1
647,0,-1.3276,-1.028,8.134,-23.454,1,0,0,1,0.206,1
732,0,-1.3276,-7.028,-8.866,-3.454,1,0,0,0,0.223,1
688,0,0.3917,-0.028,12.134,-3.454,0,0,0,0,-0.287,1
659,0,2.4151,15.972,28.134,16.196,0,0,1,0,-0.559,1
645,0,0.3917,-3.028,3.134,-11.494,0,0,0,1,0.177,1
647,0,0.561,-11.028,7.134,-9.094,0,0,1,0,0.206,1
645,0,-0.36,8.972,-10.866,16.196,0,0,0,0,0.177,1
648,0,0.561,3.972,-3.866,-3.454,0,1,1,0,0.188,1
723,0,-1.3276,1.972,-0.866,2.316,0,0,0,1,1.257,1
647,0,-0.36,-7.028,-13.866,-3.454,0,0,0,1,0.206,1
688,0,0.2641,0.972,13.134,-11.494,0,0,0,1,-0.287,1
662,0,0.735,7.972,11.134,16.196,0,0,0,0,0.283,1
688,0,0.0293,-5.028,-12.866,16.196,0,0,0,1,-0.287,1
663,0,0.735,12.972,9.134,-3.454,0,1,1,1,-0.219,1
661,0,0.3917,-0.028,3.134,16.196,0,0,0,1,-0.402,1
687,0,0.561,2.972,-4.866,-3.454,0,0,0,0,-0.045,1
667,0,0.2641,-10.028,-1.866,-3.454,0,0,0,1,0.15,1
659,0,0.3917,8.972,21.134,16.196,0,0,0,1,-0.559,1
661,0,-0.36,-11.028,-5.866,-9.094,1,0,0,1,-0.402,1
645,0,1.5177,1.972,5.134,-3.454,0,1,1,0,0.177,1
663,0,0.9127,8.972,16.134,-3.454,0,0,0,0,-0.219,1
675,0,-1.3276,-4.028,7.134,-3.454,0,1,1,1,-0.182,1
694,0,-0.36,-3.028,4.134,-11.494,0,0,0,1,-0.187,1
687,0,-1.3276,-5.028,-4.866,-9.094,0,1,1,1,-0.045,1
687,0,-0.36,-7.028,-4.866,-3.454,0,1,1,1,-0.045,1
647,0,-1.3276,5.972,-5.866,-9.094,1,0,0,0,0.206,1
687,0,-0.36,-19.028,-21.866,-3.454,0,0,0,1,-0.045,1
669,0,-0.36,-5.028,-12.866,-3.454,0,0,0,0,0.111,1
663,0,0.9127,7.972,4.134,2.316,0,0,0,0,-0.219,1
663,0,-0.5812,-4.028,-10.866,-3.454,0,0,0,0,-0.219,1
646,0,-0.36,-17.028,-22.866,-3.454,0,0,0,1,0.632,1
667,0,-0.36,-0.028,-2.866,-9.094,0,0,0,0,0.15,1
656,0,0.735,-0.028,7.134,-11.494,0,0,0,1,0.079,1
667,0,-1.3276,-4.028,-9.866,-3.454,1,0,0,1,0.15,1
648,0,-1.3276,-10.028,-28.866,-9.094,1,0,0,1,0.188,1
668,0,-1.3276,-13.028,-21.866,-11.494,0,0,0,1,-0.244,1
651,0,-1.3276,-12.028,-11.866,-3.454,0,1,1,0,0.118,1
706,0,0.1582,-2.028,-3.866,16.196,0,1,1,1,-0.038,1
661,0,0.735,1.972,-2.866,2.316,0,0,1,1,-0.402,1
693,0,2.4151,23.972,23.134,29.226,0,1,0,1,-0.049,1
667,0,0.3917,5.972,4.134,-11.494,0,0,0,1,0.15,1
660,0,2.4151,13.972,14.134,16.196,0,1,1,1,-0.204,1
737,0,0.561,9.972,-2.866,2.316,0,1,1,0,-1.048,1
670,0,-0.36,-10.028,-13.866,-3.454,0,0,1,0,-0.353,1
652,0,-0.36,-10.028,-12.866,-3.454,0,0,0,1,-0.315,1
687,0,0.561,8.972,14.134,-9.094,0,0,1,0,-0.045,1
648,0,-0.36,-4.028,-10.866,-11.494,0,0,0,0,0.188,1
661,0,0.3917,0.972,1.134,16.196,0,1,0,1,-0.402,1
648,0,-1.3276,-7.028,-11.866,-3.454,1,0,0,0,0.188,1
695,0,-1.3276,-8.028,-15.866,-3.454,0,0,0,0,-0.557,1
647,0,0.735,-4.028,-5.866,-3.454,0,0,0,0,0.206,1
695,0,-0.1325,-2.028,4.134,16.196,0,0,0,0,-0.557,1
667,0,0.561,-4.028,-6.866,-11.494,0,1,1,1,0.15,1
725,0,0.1582,2.972,-2.866,-9.094,0,1,1,0,-0.443,1
668,0,0.9127,20.972,19.134,2.316,0,1,0,0,-0.244,1
647,0,-0.1325,0.972,10.134,-11.494,0,0,0,1,0.206,1
695,0,2.4151,3.972,9.134,16.196,0,0,0,1,-0.557,1
662,0,1.5177,20.972,28.134,2.316,0,1,1,0,0.283,1
663,0,0.0293,2.972,-7.866,-11.494,0,0,0,1,-0.219,1
650,0,-0.1325,-5.028,7.134,-3.454,0,0,0,1,0.534,1
647,0,0.561,3.972,-9.866,-3.454,0,0,0,0,0.206,1
675,0,-0.36,-5.028,-16.866,-9.094,0,1,1,1,-0.182,1
665,0,-0.36,4.972,-2.866,2.316,0,0,0,1,0.382,1
650,0,-1.3276,-6.028,-15.866,-23.454,0,0,0,1,0.534,1
646,0,-0.5812,-6.028,-3.866,16.196,0,0,0,0,0.632,1
666,0,-0.1325,3.972,10.134,-9.094,0,0,1,0,0.337,1
661,0,0.2641,-2.028,-6.866,29.226,0,1,0,1,-0.402,1
665,0,-0.1325,-3.028,-2.866,-3.454,0,1,1,0,0.382,1
699,0,0.3917,10.972,12.134,-3.454,0,1,1,1,-0.323,1
661,0,0.735,10.972,15.134,16.196,0,0,1,1,-0.402,1
690,0,-0.36,-1.028,-4.866,-3.454,0,0,0,0,0.37,1
660,0,0.735,10.972,4.134,2.316,0,0,0,0,-0.204,1
660,0,-0.5812,-11.028,-8.866,16.196,0,1,1,0,-0.204,1
660,0,-1.3276,-6.028,4.134,-9.094,1,0,0,1,-0.204,1
660,0,0.0293,-2.028,0.134,-11.494,0,0,0,1,-0.204,1
689,0,1.5177,14.972,15.134,-3.454,0,0,0,0,-0.003,1
647,0,2.4151,13.972,16.134,-3.454,0,0,0,0,0.206,1
668,0,-1.3276,8.972,11.134,-11.494,0,0,0,1,-0.244,1
654,0,-0.1325,0.972,-0.866,2.316,0,0,0,0,-0.171,1
667,0,0.735,16.972,3.134,-11.494,1,0,0,0,0.15,1
650,0,-0.36,-11.028,-21.866,-11.494,0,0,0,0,0.534,1
647,0,-0.1325,0.972,-4.866,-3.454,0,0,0,0,0.206,1
691,0,2.4151,16.972,15.134,-3.454,0,0,0,0,1.198,1
667,0,0.0293,13.972,9.134,-3.454,0,0,0,0,0.15,1
687,0,-0.1325,0.972,4.134,-9.094,0,0,1,1,-0.045,1
664,0,0.561,6.972,8.134,16.196,0,0,0,0,-0.172,1
659,0,1.1405,18.972,26.134,29.226,0,1,0,1,-0.559,1
666,0,0.0293,9.972,-1.866,16.196,0,0,0,1,0.337,1
670,0,-1.3276,-14.028,-24.866,-3.454,0,0,0,1,-0.353,1
659,0,1.1405,4.972,1.134,2.316,0,0,1,1,-0.559,1
689,0,0.3917,-4.028,3.134,-9.094,0,0,0,1,-0.003,1
681,0,-1.3276,-19.028,-21.866,2.316,0,0,0,1,-0.198,1
687,0,0.735,13.972,14.134,-3.454,0,0,0,0,-0.045,1
688,0,-0.1325,-9.028,-23.866,2.316,0,0,0,1,-0.287,1
651,0,0.561,10.972,7.134,16.196,0,1,1,0,0.118,1
