performance,program,judge,pair,pcountry,jcountry
5.6,5.6,1,1,France,Hungary
5.5,5.5,2,1,France,Norway
5.8,5.8,3,1,France,Austria
4.7,5.3,4,1,France,Finland
5.7,5.6,5,1,France,France
5.3,5.2,6,1,France,UK
5.4,5.7,7,1,France,US
5.5,5.5,1,2,US,Hungary
5.7,5.2,2,2,US,Norway
5.6,5.8,3,2,US,Austria
5.4,5.8,4,2,US,Finland
5.5,5.6,5,2,US,France
5.3,5.1,6,2,US,UK
5.7,5.8,7,2,US,US
6.0,6.0,1,3,Hungary,Hungary
5.5,5.3,2,3,Hungary,Norway
5.7,5.8,3,3,Hungary,Austria
4.9,5.0,4,3,Hungary,Finland
5.5,5.4,5,3,Hungary,France
5.2,5.1,6,3,Hungary,UK
5.7,5.3,7,3,Hungary,US
5.6,5.6,1,4,Hungary,Hungary
5.3,5.3,2,4,Hungary,Norway
5.8,5.8,3,4,Hungary,Austria
4.8,4.4,4,4,Hungary,Finland
4.5,4.5,5,4,Hungary,France
5.0,5.0,6,4,Hungary,UK
5.5,5.1,7,4,Hungary,US
4.8,5.4,1,5,Canada,Hungary
4.8,4.5,2,5,Canada,Norway
5.5,5.8,3,5,Canada,Austria
4.4,4.0,4,5,Canada,Finland
4.6,5.5,5,5,Canada,France
4.8,4.8,6,5,Canada,UK
5.2,5.5,7,5,Canada,US
4.8,5.2,1,6,Canada,Hungary
5.6,5.1,2,6,Canada,Norway
5.0,5.3,3,6,Canada,Austria
4.7,5.4,4,6,Canada,Finland
4.0,4.5,5,6,Canada,France
4.6,4.5,6,6,Canada,UK
5.2,5.0,7,6,Canada,US
4.3,4.8,1,7,US,Hungary
4.6,4.0,2,7,US,Norway
4.5,4.7,3,7,US,Austria
4.0,4.0,4,7,US,Finland
3.6,3.7,5,7,US,France
4.0,4.0,6,7,US,UK
4.8,4.8,7,7,US,US
