obsno,year,cusip,ardssic,scisect,logk,sumpat,pat,pat1,pat2,pat3,pat4,logr,logr1,logr2,logr3,logr4,logr5
1,1,800,15,0,6.0836,354,32,31,34,22,28,0.92327,1.02901,1.06678,0.94196,0.88311,0.99684
1,2,800,15,0,6.0836,354,41,32,31,34,22,1.02309,0.92327,1.02901,1.06678,0.94196,0.88311
1,3,800,15,0,6.0836,354,60,41,32,31,34,0.9724,1.02309,0.92327,1.02901,1.06678,0.94196
1,4,800,15,0,6.0836,354,57,60,41,32,31,1.095,0.9724,1.02309,0.92327,1.02901,1.06678
1,5,800,15,0,6.0836,354,77,57,60,41,32,1.07624,1.095,0.9724,1.02309,0.92327,1.02901
2,1,1030,14,1,1.97492,13,3,2,1,2,1,-1.48519,-0.68464,-0.15087,0.08434,-0.21637,-0.45815
2,2,1030,14,1,1.97492,13,2,3,2,1,2,-1.19495,-1.48519,-0.68464,-0.15087,0.08434,-0.21637
2,3,1030,14,1,1.97492,13,1,2,3,2,1,-0.60968,-1.19495,-1.48519,-0.68464,-0.15087,0.08434
2,4,1030,14,1,1.97492,13,1,1,2,3,2,-0.58082,-0.60968,-1.19495,-1.48519,-0.68464,-0.15087
2,5,1030,14,1,1.97492,13,1,1,1,2,3,-0.60915,-0.58082,-0.60968,-1.19495,-1.48519,-0.68464
3,1,2824,4,1,5.64899,493,49,58,63,61,43,3.67343,3.58542,3.52962,3.44199,3.40697,3.39054
3,2,2824,4,1,5.64899,493,42,49,58,63,61,3.77871,3.67343,3.58542,3.52962,3.44199,3.40697
3,3,2824,4,1,5.64899,493,63,42,49,58,63,3.82205,3.77871,3.67343,3.58542,3.52962,3.44199
3,4,2824,4,1,5.64899,493,77,63,42,49,58,3.88021,3.82205,3.77871,3.67343,3.58542,3.52962
3,5,2824,4,1,5.64899,493,80,77,63,42,49,3.90665,3.88021,3.82205,3.77871,3.67343,3.58542
4,1,4644,13,0,0.68377,2,0,0,1,0,0,0.43436,0.53714,0.4884,0.58779,0.48454,0.5434
4,2,4644,13,0,0.68377,2,0,0,0,1,0,0.33836,0.43436,0.53714,0.4884,0.58779,0.48454
4,3,4644,13,0,0.68377,2,1,0,0,0,1,0.36561,0.33836,0.43436,0.53714,0.4884,0.58779
4,4,4644,13,0,0.68377,2,0,1,0,0,0,0.4386,0.36561,0.33836,0.43436,0.53714,0.4884
4,5,4644,13,0,0.68377,2,0,0,1,0,0,0.42459,0.4386,0.36561,0.33836,0.43436,0.53714
5,1,7842,16,0,2.06433,12,0,8,1,2,3,-1.29773,-0.36157,-0.21752,-0.31471,-0.88895,0.39511
5,2,7842,16,0,2.06433,12,0,0,8,1,2,-1.67471,-1.29773,-0.36157,-0.21752,-0.31471,-0.88895
5,3,7842,16,0,2.06433,12,0,0,0,8,1,-2.14971,-1.67471,-1.29773,-0.36157,-0.21752,-0.31471
5,4,7842,16,0,2.06433,12,1,0,0,0,8,-1.32526,-2.14971,-1.67471,-1.29773,-0.36157,-0.21752
5,5,7842,16,0,2.06433,12,0,1,0,0,0,-2.8338,-1.32526,-2.14971,-1.67471,-1.29773,-0.36157
6,1,10202,3,0,5.98276,393,41,36,38,24,32,2.56063,2.59761,2.47475,2.42241,2.37646,2.05881
6,2,10202,3,0,5.98276,393,52,41,36,38,24,2.56625,2.56063,2.59761,2.47475,2.42241,2.37646
