schoolid,female,isei,w_fstuwt,wnrschbw,high_school,college,one_for,both_for,test_lang,pass_read,id_school,wvarstr
99102,1,37,1224.381,146.02,0,1,1,0,1,1,1,35
99102,1,77,1224.381,146.02,1,0,0,0,1,1,1,35
99102,1,53,1224.381,146.02,0,1,0,0,1,0,1,35
99102,1,30,1224.381,146.02,1,0,0,0,1,0,1,35
99102,1,70,1224.381,146.02,0,1,0,0,1,0,1,35
99102,1,39,1224.381,146.02,0,1,0,0,1,1,1,35
99102,0,34,1224.381,146.02,0,1,0,0,1,0,1,35
99102,0,51,1224.381,146.02,0,1,0,0,1,1,1,35
99102,1,23,1224.381,146.02,0,1,0,0,1,0,1,35
99102,1,59,1224.381,146.02,0,1,0,0,1,0,1,35
99102,1,56,1224.381,146.02,1,0,0,0,1,1,1,35
99102,1,43,1224.381,146.02,1,0,0,0,1,0,1,35
99102,0,49,1224.381,146.02,0,1,0,0,1,0,1,35
99102,0,53,1224.381,146.02,1,0,0,0,1,1,1,35
99102,0,70,1224.381,146.02,0,1,0,0,1,1,1,35
99102,1,28,1224.381,146.02,0,1,0,0,1,0,1,35
99104,0,52,1188.728,105.82,1,0,0,0,1,0,2,35
99104,1,33,1337.318,105.82,1,0,0,0,1,0,2,35
99104,1,43,1188.728,105.82,1,0,0,0,1,1,2,35
99104,0,67,1188.728,105.82,1,0,0,0,1,1,2,35
99104,0,69,1188.728,105.82,0,1,1,0,1,1,2,35
99104,0,23,1188.728,105.82,1,0,0,0,1,1,2,35
99104,1,70,1188.728,105.82,0,1,0,0,1,0,2,35
99104,1,42,1188.728,105.82,0,1,0,0,1,1,2,35
99104,1,33,1188.728,105.82,1,0,0,0,1,0,2,35
99104,1,50,1188.728,105.82,1,0,1,0,1,0,2,35
99104,1,64,1188.728,105.82,1,0,0,0,1,1,2,35
99104,1,30,1188.728,105.82,1,0,0,0,1,0,2,35
99104,0,57,1188.728,105.82,1,0,0,0,1,1,2,35
99104,0,50,1188.728,105.82,1,0,0,0,1,0,2,35
99104,1,71,1337.318,105.82,0,1,0,0,1,1,2,35
99104,0,29,1188.728,105.82,1,0,0,0,1,1,2,35
99104,1,29,1188.728,105.82,0,0,0,0,1,1,2,35
99105,1,56,967.2105,296.95,0,1,0,1,0,0,3,1
99105,1,67,967.2105,296.95,1,0,0,0,1,0,3,1
99105,1,38,967.2105,296.95,1,0,0,1,1,0,3,1
99105,1,40,967.2105,296.95,0,0,0,0,1,1,3,1
99105,1,77,967.2105,296.95,0,1,1,0,0,0,3,1
99105,1,23,967.2105,296.95,0,0,0,0,1,1,3,1
99105,1,69,967.2105,296.95,0,1,0,0,1,0,3,1
99105,1,25,1096.071,296.95,0,0,0,1,0,0,3,1
99105,1,34,967.2105,296.95,0,1,1,0,1,1,3,1
99105,1,23,1096.071,296.95,1,0,1,0,1,0,3,1
99105,1,29,967.2105,296.95,1,0,0,1,1,0,3,1
99105,1,23,1096.071,296.95,1,0,0,1,0,0,3,1
99109,1,52,287.0575,65.9,1,0,0,0,1,0,4,5
99109,1,45,287.0575,65.9,0,1,0,0,1,1,4,5
99109,1,25,287.0575,65.9,0,1,0,0,1,0,4,5
99109,0,23,287.0575,65.9,0,1,0,1,0,0,4,5
99109,1,30,287.0575,65.9,0,1,0,0,1,0,4,5
99109,0,67,287.0575,65.9,0,1,0,1,0,1,4,5
99109,1,67,287.0575,65.9,0,0,1,0,0,0,4,5
99109,0,57,287.0575,65.9,1,0,0,0,1,1,4,5
99109,1,30,287.0575,65.9,1,0,1,0,1,0,4,5
99109,1,77,287.0575,65.9,1,0,0,0,1,0,4,5
99110,1,34,520.9468,49.94,0,1,0,0,1,0,5,5
99110,1,24,520.9468,49.94,1,0,0,1,0,0,5,5
99110,1,30,520.9468,49.94,0,0,0,1,0,0,5,5
99110,1,29,520.9468,49.94,0,1,0,0,0,0,5,5
99110,0,30,520.9468,49.94,0,1,0,1,1,0,5,5
99110,0,26,520.9468,49.94,0,1,0,1,1,0,5,5
99110,1,26,520.9468,49.94,0,1,0,1,0,0,5,5
99113,0,34,516.0535,27.08,1,0,0,1,0,0,6,7
99113,0,30,516.0535,27.08,1,0,0,0,1,0,6,7
99113,0,30,595.1466,27.08,1,0,0,0,1,0,6,7
99113,0,68,516.0535,27.08,0,1,0,0,1,0,6,7
99113,0,24,595.1466,27.08,0,0,0,1,0,0,6,7
99113,1,53,516.0535,27.08,0,1,0,1,0,0,6,7
99113,0,39,595.1466,27.08,1,0,0,1,0,0,6,7
99113,0,37,595.1466,27.08,1,0,1,0,1,0,6,7
99113,0,34,516.0535,27.08,1,0,0,1,0,0,6,7
99113,1,53,516.0535,27.08,0,1,0,1,0,0,6,7
99116,0,34,641.114,15.41,1,0,0,0,1,0,7,8
99116,1,32,555.912,15.41,1,0,0,1,0,0,7,8
99116,0,21,555.912,15.41,1,0,0,0,1,0,7,8
99116,1,53,641.114,15.41,1,0,0,1,0,0,7,8
99116,1,30,555.912,15.41,0,0,0,1,0,0,7,8
99116,1,30,641.114,15.41,1,0,0,1,0,0,7,8
99116,1,38,641.114,15.41,0,1,0,0,0,0,7,8
99116,1,30,555.912,15.41,0,1,0,1,0,0,7,8
99116,0,19,555.912,15.41,0,0,0,1,0,0,7,8
99116,0,29,555.912,15.41,1,0,0,0,1,0,7,8
99116,1,30,555.912,15.41,1,0,0,1,0,0,7,8
99116,0,21,555.912,15.41,1,0,0,0,1,0,7,8
99119,0,56,1354.76,117.2,1,0,0,0,1,0,8,1
99119,0,38,1354.76,117.2,1,0,0,0,1,1,8,1
99119,0,69,1354.76,117.2,0,1,0,0,1,1,8,1
99119,1,67,1354.76,117.2,0,1,0,0,1,0,8,1
99119,0,68,1354.76,117.2,0,1,0,0,1,1,8,1
99119,0,51,1354.76,117.2,1,0,0,1,1,1,8,1
99119,1,69,1354.76,117.2,0,1,0,0,1,0,8,1
99119,0,56,1354.76,117.2,0,1,0,0,1,1,8,1
99119,0,34,1354.76,117.2,1,0,0,0,1,1,8,1
99119,1,71,1354.76,117.2,0,1,0,0,1,0,8,1
99119,1,70,1354.76,117.2,0,1,0,0,1,1,8,1
99119,0,71,1354.76,117.2,1,0,0,0,1,1,8,1
99119,1,56,1354.76,117.2,0,1,0,0,1,1,8,1
99119,0,59,1354.76,117.2,1,0,0,0,1,0,8,1
99119,1,54,1354.76,117.2,1,0,0,0,1,1,8,1
99120,1,51,534.0058,62.32,0,1,0,0,1,0,9,9
99120,1,33,534.0058,62.32,0,1,0,1,0,1,9,9
99120,1,69,534.0058,62.32,0,1,0,0,1,1,9,9
99120,1,59,534.0058,62.32,0,0,0,0,1,1,9,9
99120,1,66,534.0058,62.32,1,0,0,0,1,0,9,9
99120,0,43,534.0058,62.32,0,1,0,0,1,0,9,9
99120,0,30,534.0058,62.32,1,0,0,0,1,0,9,9
99120,0,53,534.0058,62.32,0,1,0,0,1,0,9,9
99123,0,30,1353.09,181.99,1,0,0,1,1,0,10,28
99123,1,56,1202.747,181.99,1,0,0,0,1,1,10,28
99123,0,29,1202.747,181.99,0,1,0,0,1,1,10,28
99123,1,69,1202.747,181.99,1,0,0,0,1,1,10,28
99123,0,50,1202.747,181.99,0,1,0,0,1,0,10,28
99123,1,51,1202.747,181.99,0,1,0,0,1,0,10,28
99123,1,71,1202.747,181.99,1,0,0,0,1,0,10,28
99123,0,67,1353.09,181.99,0,1,0,0,1,0,10,28
99123,0,38,1353.09,181.99,1,0,0,0,1,0,10,28
99123,0,30,1353.09,181.99,1,0,0,0,1,0,10,28
99123,1,29,1202.747,181.99,0,0,0,0,1,1,10,28
99123,1,77,1353.09,181.99,0,1,0,0,1,1,10,28
99123,0,54,1353.09,181.99,0,1,0,0,1,0,10,28
99123,1,21,1202.747,181.99,0,1,0,0,1,1,10,28
99123,1,23,1202.747,181.99,1,0,0,0,1,1,10,28
99123,0,44,1202.747,181.99,0,1,0,0,1,0,10,28
99123,0,30,1353.09,181.99,0,1,0,0,1,0,10,28
99123,1,50,1202.747,181.99,0,1,0,0,1,1,10,28
99123,1,70,1202.747,181.99,1,0,0,0,1,0,10,28
99123,0,71,1353.09,181.99,0,1,0,0,1,0,10,28
99123,0,23,1202.747,181.99,0,1,0,0,1,0,10,28
99123,1,25,1202.747,181.99,0,1,0,0,1,0,10,28
99125,1,29,694.7062,36.76,0,1,1,0,1,0,11,11
99125,1,21,694.7062,36.76,1,0,0,0,1,0,11,11
99125,1,51,694.7062,36.76,1,0,0,0,1,1,11,11
99125,1,71,602.382,36.76,0,1,0,1,1,0,11,11
99125,0,29,694.7062,36.76,1,0,0,1,1,0,11,11
99125,0,34,694.7062,36.76,1,0,0,0,1,0,11,11
99125,0,23,694.7062,36.76,1,0,0,0,1,0,11,11
99125,1,30,694.7062,36.76,1,0,0,0,1,0,11,11
99125,0,69,694.7062,36.76,0,1,1,0,1,1,11,11
99125,0,30,694.7062,36.76,0,1,0,0,1,0,11,11
99125,1,52,694.7062,36.76,1,0,0,0,1,0,11,11
99125,1,44,694.7062,36.76,1,0,0,0,1,0,11,11
99125,0,69,694.7062,36.76,0,1,0,0,1,0,11,11
99125,1,56,602.382,36.76,0,1,0,0,1,0,11,11
99125,1,59,694.7062,36.76,1,0,0,0,1,0,11,11
99126,0,49,1201.321,102.37,0,1,0,0,1,1,12,29
99126,0,59,1201.321,102.37,0,1,0,0,1,1,12,29
99126,1,42,1201.321,102.37,1,0,1,0,1,1,12,29
99126,1,69,1201.321,102.37,0,1,0,0,1,1,12,29
99126,0,68,1201.321,102.37,0,1,0,1,0,1,12,29
99126,1,53,1201.321,102.37,0,1,0,0,1,1,12,29
99126,0,40,1201.321,102.37,0,1,0,0,1,0,12,29
99126,1,70,1351.486,102.37,0,1,0,0,1,1,12,29
99126,0,38,1201.321,102.37,1,0,0,0,1,0,12,29
99126,0,40,1201.321,102.37,0,1,0,1,1,1,12,29
99126,1,74,1201.321,102.37,0,1,0,0,1,1,12,29
99126,1,59,1201.321,102.37,0,1,0,0,1,0,12,29
99126,1,71,1201.321,102.37,0,1,0,1,1,1,12,29
99126,0,28,1351.486,102.37,0,1,0,0,1,0,12,29
99126,0,69,1201.321,102.37,0,1,0,0,1,1,12,29
99126,1,34,1201.321,102.37,1,0,0,0,1,1,12,29
99126,1,50,1201.321,102.37,0,1,0,0,1,1,12,29
99126,1,34,1201.321,102.37,1,0,0,0,1,1,12,29
99126,1,51,1201.321,102.37,0,1,0,1,1,1,12,29
99126,0,88,1201.321,102.37,0,1,1,0,1,0,12,29
99126,1,54,1201.321,102.37,0,1,0,0,1,0,12,29
99126,1,33,1201.321,102.37,1,0,0,0,1,0,12,29
99126,0,69,1201.321,102.37,0,1,0,0,1,0,12,29
99126,0,58,1201.321,102.37,1,0,1,0,1,1,12,29
99126,0,29,1201.321,102.37,0,1,0,0,1,1,12,29
99127,1,40,316.1323,316.13,0,1,0,0,1,0,13,11
99127,1,39,316.1323,316.13,1,0,0,0,1,1,13,11
99127,0,31,316.1323,316.13,1,0,0,0,1,0,13,11
99127,1,34,316.1323,316.13,0,1,0,1,1,0,13,11
99127,0,38,316.1323,316.13,0,1,0,1,0,0,13,11
99127,0,49,316.1323,316.13,0,1,0,0,1,1,13,11
99127,1,53,316.1323,316.13,0,1,0,0,1,1,13,11
99127,1,53,316.1323,316.13,0,1,0,0,1,0,13,11
99129,1,16,949.0488,180.92,1,0,0,0,1,0,14,33
99129,0,29,949.0488,180.92,1,0,0,0,1,0,14,33
99129,1,30,949.0488,180.92,0,1,0,0,1,0,14,33
99131,1,30,708.1446,37.14,1,0,0,0,1,0,15,33
99131,1,16,708.1446,37.14,1,0,0,0,1,0,15,33
99131,0,34,708.1446,37.14,0,1,0,0,1,0,15,33
99131,0,23,708.1446,37.14,1,0,0,0,1,0,15,33
99131,1,21,614.0344,37.14,1,0,0,0,1,0,15,33
99131,1,51,614.0344,37.14,0,1,1,0,1,0,15,33
99131,1,42,708.1446,37.14,0,1,0,0,1,0,15,33
99131,1,43,708.1446,37.14,1,0,0,0,1,0,15,33
99131,0,23,708.1446,37.14,0,0,0,0,1,0,15,33
99131,1,29,708.1446,37.14,0,0,0,0,1,0,15,33
99132,0,70,1680.006,86.01,0,1,0,0,1,1,16,33
99132,0,49,1890.007,86.01,0,1,0,0,1,1,16,33
99132,0,71,1680.006,86.01,0,1,0,0,1,0,16,33
99132,0,29,1890.007,86.01,1,0,0,0,1,1,16,33
99132,1,40,1680.006,86.01,1,0,0,0,1,1,16,33
99132,1,57,1680.006,86.01,0,1,0,0,1,1,16,33
99132,1,70,1680.006,86.01,0,1,0,0,1,1,16,33
99132,0,58,1680.006,86.01,0,1,0,0,1,0,16,33
99132,0,34,1680.006,86.01,1,0,1,0,1,1,16,33
99132,0,56,1680.006,86.01,1,0,0,0,1,0,16,33
99132,1,69,1680.006,86.01,0,1,0,0,1,1,16,33
99132,0,68,1680.006,86.01,0,1,0,0,1,1,16,33
99132,1,61,1680.006,86.01,1,0,0,0,1,1,16,33
99132,0,67,1680.006,86.01,0,1,0,0,1,1,16,33
99132,1,30,1680.006,86.01,1,0,0,0,1,1,16,33
99132,0,69,1680.006,86.01,0,1,0,0,1,1,16,33
99132,1,77,1680.006,86.01,0,1,0,0,1,1,16,33
99132,1,66,1680.006,86.01,0,1,0,0,1,1,16,33
99132,1,51,1680.006,86.01,1,0,0,0,1,0,16,33
99132,0,29,1680.006,86.01,1,0,0,0,1,1,16,33
99132,1,56,1890.007,86.01,1,0,0,0,1,0,16,33
99135,1,54,130.3095,34.13,0,1,0,0,1,1,17,34
99135,0,56,130.3095,34.13,0,1,0,0,1,1,17,34
99135,0,56,130.3095,34.13,0,1,0,0,1,0,17,34
99135,0,35,130.3095,34.13,0,0,0,1,0,0,17,34
99135,0,44,130.3095,34.13,1,0,0,1,0,0,17,34
99135,1,29,130.3095,34.13,1,0,0,0,1,0,17,34
99135,1,38,130.3095,34.13,0,1,0,1,0,0,17,34
99139,0,21,448.7549,54.63,0,1,0,0,1,0,18,34
99139,1,52,448.7549,54.63,1,0,0,0,1,0,18,34
99139,0,37,389.1167,54.63,0,1,1,0,1,0,18,34
99139,1,33,448.7549,54.63,0,1,0,0,1,1,18,34
99139,1,37,448.7549,54.63,0,1,0,0,1,0,18,34
99139,1,50,448.7549,54.63,0,1,0,0,1,1,18,34
99139,0,30,448.7549,54.63,1,0,0,0,1,0,18,34
99139,0,34,448.7549,54.63,0,1,0,0,1,1,18,34
99139,0,53,448.7549,54.63,1,0,0,0,1,0,18,34
99139,0,33,389.1167,54.63,0,1,0,0,1,0,18,34
99139,0,26,448.7549,54.63,1,0,0,0,1,1,18,34
99139,0,54,389.1167,54.63,0,1,0,0,1,0,18,34
