stops,pop,arrests,precinct,eth,crime,totp,prblack,prhisp
75,1720,191,1,1,1,26942,0.063840844,0.05077574
36,1720,57,1,1,2,26942,0.063840844,0.05077574
74,1720,599,1,1,3,26942,0.063840844,0.05077574
17,1720,133,1,1,4,26942,0.063840844,0.05077574
37,1368,62,1,2,1,26942,0.063840844,0.05077574
39,1368,27,1,2,2,26942,0.063840844,0.05077574
23,1368,149,1,2,3,26942,0.063840844,0.05077574
3,1368,57,1,2,4,26942,0.063840844,0.05077574
26,23854,135,1,3,1,26942,0.063840844,0.05077574
32,23854,16,1,3,2,26942,0.063840844,0.05077574
10,23854,107,1,3,3,26942,0.063840844,0.05077574
13,23854,123,1,3,4,26942,0.063840844,0.05077574
73,2596,227,2,1,1,18819,0.1379457,0.363675
37,2596,56,2,1,2,18819,0.1379457,0.363675
9,2596,246,2,1,3,18819,0.1379457,0.363675
13,2596,224,2,1,4,18819,0.1379457,0.363675
77,6844,153,2,2,1,18819,0.1379457,0.363675
40,6844,64,2,2,2,18819,0.1379457,0.363675
16,6844,78,2,2,3,18819,0.1379457,0.363675
11,6844,262,2,2,4,18819,0.1379457,0.363675
18,9379,102,2,3,1,18819,0.1379457,0.363675
14,9379,23,2,3,2,18819,0.1379457,0.363675
9,9379,137,2,3,3,18819,0.1379457,0.363675
30,9379,169,2,3,4,18819,0.1379457,0.363675
293,2092,281,3,1,1,62029,0.03372616,0.05856938
245,2092,110,3,1,2,62029,0.03372616,0.05856938
112,2092,384,3,1,3,62029,0.03372616,0.05856938
102,2092,1413,3,1,4,62029,0.03372616,0.05856938
131,3633,123,3,2,1,62029,0.03372616,0.05856938
149,3633,35,3,2,2,62029,0.03372616,0.05856938
99,3633,119,3,2,3,62029,0.03372616,0.05856938
62,3633,350,3,2,4,62029,0.03372616,0.05856938
110,56304,205,3,3,1,62029,0.03372616,0.05856938
88,56304,39,3,3,2,62029,0.03372616,0.05856938
116,56304,188,3,3,3,62029,0.03372616,0.05856938
