state,region,year,public,hwy,water,other,private,gsp,emp,unemp
1,6,1970,15032.67,8.899158,7.4119673,8.708012,10.48553,10.254778,6.9182005,4.7
1,6,1971,15501.94,8.926111,7.4506726,8.741134,10.526746,10.287899,6.929419,5.2
1,6,1972,15972.41,8.957436,7.4757643,8.77063,10.562827,10.351469,6.977561,4.7
1,6,1973,16406.26,8.975587,7.4630246,8.818214,10.598733,10.417209,7.034828,3.9
1,6,1974,16762.67,8.990382,7.4586763,8.853992,10.646789,10.426706,7.064588,5.5
1,6,1975,17316.26,9.006783,7.4686675,8.910013,10.691301,10.4224,7.0522017,7.7
1,6,1976,17732.86,9.015322,7.4953976,8.9496155,10.8242,10.484697,7.0958934,6.8
1,6,1977,18111.93,9.031892,7.520294,8.974764,10.841246,10.531109,7.146142,7.4
1,6,1978,18479.74,9.049072,7.58096,8.98827,10.870548,10.595735,7.1978097,6.3
1,6,1979,18881.49,9.064228,7.641041,9.006873,10.90643,10.620815,7.2167096,7.1
1,6,1980,19012.34,9.0668745,7.667869,9.013148,10.943573,10.60609,7.212368,8.8
1,6,1981,19118.52,9.062864,7.7047715,9.020485,10.941676,10.623885,7.2060804,11.0
1,6,1982,19118.25,9.064753,7.703387,9.018848,10.968573,10.604801,7.179689,14.0
1,6,1983,19122.0,9.0609665,7.710165,9.021433,10.983494,10.651241,7.1920314,14.0
1,6,1984,19257.47,9.066001,7.712068,9.031976,10.992838,10.717036,7.235403,11.0
1,6,1985,19433.36,9.07409,7.7200313,9.042406,11.013502,10.754685,7.2633996,8.9
1,6,1986,19723.37,9.08401,7.7445655,9.05965,11.028886,10.787441,7.2884493,9.8
2,8,1970,10148.42,8.424378,7.3950276,8.2849455,10.068408,9.867238,6.30518,4.4
2,8,1971,10560.54,8.455737,7.394702,8.350248,10.123619,9.954181,6.365439,4.7
2,8,1972,10977.53,8.486288,7.3868303,8.415185,10.168105,10.055737,6.471264,4.2
2,8,1973,11598.26,8.509858,7.4072447,8.514574,10.214812,10.136344,6.571583,4.1
2,8,1974,12129.06,8.531368,7.425358,8.590386,10.269153,10.154168,6.6147256,5.6
2,8,1975,12929.06,8.549353,7.4758325,8.699643,10.31703,10.123225,6.5918107,12.0
2,8,1976,13603.89,8.565949,7.5550838,8.770847,10.288211,10.167427,6.6316066,9.8
2,8,1977,14175.42,8.58643,7.587554,8.831055,10.31137,10.24388,6.69617,8.2
2,8,1978,14812.04,8.607034,7.6198716,8.89614,10.346232,10.34374,6.797271,6.1
2,8,1979,15547.62,8.631079,7.6650457,8.963418,10.385217,10.432438,6.8874507,5.1
2,8,1980,16344.9,8.651791,7.680471,9.042972,10.427326,10.454725,6.921658,6.7
2,8,1981,17088.3,8.668377,7.7255154,9.10574,10.501971,10.470051,6.947745,6.1
2,8,1982,17650.57,8.685839,7.773679,9.143652,10.527609,10.422371,6.93712,9.9
2,8,1983,18108.24,8.702821,7.829384,9.16691,10.5408535,10.490246,6.9826775,9.1
2,8,1984,18792.09,8.716282,7.8535194,9.22186,10.553988,10.596885,7.0748787,5.0
2,8,1985,19414.85,8.745524,7.914753,9.249077,10.577626,10.677062,7.153521,6.5
2,8,1986,20212.42,8.787739,7.9804173,9.281346,10.696236,10.737657,7.198782,6.9
3,7,1970,7613.26,8.20186,6.469235,8.1078825,9.89089,9.641603,6.2845073,5.0
3,7,1971,7982.03,8.212555,6.479477,8.200684,9.934815,9.691346,6.3117347,5.4
3,7,1972,8309.01,8.237493,6.5050364,8.258544,9.9639,9.781433,6.365611,4.6
3,7,1973,8399.59,8.26739,6.539239,8.246187,9.982946,9.842941,6.420809,4.1
3,7,1974,8512.05,8.290541,6.5884037,8.242609,10.027289,9.867187,6.462561,4.8
3,7,1975,8651.26,8.306882,6.610023,8.257671,10.065576,9.8534565,6.4358296,9.5
3,7,1976,8921.91,8.339357,6.635133,8.287812,10.171933,9.917242,6.49224,7.1
3,7,1977,9234.85,8.370205,6.676504,8.32477,10.193052,9.971613,6.5447745,6.6
3,7,1978,9374.54,8.39065,6.7105355,8.330348,10.2193365,10.045985,6.5967364,6.4
3,7,1979,9554.83,8.408094,6.7560368,8.345788,10.253941,10.064798,6.6192727,6.2
3,7,1980,9705.24,8.418777,6.791682,8.362521,10.291349,10.052339,6.6097536,7.6
3,7,1981,9872.87,8.435705,6.8207583,8.37735,10.349325,10.091377,6.6067853,9.1
3,7,1982,9919.35,8.451374,6.808951,8.373769,10.373764,10.063137,6.57939,9.8
3,7,1983,9861.76,8.447346,6.8396263,8.358183,10.385469,10.102953,6.6084056,10.0
3,7,1984,9754.55,8.445561,6.8401184,8.334611,10.39285,10.185352,6.65955,8.9
3,7,1985,9675.47,8.442319,6.853341,8.316088,10.411192,10.209464,6.68098,8.7
3,7,1986,9787.2,8.445205,6.8676205,8.336592,10.400903,10.245942,6.7017145,8.7
4,9,1970,128545.36,10.668056,9.789044,11.123532,12.059843,12.483451,8.84595,7.2
4,9,1971,132263.33,10.709257,9.822713,11.142542,12.105502,12.489747,8.841738,8.8
4,9,1972,134451.52,10.737386,9.842347,11.150408,12.142003,12.546676,8.88321,7.6
4,9,1973,135988.4,10.759274,9.856633,11.153954,12.173218,12.590433,8.938781,7.0
4,9,1974,136827.3,10.770011,9.857065,11.158562,12.226348,12.606217,8.966267,7.7
4,9,1975,138487.39,10.772675,9.886063,11.172313,12.270065,12.626486,8.967912,9.9
4,9,1976,139514.19,10.769929,9.920671,11.178835,12.310247,12.676577,9.006289,9.2
4,9,1977,139910.22,10.760835,9.952966,11.181051,12.330696,12.73092,9.059483,8.2
4,9,1978,139408.84,10.7466135,9.978449,11.175767,12.362804,12.792756,9.126937,7.1
4,9,1979,140217.31,10.739272,10.012221,11.181466,12.404006,12.834489,9.176225,6.2
4,9,1980,139776.97,10.727616,10.040024,11.173994,12.450218,12.848508,9.195105,6.8
4,9,1981,139662.44,10.715371,10.055838,11.175047,12.565154,12.843802,9.208869,7.4
4,9,1982,139232.39,10.703031,10.064859,11.173802,12.604325,12.828102,9.191188,9.9
4,9,1983,138535.66,10.692562,10.078645,11.1659155,12.628756,12.875255,9.206915,9.7
4,9,1984,138101.55,10.687994,10.079176,11.162427,12.650785,12.949259,9.266153,7.8
4,9,1985,138170.94,10.682038,10.090852,11.163132,12.689532,13.003764,9.30374,7.2
4,9,1986,139042.69,10.677074,10.110189,11.17184,12.804304,13.048824,9.328835,6.7
5,8,1970,11402.52,8.390089,7.6801896,8.483487,10.073642,10.153818,6.62034,4.4
5,8,1971,11682.06,8.419695,7.680734,8.513251,10.134075,10.216143,6.668228,4.0
5,8,1972,12010.91,8.467497,7.6655145,8.540878,10.166243,10.29634,6.767803,3.6
5,8,1973,12473.28,8.513629,7.699131,8.572561,10.21784,10.386438,6.8416157,3.4
5,8,1974,12964.14,8.545534,7.74608,8.613942,10.266856,10.405444,6.8666205,3.8
5,8,1975,13483.92,8.560848,7.809655,8.665014,10.3069315,10.422073,6.8705726,6.9
5,8,1976,14090.24,8.578872,7.870017,8.724942,10.453944,10.469455,6.9111495,5.9
5,8,1977,14736.89,8.605898,7.9183774,8.783517,10.4664135,10.530201,6.96423,6.2
5,8,1978,15240.49,8.630252,7.9682918,8.8179035,10.4971895,10.6096,7.0475173,5.6
5,8,1979,15711.11,8.649272,8.032156,8.843146,10.536744,10.667024,7.104965,4.8
5,8,1980,16272.57,8.659888,8.093918,8.886159,10.580251,10.689396,7.1317782,5.9
5,8,1981,16692.71,8.669145,8.178734,8.896703,10.728999,10.707617,7.1664205,5.5
5,8,1982,17027.51,8.673516,8.221221,8.917641,10.758127,10.720002,7.182808,7.7
5,8,1983,17388.99,8.6789465,8.268439,8.937518,10.773192,10.747702,7.190827,6.6
5,8,1984,17785.25,8.689936,8.294122,8.967268,10.7866955,10.806328,7.245869,5.6
5,8,1985,18327.11,8.709052,8.331603,9.00166,10.815636,10.836045,7.2574964,5.9
5,8,1986,18889.54,8.724012,8.375685,9.036047,10.76817,10.854778,7.2501388,7.4
6,1,1970,15865.66,8.886981,7.6998878,8.767239,10.089235,10.568235,7.087991,5.6
6,1,1971,16559.99,8.897305,7.78607,8.830676,10.132511,10.558803,7.0598755,8.9
6,1,1972,17346.79,8.910243,7.879496,8.895191,10.173193,10.597559,7.0820446,8.2
6,1,1973,17803.12,8.921607,7.9161363,8.931927,10.214715,10.649156,7.1218176,5.7
6,1,1974,18225.2,8.929402,7.965893,8.961039,10.269273,10.641297,7.1420364,6.2
6,1,1975,18686.78,8.934002,8.015436,8.996392,10.319104,10.593379,7.1093893,9.1
6,1,1976,18871.06,8.934237,8.040489,9.0093975,10.226601,10.629247,7.122625,9.5
6,1,1977,18798.54,8.922888,8.060512,9.003305,10.249497,10.668397,7.1564107,7.0
6,1,1978,18566.24,8.902739,8.069038,8.98971,10.282165,10.710945,7.2049665,5.3
6,1,1979,18487.06,8.892071,8.100143,8.9769,10.323823,10.73657,7.242798,5.1
6,1,1980,18385.98,8.880725,8.127776,8.96274,10.368607,10.735288,7.2631893,5.9
6,1,1981,18271.34,8.868392,8.130595,8.958112,10.370225,10.7663145,7.2714953,6.2
6,1,1982,18030.08,8.856098,8.12324,8.9412985,10.4032755,10.763018,7.26529,6.9
6,1,1983,17739.88,8.847836,8.111604,8.915654,10.424319,10.831589,7.276902,6.0
6,1,1984,17494.36,8.837933,8.101811,8.896067,10.446954,10.917213,7.3267946,4.6
6,1,1985,17317.13,8.833702,8.105624,8.87381,10.48616,10.972722,7.3539143,4.9
6,1,1986,17290.61,8.836103,8.106077,8.867558,10.606913,11.030849,7.3803806,3.8
7,5,1970,4250.95,7.6396184,5.4563036,7.569293,8.717378,8.8338995,5.3789754,4.8
7,5,1971,4405.91,7.63855,5.4402943,7.649059,8.757976,8.909101,5.4156556,5.7
7,5,1972,4560.71,7.652213,5.4535675,7.706082,8.795226,8.9655905,5.44846,4.7
7,5,1973,4725.12,7.661941,5.648411,7.747338,8.83813,9.059982,5.4781356,4.6
7,5,1974,4927.52,7.6941605,5.7817307,7.7864313,8.890664,8.958926,5.4514675,6.0
7,5,1975,4988.37,7.6950574,5.8570185,7.800257,8.93906,8.939188,5.4376445,9.7
7,5,1976,4959.87,7.6785207,5.8822074,7.799696,8.9497795,8.994793,5.4667935,8.9
7,5,1977,4958.47,7.677377,5.9917393,7.782978,8.967728,9.025576,5.4756265,8.4
7,5,1978,4954.21,7.66617,6.0889316,7.7741747,8.999737,9.034796,5.512622,7.5
7,5,1979,4936.91,7.6515527,6.178172,7.7625494,9.040258,9.031214,5.5479083,8.0
7,5,1980,4868.74,7.635898,6.191053,7.7446303,9.083799,9.011889,5.5576,7.7
7,5,1981,4825.97,7.6256633,6.1973195,7.7338586,9.110467,9.029298,5.5576,7.9
7,5,1982,4786.37,7.6201067,6.189844,7.7230406,9.140746,9.040145,5.5576,8.5
7,5,1983,4768.17,7.615678,6.178919,7.721318,9.157653,9.091894,5.5838723,8.1
7,5,1984,4743.86,7.619361,6.1806374,7.706748,9.172702,9.142811,5.6347895,6.2
7,5,1985,4731.49,7.622478,6.195792,7.694939,9.202433,9.179778,5.6815367,5.3
