dur,event,undgrad,phdmed,phdprest,art1,art2,art3,art4,art5,art6,art7,art8,art9,art10,cit1,cit2,cit3,cit4,cit5,cit6,cit7,cit8,cit9,cit10,prest1,prest2,jobtime,id
10,0,7.0,0,2.21,0,0,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,2.36,2.36,,1
4,1,6.0,0,2.21,8,10,14,18,,,,,,,27,44,57,63,,,,,,,1.84,2.88,3,2
4,0,4.95,0,2.21,0,0,0,2,,,,,,,0,0,0,2,,,,,,,2.4,2.4,,3
10,0,2.0,1,4.54,2,3,3,3,3,4,6,6,6,6,11,17,17,17,17,20,24,24,24,24,2.56,2.56,,4
7,1,5.0,1,2.15,1,1,1,2,2,3,5,,,,14,14,14,19,19,20,23,,,,2.4,2.4,,5
6,1,4.95,0,4.54,0,2,3,5,5,6,,,,,0,0,2,6,6,11,,,,,3.36,3.36,,6
10,0,6.0,1,4.54,5,5,5,5,5,5,5,6,6,6,29,29,29,29,29,29,29,31,31,31,2.88,1.94,4,7
6,1,4.0,1,2.96,3,4,7,8,8,9,,,,,19,26,37,45,45,56,,,,,2.2,2.2,,8
4,0,4.0,1,1.63,8,8,10,11,,,,,,,41,41,67,70,,,,,,,3.2,3.2,,9
5,1,5.0,1,2.96,0,1,1,1,2,,,,,,0,0,0,0,5,,,,,,2.72,2.72,,10
6,1,5.0,1,1.63,8,10,12,18,20,24,,,,,28,54,64,132,167,189,,,,,2.11,2.11,,11
6,0,4.95,1,2.86,6,9,12,14,21,25,,,,,36,39,52,64,105,127,,,,,3.2,3.2,,12
7,1,5.0,1,3.36,11,17,18,19,20,23,32,,,,62,91,101,106,107,119,165,,,,3.68,3.68,,13
6,1,4.95,1,4.54,1,1,2,3,8,10,,,,,13,13,14,14,44,53,,,,,3.68,3.68,,14
5,1,5.0,1,3.54,12,13,14,15,17,,,,,,140,142,146,151,162,,,,,,2.12,2.12,,15
4,1,5.0,1,4.54,0,0,0,1,,,,,,,0,0,0,1,,,,,,,1.94,1.94,,16
7,0,5.0,0,3.69,1,3,3,3,3,3,4,,,,31,66,66,66,66,66,67,,,,2.72,2.72,,17
7,1,5.0,1,2.32,1,1,1,1,2,5,5,,,,3,3,3,3,6,24,24,,,,2.52,2.52,,18
5,1,5.0,1,1.95,5,7,8,10,13,,,,,,115,136,143,191,244,,,,,,3.52,3.52,,19
5,1,6.0,1,1.86,3,4,7,7,8,,,,,,17,21,40,40,52,,,,,,1.79,1.79,,20
3,1,5.0,1,2.54,3,3,3,,,,,,,,7,7,7,,,,,,,,1.96,1.47,3,21
10,0,4.95,0,3.4,2,2,2,2,2,2,3,4,6,6,17,17,17,17,17,17,29,39,42,42,3.52,1.0,10,22
6,1,4.0,0,4.54,8,8,9,12,14,15,,,,,75,75,80,110,111,120,,,,,4.48,2.36,4,23
10,0,3.0,1,2.12,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2.72,3.2,4,24
7,1,5.0,1,2.32,1,1,1,1,3,4,4,,,,2,2,2,2,7,9,9,,,,2.56,2.56,,25
4,1,6.0,1,2.96,11,12,12,12,,,,,,,75,75,75,75,,,,,,,2.2,2.2,,26
9,0,6.0,1,3.69,4,6,7,8,10,12,12,13,13,,47,51,62,74,86,111,111,112,112,,3.36,1.0,9,27
5,1,5.0,1,2.39,7,7,7,7,7,,,,,,16,16,16,16,16,,,,,,1.48,1.48,,28
5,1,7.0,0,3.36,6,7,7,11,14,,,,,,130,143,143,167,197,,,,,,3.52,3.52,,29
8,1,5.0,1,3.69,7,7,8,9,10,12,15,15,,,70,70,89,107,109,133,169,169,,,3.36,2.24,8,30
5,1,4.95,0,3.92,2,3,6,8,9,,,,,,0,7,19,30,36,,,,,,2.39,3.2,5,31
8,1,6.0,1,1.95,6,6,8,8,9,9,9,11,,,61,61,72,72,78,78,78,106,,,2.36,3.2,8,32
4,1,4.0,0,2.96,2,2,2,2,,,,,,,7,7,7,7,,,,,,,2.56,2.56,,33
4,1,1.0,0,3.92,5,6,7,7,,,,,,,78,82,85,85,,,,,,,2.56,2.56,,34
4,1,4.95,1,4.62,8,11,11,11,,,,,,,264,421,421,421,,,,,,,4.64,4.64,,35
4,0,3.0,0,1.52,1,2,2,2,,,,,,,0,1,1,1,,,,,,,1.68,1.68,,36
4,1,6.0,1,3.54,8,9,14,21,,,,,,,106,116,153,238,,,,,,,3.04,3.04,,37
8,1,4.95,1,4.54,7,8,9,11,12,14,14,24,,,56,71,87,102,107,120,120,188,,,3.36,3.36,,38
10,0,4.0,1,2.5,2,4,4,6,7,8,9,9,9,10,25,42,42,51,52,55,56,56,56,58,2.11,2.11,,39
4,1,6.0,1,4.54,12,13,15,17,,,,,,,138,142,153,157,,,,,,,2.36,2.36,,40
5,0,3.0,1,3.92,2,2,2,3,5,,,,,,27,27,27,44,70,,,,,,2.18,2.18,,41
9,1,5.0,1,3.4,0,1,1,1,1,3,3,3,6,,0,7,7,7,7,13,13,13,24,,1.97,1.97,,42
6,1,7.0,0,3.54,7,7,9,9,10,12,,,,,78,78,95,95,111,135,,,,,3.68,2.88,2,43
5,1,5.0,0,4.62,5,6,10,13,15,,,,,,36,46,53,61,67,,,,,,2.72,2.72,,44
3,0,7.0,1,1.78,9,10,10,,,,,,,,45,45,45,,,,,,,,2.56,2.56,,45
5,1,3.0,1,2.51,11,15,15,17,18,,,,,,52,60,60,65,81,,,,,,2.21,2.21,,46
8,1,5.0,1,2.51,10,10,11,12,12,12,12,13,,,89,89,92,103,103,103,103,107,,,3.68,1.72,8,47
5,0,3.0,1,1.22,1,1,1,1,1,,,,,,2,2,2,2,2,,,,,,2.72,2.72,,48
3,0,4.0,0,1.86,2,2,2,,,,,,,,32,32,32,,,,,,,,1.05,1.05,,49
5,1,7.0,1,4.62,22,25,28,31,35,,,,,,209,237,272,290,396,,,,,,4.64,4.64,,50
4,0,4.95,1,2.87,4,4,7,7,,,,,,,28,28,44,44,,,,,,,2.47,3.84,2,51
6,1,5.0,0,3.4,9,10,12,13,16,17,,,,,97,109,132,140,164,180,,,,,3.52,2.26,3,52
4,1,3.0,0,2.58,2,6,9,13,,,,,,,24,51,62,68,,,,,,,1.99,1.99,,53
3,0,4.0,0,1.68,1,1,1,,,,,,,,4,4,4,,,,,,,,1.68,1.68,,54
4,1,6.0,0,3.92,7,8,11,12,,,,,,,86,105,143,147,,,,,,,2.11,2.11,,55
4,1,6.0,1,3.54,3,3,5,8,,,,,,,19,19,23,36,,,,,,,2.72,2.72,,56
6,1,6.0,1,1.78,10,11,12,12,16,18,,,,,98,106,106,106,135,139,,,,,3.2,3.2,,57
5,1,7.0,1,3.92,5,9,10,11,14,,,,,,22,73,84,92,153,,,,,,3.2,3.2,,58
10,0,5.0,1,4.54,2,3,3,3,3,4,4,4,4,6,18,24,24,24,24,24,24,24,24,30,2.72,4.32,4,59
4,1,4.0,1,3.36,4,5,5,7,,,,,,,47,47,47,69,,,,,,,1.26,1.26,,60
4,1,4.95,1,3.92,18,26,36,44,,,,,,,117,234,350,419,,,,,,,3.36,3.36,,61
7,1,4.95,0,4.25,6,10,15,16,19,21,28,,,,143,178,185,185,204,227,266,,,,4.48,3.2,7,62
10,0,4.0,1,1.76,6,6,6,6,7,7,7,7,8,9,13,13,13,13,13,13,13,13,16,16,1.9,1.9,,63
5,1,6.0,0,2.87,7,7,7,8,8,,,,,,84,84,84,94,94,,,,,,2.72,2.72,,64
9,0,4.0,0,3.4,0,0,2,3,3,3,4,5,5,,0,0,11,21,21,21,21,22,22,,2.35,1.0,9,65
7,1,6.0,1,3.69,2,4,5,6,8,8,11,,,,24,31,34,37,58,58,94,,,,3.36,1.26,7,66
