dam,sex,rat,dose,w
1,0,1,0,6.6
1,0,2,0,7.4
1,0,3,0,7.15
1,0,4,0,7.24
1,0,5,0,7.1
1,0,6,0,6.04
1,0,7,0,6.98
1,0,8,0,7.05
1,1,1,0,6.95
1,1,2,0,6.29
1,1,3,0,6.77
1,1,4,0,6.57
2,0,1,0,6.37
2,0,2,0,6.37
2,0,3,0,6.9
2,0,4,0,6.34
2,0,5,0,6.5
2,0,6,0,6.1
2,0,7,0,6.44
2,0,8,0,6.94
2,0,9,0,6.41
2,1,1,0,5.92
2,1,2,0,6.04
2,1,3,0,5.82
2,1,4,0,6.04
2,1,5,0,5.96
3,0,1,0,7.5
3,0,2,0,7.08
3,1,1,0,7.57
3,1,2,0,7.27
4,0,1,0,6.25
4,0,2,0,6.93
4,0,3,0,6.8
4,0,4,0,6.69
4,0,5,0,6.28
4,0,6,0,6.27
4,0,7,0,6.27
4,0,8,0,6.47
4,1,1,0,6.29
4,1,2,0,5.98
4,1,3,0,6.32
4,1,4,0,6.28
4,1,5,0,5.65
4,1,6,0,5.57
5,0,1,0,7.96
5,0,2,0,6.84
5,0,3,0,7.0
5,0,4,0,8.1
5,0,5,0,6.52
5,0,6,0,7.23
5,0,7,0,6.1
5,0,8,0,7.31
5,1,1,0,7.16
5,1,2,0,7.09
5,1,3,0,7.14
5,1,4,0,5.02
5,1,5,0,6.04
6,0,1,0,8.26
6,0,2,0,7.73
6,0,3,0,8.33
6,0,4,0,6.14
6,0,5,0,7.75
6,0,6,0,6.96
6,1,1,0,7.26
6,1,2,0,6.58
6,1,3,0,3.68
7,0,1,0,6.29
7,0,2,0,6.32
7,0,3,0,6.28
7,0,4,0,6.24
7,0,5,0,6.78
7,0,6,0,6.63
7,0,7,0,6.27
7,0,8,0,6.29
7,0,9,0,6.06
7,1,1,0,6.16
7,1,2,0,5.96
7,1,3,0,6.26
7,1,4,0,5.83
7,1,5,0,6.11
7,1,6,0,6.45
7,1,7,0,6.25
7,1,8,0,6.31
7,1,9,0,5.74
8,0,1,0,6.04
8,0,2,0,5.84
8,0,3,0,6.77
8,0,4,0,5.59
8,0,5,0,5.52
8,0,6,0,6.42
8,0,7,0,5.97
8,0,8,0,6.34
8,1,1,0,6.23
8,1,2,0,5.95
8,1,3,0,6.16
8,1,4,0,6.19
8,1,5,0,5.32
8,1,6,0,5.0
8,1,7,0,6.3
8,1,8,0,5.0
