id,read0,math0,age0,read1,math1,age1,read2,math2,age2,read3,math3,age3,female,minority
301,,,,38.095238,32.142857,85,,,,,,,1,0
401,,,,,,,,,,39.285713,41.666668,96,0,0
1001,,,,30.952381,17.857143,91,,,,,,,1,0
4301,17.857143,13.095238,70,,,,,,,41.666668,41.666668,117,1,0
4401,,,,,,,,,,,,,1,0
4901,23.809525,22.619047,69,45.238094,50.0,93,,,,57.142857,53.57143,115,0,0
5001,,,,36.904762,30.952381,84,,,,,,,0,0
5701,,,,,,,,,,76.190475,73.809525,111,0,0
5801,,,,,,,39.285713,32.142857,85,97.61905,47.61905,109,1,0
8901,21.428572,16.666666,75,,,,,,,,,,1,1
9201,22.619047,27.380953,68,,,,66.666664,35.714287,94,,,,0,0
9501,21.428572,26.190475,81,,,,,,,,,,0,0
9601,26.190475,29.761906,65,,,,,,,63.095238,50.0,95,1,0
10001,,,,28.571428,28.571428,85,,,,,,,0,0
11101,,,,23.809525,17.857143,77,57.142857,53.57143,101,,,,1,0
11201,,,,23.809525,33.333332,73,47.61905,55.95238,97,,,,0,0
12801,20.238094,19.047619,68,30.952381,50.0,93,,,,,,,0,0
14301,,,,,,,28.571428,35.714287,84,,,,0,0
15701,21.428572,19.047619,65,38.095238,30.952381,85,,,,,,,1,0
15801,,,,42.857143,25.0,84,,,,,,,1,0
15901,16.666666,16.666666,60,33.333332,33.333332,83,,,,,,,0,0
16701,19.047619,19.047619,67,35.714287,28.571428,89,,,,,,,0,0
17501,,,,,,,,,,,,,0,0
17901,,,,28.571428,21.428572,85,,,,,,,1,0
18301,,,,21.428572,20.238094,70,53.57143,47.61905,92,,,,0,0
22101,8.333333,13.095238,71,,,,,,,,,,0,1
22801,13.095238,19.047619,74,,,,16.666666,10.714286,103,,,,1,1
23701,,,,48.809525,32.142857,88,,,,,,,1,0
23901,19.047619,14.285714,67,,,,29.761906,15.476191,96,28.571428,38.095238,119,1,0
24001,21.428572,15.476191,70,46.42857,44.04762,93,,,,,,,0,0
24201,25.0,27.380953,73,,,,,,,,,,1,0
24901,,,,22.619047,19.047619,80,27.380953,38.095238,102,,,,0,0
25001,,,,,,,,,,38.095238,34.52381,97,0,0
25201,19.047619,15.476191,60,34.52381,32.142857,83,,,,,,,1,0
25401,,,,21.428572,15.476191,86,,,,41.666668,32.142857,110,0,0
25501,19.047619,20.238094,62,,,,,,,65.47619,57.142857,108,1,0
25601,21.428572,20.238094,66,32.142857,36.904762,95,,,,45.238094,52.38095,119,1,0
25801,21.428572,20.238094,71,,,,,,,40.47619,46.42857,102,1,0
26201,,,,,,,47.61905,46.42857,88,,,,1,0
27201,,,,23.809525,22.619047,70,,,,48.809525,46.42857,95,0,0
28501,,,,,,,,,,46.42857,34.52381,101,1,1
28701,,,,,,,26.190475,23.809525,86,,,,1,0
28901,,,,21.428572,30.952381,80,51.190475,51.190475,103,,,,0,0
31201,,,,29.761906,17.857143,91,,,,45.238094,50.0,114,0,0
31401,,,,,,,52.38095,39.285713,84,,,,0,0
33901,,,,,,,28.571428,7.142857,108,,,,1,1
34001,21.428572,15.476191,79,,,,30.952381,7.142857,104,,,,0,1
37101,20.238094,15.476191,69,,,,,,,,,,1,0
