exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,nr,year
3,32,0,0,1,0,1,0,0,9,0,5.56068,1,1976
4,43,0,0,1,0,1,0,0,9,0,5.72031,1,1977
5,40,0,0,1,0,1,0,0,9,0,5.99645,1,1978
6,39,0,0,1,0,1,0,0,9,0,5.99645,1,1979
7,42,0,1,1,0,1,0,0,9,0,6.06146,1,1980
8,35,0,1,1,0,1,0,0,9,0,6.17379,1,1981
9,32,0,1,1,0,1,0,0,9,0,6.24417,1,1982
30,34,1,0,0,0,1,0,0,11,0,6.16331,2,1976
31,27,1,0,0,0,1,0,0,11,0,6.21461,2,1977
32,33,1,1,0,0,1,0,1,11,0,6.2634,2,1978
33,30,1,1,0,0,1,0,0,11,0,6.54391,2,1979
34,30,1,1,0,0,1,0,0,11,0,6.69703,2,1980
35,37,1,1,0,0,1,0,0,11,0,6.79122,2,1981
36,30,1,1,0,0,1,0,0,11,0,6.81564,2,1982
6,50,1,1,0,0,1,0,1,12,0,5.65249,3,1976
7,51,1,1,0,0,1,0,1,12,0,6.43615,3,1977
8,50,1,1,0,0,1,0,1,12,0,6.54822,3,1978
9,52,1,1,0,0,1,0,1,12,0,6.60259,3,1979
10,52,1,1,0,0,1,0,1,12,0,6.6958,3,1980
11,52,1,1,0,0,0,0,1,12,0,6.77878,3,1981
12,46,1,1,0,0,0,0,1,12,0,6.86066,3,1982
31,52,1,0,0,1,0,1,0,10,1,6.15698,4,1976
32,46,1,0,0,1,0,1,0,10,1,6.23832,4,1977
33,46,1,0,0,1,0,1,0,10,1,6.30079,4,1978
34,49,1,0,0,1,0,1,0,10,1,6.35957,4,1979
35,44,1,0,0,1,0,1,0,10,1,6.46925,4,1980
36,52,1,0,0,1,0,1,0,10,1,6.56244,4,1981
37,46,1,0,0,1,0,1,0,10,1,6.62141,4,1982
10,50,1,0,0,0,1,0,1,16,0,6.43775,5,1976
11,46,1,0,0,0,1,0,1,16,0,6.62007,5,1977
12,40,1,0,0,0,1,0,1,16,0,6.63332,5,1978
13,50,0,0,0,0,1,0,0,16,0,6.98286,5,1979
14,47,1,0,0,1,1,0,0,16,0,7.04752,5,1980
15,47,0,0,0,0,1,0,0,16,0,7.31322,5,1981
16,49,0,0,0,0,1,0,0,16,0,7.29574,5,1982
26,44,1,1,0,1,1,0,0,12,0,6.90575,6,1976
27,47,1,1,0,1,1,0,0,12,0,6.90575,6,1977
28,47,1,1,0,1,1,0,0,12,0,6.90776,6,1978
29,47,1,1,0,1,1,0,0,12,0,7.00307,6,1979
30,44,1,1,0,1,1,0,0,12,0,7.06902,6,1980
31,45,1,1,0,1,1,0,0,12,0,7.52023,6,1981
32,47,1,1,0,1,1,0,0,12,0,7.33889,6,1982
15,46,1,0,0,0,1,0,1,12,0,6.1334,7,1976
16,48,1,0,0,0,1,0,1,12,0,6.17379,7,1977
17,49,1,0,0,0,1,0,1,12,0,6.21261,7,1978
18,46,1,0,0,0,1,0,1,12,0,6.31355,7,1979
19,47,1,0,0,0,1,0,1,12,0,6.37502,7,1980
20,47,1,0,0,0,1,0,1,12,0,6.44572,7,1981
21,48,1,0,0,0,1,0,1,12,0,6.52209,7,1982
23,51,1,1,1,0,1,0,1,10,0,6.3315,8,1976
24,50,1,1,1,0,1,0,1,10,0,6.40357,8,1977
25,50,1,1,1,0,1,0,1,10,0,6.54391,8,1978
26,50,1,1,1,0,1,0,1,10,0,6.56244,8,1979
27,44,1,1,0,1,1,0,1,10,0,6.59167,8,1980
28,51,1,1,0,1,1,0,1,10,0,6.81783,8,1981
29,51,1,1,0,1,1,0,1,10,0,6.89163,8,1982
3,50,0,0,1,1,1,0,0,16,0,6.55108,9,1976
4,48,0,0,1,1,1,0,0,16,0,6.55108,9,1977
5,50,0,0,1,1,1,0,0,16,0,6.80239,9,1978
6,48,0,0,1,1,1,0,0,16,0,6.90776,9,1979
