y,female,male,group,experiment,rbm,rbf,wsm,wsf
1,1,1,1,1,1,1,0,0
1,1,4,1,1,1,1,0,0
1,1,5,1,1,1,1,0,0
0,1,6,1,1,0,1,1,0
1,1,9,1,1,0,1,1,0
1,1,10,1,1,0,1,1,0
1,2,1,1,1,1,1,0,0
1,2,3,1,1,1,1,0,0
1,2,5,1,1,1,1,0,0
1,2,7,1,1,0,1,1,0
1,2,8,1,1,0,1,1,0
1,2,10,1,1,0,1,1,0
1,3,1,1,1,1,1,0,0
1,3,2,1,1,1,1,0,0
1,3,3,1,1,1,1,0,0
0,3,6,1,1,0,1,1,0
1,3,8,1,1,0,1,1,0
1,3,9,1,1,0,1,1,0
1,4,2,1,1,1,1,0,0
1,4,4,1,1,1,1,0,0
1,4,5,1,1,1,1,0,0
1,4,7,1,1,0,1,1,0
1,4,9,1,1,0,1,1,0
0,4,10,1,1,0,1,1,0
1,5,2,1,1,1,1,0,0
1,5,3,1,1,1,1,0,0
1,5,4,1,1,1,1,0,0
1,5,6,1,1,0,1,1,0
1,5,7,1,1,0,1,1,0
1,5,8,1,1,0,1,1,0
0,6,1,1,1,1,0,0,1
0,6,2,1,1,1,0,0,1
0,6,4,1,1,1,0,0,1
0,6,7,1,1,0,0,1,1
1,6,8,1,1,0,0,1,1
0,6,10,1,1,0,0,1,1
1,7,1,1,1,1,0,0,1
0,7,2,1,1,1,0,0,1
1,7,5,1,1,1,0,0,1
1,7,6,1,1,0,0,1,1
1,7,9,1,1,0,0,1,1
1,7,10,1,1,0,0,1,1
0,8,3,1,1,1,0,0,1
0,8,4,1,1,1,0,0,1
0,8,5,1,1,1,0,0,1
1,8,6,1,1,0,0,1,1
1,8,7,1,1,0,0,1,1
1,8,10,1,1,0,0,1,1
1,9,1,1,1,1,0,0,1
1,9,3,1,1,1,0,0,1
0,9,4,1,1,1,0,0,1
1,9,6,1,1,0,0,1,1
1,9,8,1,1,0,0,1,1
1,9,9,1,1,0,0,1,1
0,10,2,1,1,1,0,0,1
1,10,3,1,1,1,0,0,1
0,10,5,1,1,1,0,0,1
1,10,7,1,1,0,0,1,1
1,10,8,1,1,0,0,1,1
0,10,9,1,1,0,0,1,1
0,11,12,2,1,1,1,0,0
1,11,13,2,1,1,1,0,0
1,11,14,2,1,1,1,0,0
1,11,16,2,1,0,1,1,0
1,11,19,2,1,0,1,1,0
1,11,20,2,1,0,1,1,0
0,12,11,2,1,1,1,0,0
0,12,13,2,1,1,1,0,0
1,12,14,2,1,1,1,0,0
0,12,17,2,1,0,1,1,0
0,12,18,2,1,0,1,1,0
0,12,19,2,1,0,1,1,0
1,13,11,2,1,1,1,0,0
1,13,14,2,1,1,1,0,0
0,13,15,2,1,1,1,0,0
0,13,16,2,1,0,1,1,0
