regcode,lon,lat,regid
w6126,131769.0,856564.0,1
w6126,141475.0,848980.0,1
w6126,135941.0,869855.0,1
w6126,140778.0,876978.0,1
w6126,146218.0,873198.0,1
w6126,146218.0,873198.0,1
w6126,152571.0,862238.0,1
w6126,148846.0,830517.0,1
w6126,164096.44,823652.75,1
w6126,164096.44,823652.75,1
w6126,170000.0,824855.0,1
w6126,170000.0,824855.0,1
w6126,179449.0,824993.0,1
w6126,178484.0,819139.0,1
w6126,159641.0,799936.0,1
w6126,158748.0,808780.0,1
w6126,158748.0,808780.0,1
w6126,158729.0,811316.0,1
w6126,158729.0,811316.0,1
w6126,168290.0,817843.0,1
w6126,156807.0,820000.0,1
w6126,152943.0,811136.0,1
w6126,148812.0,820000.0,1
w6126,138627.0,816005.0,1
w6126,130133.0,832865.0,1
w6126,139000.0,831959.0,1
w6126,139000.0,831959.0,1
w6126,127647.0,844950.0,1
w6126,125036.0,836149.0,1
w6126,120282.0,839278.0,1
w6126,120282.0,839278.0,1
w6126,112576.0,847082.0,1
w6126,117634.0,856737.0,1
w6126,125000.0,846044.0,1
w6126,123368.0,866992.0,1
w6126,131769.0,856564.0,1
w6126,,,1
w6126,214091.88,841215.2,1
w6126,218829.0,831090.0,1
w6126,218829.0,831090.0,1
w6126,217605.67,830865.75,1
w6126,217605.67,830865.75,1
w6126,201864.0,818968.0,1
w6126,216426.0,805179.0,1
w6126,216426.0,805179.0,1
w6126,192646.0,807178.0,1
w6126,192646.0,807178.0,1
w6126,187948.55,807454.3,1
w6126,187948.55,807454.3,1
w6126,176840.0,814731.0,1
w6126,183258.0,824522.0,1
w6126,194413.0,820074.0,1
w6126,187966.0,826737.0,1
w6126,187966.0,826737.0,1
w6126,175233.0,827294.0,1
w6126,179122.0,832281.0,1
w6126,179122.0,832281.0,1
w6126,189365.0,836048.0,1
w6126,189365.0,836048.0,1
w6126,205306.0,844697.0,1
w6126,211804.0,840980.0,1
w6126,211804.0,840980.0,1
w6126,214091.88,841215.2,1
w6126,,,1
w6126,187948.55,807454.3,1
w6126,192646.0,807178.0,1
w6126,192646.0,807178.0,1
w6126,188201.0,800481.0,1
w6126,174403.0,808251.0,1
w6126,174403.0,808251.0,1
w6126,187948.55,807454.3,1
w6126,,,1
w6016,383866.0,865862.0,2
w6016,398721.0,867484.0,2
w6016,398721.0,867484.0,2
w6016,409200.0,858927.0,2
w6016,409200.0,858927.0,2
w6016,412572.0,844062.0,2
w6016,412572.0,844062.0,2
w6016,407583.0,832302.0,2
w6016,407583.0,832302.0,2
w6016,399497.0,838711.0,2
w6016,399497.0,838711.0,2
w6016,397156.0,840640.0,2
w6016,397156.0,840640.0,2
w6016,384736.0,842603.0,2
w6016,384736.0,842603.0,2
w6016,377075.0,828194.0,2
w6016,359282.0,847622.0,2
w6016,359282.0,847622.0,2
w6016,352324.0,867538.0,2
w6016,352324.0,867538.0,2
w6016,365449.0,865552.0,2
w6016,365449.0,865552.0,2
w6016,369706.0,864082.0,2
w6016,369706.0,864082.0,2
w6016,383866.0,865862.0,2
w6016,,,2
w6121,311487.0,968650.0,3
w6121,320989.0,968653.0,3
w6121,320254.0,976863.0,3
w6121,332158.0,973807.0,3
w6121,332158.0,973807.0,3
w6121,340660.0,973319.0,3
w6121,336252.0,950898.0,3
w6121,336252.0,950898.0,3
w6121,335000.0,951534.0,3
w6121,335000.0,951534.0,3
w6121,335271.0,943087.0,3
w6121,322371.0,933910.0,3
w6121,322371.0,933910.0,3
w6121,306095.0,917578.0,3
w6121,306095.0,917578.0,3
w6121,291622.0,933344.0,3
w6121,296841.0,965593.0,3
w6121,296841.0,965593.0,3
w6121,311487.0,968650.0,3
w6121,,,3
w5601,377180.0,672603.0,4
w5601,386871.66,670868.7,4
w5601,386871.66,670868.7,4
w5601,395338.75,664129.94,4
w5601,395338.75,664129.94,4
w5601,397942.47,657533.44,4
w5601,397942.47,657533.44,4
w5601,396950.88,656686.06,4
w5601,396950.88,656686.06,4
w5601,395568.8,655986.56,4
w5601,395568.8,655986.56,4
w5601,394670.56,655424.1,4
w5601,394670.56,655424.1,4
w5601,394699.0,654134.0,4
w5601,394699.0,654134.0,4
w5601,394697.34,652470.8,4
w5601,394697.34,652470.8,4
w5601,393022.72,650522.7,4
w5601,393022.72,650522.7,4
w5601,388048.88,644737.1,4
w5601,388048.88,644737.1,4
w5601,387423.53,643756.75,4
w5601,387423.53,643756.75,4
w5601,385430.8,640700.44,4
w5601,385430.8,640700.44,4
w5601,384473.94,639866.3,4
w5601,384473.94,639866.3,4
w5601,383619.84,639015.5,4
w5601,383619.84,639015.5,4
w5601,381283.25,639332.75,4
w5601,381283.25,639332.75,4
w5601,378995.75,637897.7,4
w5601,378995.75,637897.7,4
w5601,366182.0,640000.0,4
w5601,366182.0,640000.0,4
w5601,356344.0,660564.0,4
w5601,356344.0,660564.0,4
w5601,365360.0,660797.0,4
w5601,366580.0,669164.0,4
w5601,375000.0,664270.0,4
w5601,377180.0,672603.0,4
w5601,,,4
w6125,278680.06,882371.8,5
w6125,294960.0,887843.0,5
w6125,282476.0,869104.0,5
w6125,263697.0,868058.0,5
w6125,255000.0,856337.0,5
w6125,255000.0,856337.0,5
w6125,267891.0,867017.0,5
w6125,281168.0,867040.0,5
w6125,266107.0,847813.0,5
w6125,254480.0,847340.0,5
w6125,254480.0,847340.0,5
w6125,235277.0,848414.0,5
w6125,235277.0,848414.0,5
w6125,232760.0,848360.0,5
w6125,232760.0,848360.0,5
w6125,217602.0,841576.0,5
w6125,217602.0,841576.0,5
w6125,214091.88,841215.2,5
w6125,214091.88,841215.2,5
w6125,211804.0,840980.0,5
w6125,211804.0,840980.0,5
w6125,205306.0,844697.0,5
w6125,189365.0,836048.0,5
w6125,189365.0,836048.0,5
w6125,192643.0,842160.0,5
w6125,172554.0,834786.0,5
w6125,167945.0,849321.0,5
w6125,172185.0,861526.0,5
w6125,188621.0,854285.0,5
w6125,188621.0,854285.0,5
w6125,172225.0,867565.0,5
w6125,181175.0,873819.0,5
w6125,173315.0,880000.0,5
w6125,177971.0,892509.0,5
w6125,177971.0,892509.0,5
w6125,185818.0,880852.0,5
w6125,185832.0,898586.0,5
w6125,209072.0,888299.0,5
w6125,200990.0,899577.0,5
w6125,217612.0,885278.0,5
w6125,196139.0,914664.0,5
w6125,207819.0,919468.0,5
w6125,207819.0,919468.0,5
w6125,230799.0,898546.0,5
w6125,228978.0,884751.0,5
w6125,258106.0,881725.0,5
w6125,262028.0,888588.0,5
w6125,262028.0,888588.0,5
w6125,278680.06,882371.8,5
w6125,,,5
w6554,367020.0,1.042275e6,6
w6554,378702.0,1.043704e6,6
w6554,360665.0,1.033164e6,6
w6554,367020.0,1.042275e6,6
w6554,,,6
w6554,328040.0,1.011192e6,6
w6554,321498.0,1.013014e6,6
w6554,329122.0,1.030057e6,6
w6554,342493.0,1.021407e6,6
w6554,336822.0,1.013285e6,6
w6554,336822.0,1.013285e6,6
w6554,354193.0,1.011994e6,6
w6554,355279.22,1.0032298e6,6
w6554,355279.22,1.0032298e6,6
w6554,352440.0,998788.0,6
w6554,344033.0,1.008817e6,6
w6554,330848.0,1.003404e6,6
w6554,328040.0,1.011192e6,6
w6554,,,6
w6554,328987.0,989304.0,6
w6554,319441.0,1.004825e6,6
w6554,330279.0,999496.0,6
w6554,328987.0,989304.0,6
w6554,,,6
w6019,348968.0,868724.0,7
w6019,352324.0,867538.0,7
w6019,352324.0,867538.0,7
w6019,359282.0,847622.0,7
w6019,359282.0,847622.0,7
w6019,341854.0,845612.0,7
w6019,341419.0,822424.0,7
w6019,331172.0,821400.0,7
w6019,331172.0,821400.0,7
w6019,319979.0,805281.0,7
w6019,319979.0,805281.0,7
w6019,298146.0,801808.0,7
w6019,298146.0,801808.0,7
w6019,312335.0,810648.0,7
w6019,316790.0,834016.0,7
w6019,309789.0,842190.0,7
w6019,297888.0,840226.0,7
w6019,297888.0,840226.0,7
w6019,294866.0,861442.0,7
w6019,294866.0,861442.0,7
w6019,310239.0,865683.0,7
w6019,310239.0,865683.0,7
w6019,319449.0,871195.0,7
w6019,319449.0,871195.0,7
w6019,344606.0,866844.0,7
w6019,344606.0,866844.0,7
w6019,348968.0,868724.0,7
w6019,,,7
w6655,459461.0,1.201265e6,8
w6655,457838.0,1.20936e6,8
w6655,457838.0,1.20936e6,8
w6655,460754.0,1.218578e6,8
w6655,467563.0,1.21567e6,8
w6655,459461.0,1.201265e6,8
w6655,,,8
w6655,450593.0,1.203008e6,8
w6655,454570.0,1.202881e6,8
w6655,454570.0,1.202881e6,8
w6655,453321.0,1.181841e6,8
w6655,453321.0,1.181841e6,8
w6655,448554.0,1.181021e6,8
w6655,448554.0,1.181021e6,8
w6655,443698.0,1.191519e6,8
w6655,450593.0,1.203008e6,8
w6655,,,8
w6123,192646.0,807178.0,9
w6123,216426.0,805179.0,9
w6123,216426.0,805179.0,9
w6123,228631.0,808385.0,9
w6123,240623.0,797742.0,9
w6123,240623.0,797742.0,9
w6123,243605.03,783357.8,9
w6123,243605.03,783357.8,9
w6123,246162.0,771024.0,9
w6123,246162.0,771024.0,9
w6123,237281.0,761037.0,9
w6123,237281.0,761037.0,9
w6123,233493.0,757097.0,9
w6123,238907.0,750238.0,9
w6123,238907.0,750238.0,9
w6123,209543.0,742400.0,9
w6123,209543.0,742400.0,9
w6123,211205.0,750612.0,9
w6123,196145.0,752637.0,9
w6123,196145.0,752637.0,9
w6123,217455.0,761886.0,9
w6123,217455.0,761886.0,9
w6123,201328.0,761760.0,9
w6123,212735.0,776126.0,9
w6123,212735.0,776126.0,9
w6123,196811.0,779217.0,9
w6123,209533.0,774910.0,9
w6123,185330.0,750772.0,9
w6123,185330.0,750772.0,9
