nation,region,county,deaths,expected,const,uv
1,1,1,79,51.222,1,-2.9057
1,2,2,80,79.956,1,-3.2075
1,2,3,51,46.5169,1,-2.8038
1,2,4,43,55.053,1,-3.0069
1,2,5,89,67.758,1,-3.0069
1,2,6,19,35.976,1,-3.4175
1,3,7,19,13.28,1,-2.6671
1,3,8,15,66.5579,1,-2.6671
1,3,9,33,50.969,1,-3.1222
1,3,10,9,11.171,1,-2.4852
1,3,11,12,19.683,1,-2.5293
2,4,12,156,108.04,1,-1.1375
2,4,13,110,73.692,1,-1.3977
2,4,14,77,57.098,1,-0.4386
2,4,15,56,46.622,1,-1.0249
2,5,16,220,112.61,1,-0.5033
2,5,17,46,30.334,1,-1.4609
2,5,18,47,29.973,1,-1.8956
2,5,19,50,32.027,1,-2.5541
2,5,20,90,46.521,1,-1.9671
2,5,21,62,36.99,1,-2.3444
2,5,22,85,46.942,1,-0.6578
2,6,23,141,55.3829,1,-3.8836
2,7,24,38,21.304,1,-4.4592
2,8,25,121,50.229,1,-4.8576
2,9,26,218,136.08,1,-2.6027
2,9,27,50,36.712,1,-3.5346
2,10,28,97,50.625,1,-4.0251
2,10,29,98,62.8699,1,-3.9857
2,10,30,75,45.359,1,-4.4592
2,10,31,85,65.385,1,-4.1117
2,11,32,209,160.08,1,-3.5346
2,11,33,127,121.349,1,-3.2736
2,11,34,98,75.166,1,-3.8126
2,11,35,58,55.498,1,-3.6015
2,11,36,151,114.489,1,-3.5991
2,12,37,66,42.222,1,-2.9414
2,12,38,25,14.495,1,-2.2504
2,12,39,91,55.7649,1,-2.3269
2,13,40,42,33.242,1,-2.0662
2,14,41,160,80.663,1,-5.1393
3,15,42,209,78.897,1,-5.7887
3,15,43,43,19.621,1,-5.8989
3,15,44,28,12.04,1,-5.245
3,16,45,41,17.5599,1,-5.1866
3,16,46,42,16.684,1,-5.217
3,16,47,6,3.079,1,-5.0981
3,17,48,57,28.662,1,-5.4778
3,17,49,20,15.852,1,-5.217
3,17,50,21,13.507,1,-5.5612
3,17,51,31,20.41,1,-5.8439
3,17,52,23,16.632,1,-6.0623
3,17,53,79,36.005,1,-5.9509
3,17,54,24,14.803,1,-6.114
3,17,55,57,30.57,1,-6.1151
4,18,56,33,44.742,1,-0.9368
4,18,57,20,32.375,1,-0.0884
4,19,58,15,18.878,1,2.7823
4,19,59,29,52.7869,1,3.2047
4,19,60,9,14.498,1,3.7856
4,19,61,7,14.731,1,3.5087
4,19,62,14,26.822,1,5.3566
4,20,63,17,19.172,1,1.9737
4,20,64,7,8.595,1,2.5436
4,20,65,8,10.398,1,3.0821
4,20,66,10,29.562,1,2.1911
4,21,67,13,28.3759,1,-0.6221
4,21,68,9,22.5599,1,-0.4548
4,21,69,7,14.818,1,-1.0124
4,22,70,13,23.294,1,0.9771
4,22,71,8,12.69,1,1.366
4,22,72,19,29.0639,1,1.6602
4,22,73,9,15.38,1,0.2517
4,23,74,16,26.4009,1,0.1042
4,23,75,44,40.512,1,-0.5807
4,23,76,14,34.991,1,-0.375
4,23,77,24,28.552,1,-0.06
4,24,78,12,16.2619,1,1.452
4,24,79,13,17.3969,1,-0.453
4,24,80,11,12.662,1,1.0764
4,24,81,14,24.028,1,0.3122
4,24,82,5,14.36,1,0.1511
4,24,83,13,25.174,1,-0.1392
