schid,chapt1,frlnch,natvam,asian,black,hspanc,white,othrac,avgdat,stdntid,gender,race,birthmon,birthday,birthyea,classt,tchid,freelu,treads,tmaths,motivr,school,_merge,grade,class
112038,1,75,0,1,37,0,62,0,251,10575,1,2,8,1,1979,3,11203804,1,447,477,48,112038,3,1,4
112038,1,75,0,1,32,0,67,0,320,10160,1,1,7,23,1979,3,11203808,1,,,,112038,3,2,8
112038,1,65,0,2,32,0,66,0,390,10405,2,2,10,22,1979,3,11203810,1,573,608,52,112038,3,3,10
112038,1,67,,,35,,65,0,,10960,1,1,12,1,1978,3,11203803,1,390,444,26,112038,3,0,3
123056,1,22,0,0,2,0,98,0,582,10516,1,1,2,28,1980,2,12305604,1,579,612,,123056,3,1,16
123056,1,36,0,0,1,0,99,0,564,10516,1,1,2,28,1980,2,12305607,1,573,611,50,123056,3,2,19
123056,1,30,0,0,1,0,99,0,567,10516,1,1,2,28,1980,2,12305610,1,639,642,47,123056,3,3,22
123056,1,35,,,,,99,0,,11483,1,1,3,26,1979,3,12305601,1,,,23,123056,3,0,13
128068,1,40,,,1,,99,0,,10287,1,1,11,26,1979,3,12806803,2,428,484,24,128068,3,0,27
128076,2,18,0,1,1,0,98,0,575,10033,1,1,3,6,1980,3,12807605,2,524,515,51,128076,3,1,32
128076,2,22,0,0,11,0,89,0,615,10033,1,1,3,6,1980,3,12807608,2,637,620,45,128076,3,2,35
128076,2,23,0,0,3,0,97,0,600,10237,1,1,2,20,1978,2,12807615,1,560,568,40,128076,3,3,42
128076,2,10,,,1,,98,0,,11150,1,1,8,20,1979,3,12807603,1,403,489,28,128079,3,0,30
128079,1,34,0,0,6,1,93,0,466,10049,2,1,7,21,1980,3,12807904,1,527,481,47,128079,3,1,46
128079,1,41,1,1,5,0,93,0,496,10020,2,2,12,11,1979,2,12807909,2,614,626,53,128079,3,2,51
128079,1,32,0,0,5,0,95,0,473,10368,1,1,11,21,1978,3,12807915,1,577,573,49,128079,3,3,57
128079,1,34,1,,5,1,93,0,,10986,2,1,12,4,1978,3,12807902,1,422,418,29,128079,3,0,44
130085,1,21,0,1,3,0,96,0,460,10618,1,1,6,6,1979,3,13008506,2,558,542,47,130085,3,1,63
130085,1,20,0,0,2,0,98,0,507,10618,1,1,6,6,1979,3,13008511,2,586,550,52,130085,3,2,68
130085,1,20,0,0,2,0,97,1,518,10618,1,1,6,6,1979,3,13008515,2,618,603,50,130085,3,3,72
130085,1,23,,,4,,96,0,,11577,1,1,5,2,1979,2,13008501,1,430,468,25,130085,3,0,58
159171,2,54,0,0,27,0,73,0,594,10107,1,1,9,11,1980,3,15917106,2,509,553,,159171,3,1,79
159171,1,43,0,0,25,0,75,0,599,10107,1,1,9,11,1980,3,15917112,2,571,599,45,159171,3,2,85
159171,1,44,0,0,24,1,75,0,595,10425,2,2,3,4,1980,1,15917121,1,565,546,50,159171,3,3,94
159171,1,57,,0,25,0,75,0,,10294,1,1,4,6,1980,3,15917101,2,,,,159171,3,0,74
161176,1,50,0,1,0,0,99,0,425,10055,2,1,12,3,1979,3,16117606,1,564,520,,161176,3,1,102
161176,1,40,0,0,1,0,99,0,414,10055,2,1,12,3,1979,3,16117611,,591,626,51,161176,3,2,107
161176,1,40,2,1,0,0,96,0,375,10055,2,1,12,3,1979,3,16117615,2,631,631,,161176,3,3,111
161176,1,30,,1,1,,98,0,,10275,1,1,9,22,1979,3,16117602,2,411,468,24,161176,3,0,98
161183,1,60,0,1,3,0,97,0,620,10136,1,1,3,9,1979,2,16118307,1,462,479,47,161183,3,1,119
161183,1,66,0,1,4,0,95,0,537,10136,1,1,3,9,1979,2,16118316,1,,,,161183,3,2,128
161183,1,55,0,0,5,1,94,0,523,10145,2,1,11,19,1980,1,16118320,1,602,601,52,161183,3,3,132
161183,1,52,,1,2,,97,0,,10318,2,1,7,10,1980,2,16118305,2,,,28,161183,3,0,117
162184,1,64,0,0,1,0,99,0,625,10379,2,1,11,4,1979,1,16218408,1,604,553,52,162184,3,1,142
162184,1,64,1,0,1,0,98,0,,10379,2,1,11,4,1979,1,16218412,2,604,648,51,162184,3,2,146
162184,1,62,0,0,1,0,99,0,600,10379,2,1,11,4,1979,1,16218416,1,614,636,46,162184,3,3,150
162184,1,64,,,,,99,0,,10379,2,1,11,4,1979,1,16218404,2,431,500,28,162184,3,0,138
164198,2,41,0,0,2,0,98,0,371,10039,2,1,11,12,1979,2,16419804,1,457,497,58,164198,3,1,154
164198,1,32,0,1,1,0,98,0,387,10039,2,1,11,12,1979,2,16419808,1,555,554,,164198,3,2,158
164198,1,35,0,0,2,0,98,0,380,10039,2,1,11,12,1979,2,16419812,1,600,567,50,164198,3,3,162
164198,1,38,,,2,,98,0,,11321,1,1,3,5,1979,2,16419803,2,390,429,,164198,3,0,153
165199,2,22,0,1,4,0,92,1,402,10045,1,1,9,22,1980,1,16519904,1,590,578,,165199,3,1,167
165199,2,21,0,1,4,0,94,1,406,10217,1,,7,1,1980,1,16519907,1,,,,165199,3,2,170
165199,2,20,0,2,5,0,93,0,396,10456,1,1,10,25,1980,1,16519912,2,702,711,53,165199,3,3,175
165199,2,17,,,5,,95,0,,11595,1,1,5,15,1979,3,16519903,2,507,559,22,165199,3,0,166
166203,1,62,0,0,8,0,91,1,292,10359,1,1,2,19,1980,3,16620307,1,503,562,53,166203,3,1,182
166203,1,61,0,0,8,0,92,0,284,10370,1,1,4,2,1980,1,16620309,2,,,51,166203,3,2,184
166203,1,70,0,0,9,0,90,1,290,10226,2,1,5,6,1979,3,16620311,1,580,597,54,166203,3,3,186
