ms,hh,depend,age,f1040a,f1040ez,tpi,txrt,mr,emp,prep,tax,subject,time,lntpi,lntax
1,0,2,0,0,0,25858.031,25.0,25.0,0,0,3593.7825,1,1,10.160377,8.187239
1,0,5,0,0,0,24851.812,22.0,22.0,0,0,2308.8083,2,1,10.120686,7.74492
0,0,1,0,0,1,2091.1917,0.0,0.0,0,0,0.0,3,1,7.645489,0.0
0,0,1,0,0,0,8413.472,16.0,17.0,0,1,534.715,4,1,9.037589,6.283602
1,0,2,0,0,0,26017.617,25.0,25.0,0,0,3081.8652,5,1,10.166529,8.033615
1,0,5,0,0,0,62295.336,39.0,44.0,0,0,11160.622,6,1,11.039641,9.320236
1,0,2,1,0,0,23486.01,19.0,22.0,1,1,1736.7876,7,1,10.06416,7.460368
1,0,2,0,0,0,117524.35,49.0,50.0,0,0,24290.156,8,1,11.674401,10.097868
1,0,3,0,0,0,18743.006,19.0,19.0,0,1,1509.8446,9,1,9.838576,7.320424
0,0,1,0,1,0,10027.9795,19.0,19.0,0,0,996.8912,10,1,9.213135,6.9056444
0,0,1,0,0,1,15659.067,23.0,23.0,0,0,2206.2175,11,1,9.658806,7.699488
0,0,1,0,0,1,123.31606,0.0,0.0,0,0,0.0,12,1,4.8147507,0.0
1,0,2,1,0,0,26016.58,25.0,25.0,0,0,3218.6528,13,1,10.16649,8.077029
1,0,6,0,0,0,34304.664,25.0,29.0,0,1,3348.1865,14,1,10.443037,8.116473
1,0,2,0,0,0,26277.72,25.0,25.0,1,0,3697.4094,15,1,10.1764765,8.215658
0,0,1,0,0,0,23555.44,23.0,31.0,0,1,1830.0518,16,1,10.067112,7.5126457
0,1,2,0,0,0,8372.0205,12.0,14.0,0,0,0.0,17,1,9.032651,0.0
1,0,2,0,0,0,66471.5,33.0,49.0,1,1,5278.7563,18,1,11.104528,8.571635
1,0,4,0,0,0,28136.787,22.0,25.0,0,1,2947.1501,19,1,10.244833,7.988933
1,0,2,0,0,0,417145.06,50.0,50.0,0,1,90455.96,20,1,12.94119,11.412629
1,0,3,0,0,0,42351.297,33.0,39.0,0,0,6178.2383,21,1,10.653754,8.7289505
1,0,2,0,0,0,34160.62,25.0,33.0,0,0,3762.6943,22,1,10.438828,8.233156
1,0,4,0,0,0,22570.984,19.0,22.0,0,0,1726.4249,23,1,10.024421,7.454387
0,0,1,0,1,0,18643.523,27.0,27.0,0,0,2938.86,24,1,9.833254,7.9861174
0,0,1,0,0,0,9709.845,0.0,17.0,1,0,0.0,25,1,9.180896,0.0
1,0,2,1,0,0,26166.84,14.0,25.0,1,1,0.0,26,1,10.172248,0.0
1,0,2,0,0,0,18185.492,16.0,19.0,0,1,687.04663,27,1,9.808379,6.5338564
0,1,2,0,1,0,6311.917,12.0,12.0,0,0,0.0,28,1,8.750195,0.0
0,0,1,0,1,0,22539.896,31.0,31.0,0,1,4136.7876,29,1,10.023042,8.327916
0,0,1,0,0,1,4072.5388,12.0,12.0,0,0,79.79275,30,1,8.312022,4.391887
0,0,2,0,1,0,9017.616,17.0,17.0,0,0,609.3264,31,1,9.1069355,6.413994
0,1,3,0,0,0,19462.176,22.0,23.0,0,1,2103.627,32,1,9.876228,7.6518936
0,0,1,0,1,0,13850.777,19.0,22.0,0,0,1263.2124,33,1,9.536097,7.1422048
0,0,1,0,0,0,3998.9636,16.0,12.0,0,1,344.04144,34,1,8.293791,5.8436646
1,0,2,1,0,0,20840.414,22.0,22.0,0,1,2103.627,35,1,9.94465,7.6518936
0,0,1,0,0,0,24889.12,23.0,31.0,1,0,2182.3833,36,1,10.122186,7.688631
1,0,4,0,0,0,43478.758,33.0,39.0,0,0,7186.5283,37,1,10.680028,8.880103
1,0,2,0,1,0,11348.187,16.0,16.0,0,1,768.9119,38,1,9.336813,6.646276
1,0,5,0,0,0,9022.798,12.0,12.0,1,1,0.0,39,1,9.10751,0.0
0,0,1,0,0,1,11847.668,19.0,19.0,0,0,1361.6581,40,1,9.379887,7.2171926
1,0,2,0,0,0,29213.47,25.0,29.0,0,1,4111.917,41,1,10.282385,8.321888
1,0,6,0,0,0,133025.9,49.0,50.0,0,1,29139.896,42,1,11.798299,10.279898
1,0,6,0,1,0,19987.564,19.0,19.0,0,0,1480.829,43,1,9.902865,7.3010325
1,0,3,0,1,0,20854.922,22.0,22.0,0,0,2297.4094,44,1,9.945345,7.7399726
1,0,4,0,0,0,41904.664,25.0,39.0,0,1,3023.8342,45,1,10.643152,8.014611
0,1,2,0,0,0,43481.867,41.0,41.0,0,1,8644.56,46,1,10.6800995,9.064801
1,0,5,0,0,0,25067.357,19.0,22.0,1,1,1815.5441,47,1,10.129322,7.504691
0,0,1,0,1,0,8986.528,16.0,17.0,0,0,617.6166,48,1,9.103482,6.4274855
1,0,2,0,0,0,21234.197,19.0,22.0,0,0,2012.4352,49,1,9.963368,7.607598
1,0,6,0,0,0,149401.03,50.0,50.0,0,1,31243.523,50,1,11.91439,10.3496
0,0,1,0,0,1,18791.709,27.0,27.0,0,0,3009.3264,51,1,9.841171,8.009804
1,0,2,0,0,0,40625.906,39.0,39.0,0,1,8207.254,52,1,10.612162,9.012896
1,0,2,0,0,0,34632.125,29.0,33.0,0,0,4476.684,53,1,10.452537,8.406861
0,1,2,0,0,0,26725.389,28.0,32.0,0,0,4088.083,54,1,10.193369,8.316076
1,0,2,0,0,0,23875.648,25.0,25.0,0,0,3075.6477,55,1,10.080614,8.031596
0,1,2,0,0,0,9688.083,16.0,16.0,0,0,468.39377,56,1,9.178652,6.151442
1,0,2,1,1,0,11953.368,16.0,16.0,0,0,719.17096,57,1,9.388768,6.5794888
1,0,3,0,1,0,25354.404,25.0,25.0,0,0,3360.6218,58,1,10.140708,8.120179
0,0,2,0,0,0,41844.56,33.0,39.0,0,1,7056.9946,59,1,10.641717,8.861917
0,0,1,0,0,1,3678.7566,12.0,12.0,0,0,26.943005,60,1,8.21033,3.3301668
1,0,1,0,0,0,18032.125,33.0,33.0,0,0,3051.8135,61,1,9.799911,8.023819
0,0,1,0,0,0,29630.053,35.0,35.0,0,0,6163.7305,62,1,10.296544,8.7266
1,0,4,0,0,0,50908.81,39.0,39.0,0,1,10023.834,63,1,10.837791,9.212821
1,0,2,0,0,0,52148.188,29.0,44.0,0,0,4250.7773,64,1,10.861845,8.355092
1,0,2,0,0,0,74754.41,44.0,49.0,0,1,14549.223,65,1,11.221964,9.5853615
0,0,1,0,0,1,8659.067,17.0,17.0,0,0,784.45593,66,1,9.066362,6.6662645
1,0,6,0,0,0,18910.88,12.0,19.0,0,1,15.544042,67,1,9.847493,2.806026
1,0,3,0,0,0,169386.53,50.0,50.0,1,1,55564.766,68,1,12.039939,10.925323
0,0,1,0,0,1,5732.6426,16.0,16.0,0,0,302.59067,69,1,8.653932,5.71568
1,0,3,0,0,0,32843.523,29.0,29.0,1,1,4497.409,70,1,10.399509,8.411479
0,0,1,0,0,1,6919.171,16.0,16.0,0,1,493.26425,71,1,8.8420515,6.20307
1,0,3,0,0,0,53563.73,33.0,44.0,0,0,7306.736,72,1,10.888627,8.896688
0,0,1,0,0,1,4197.9272,12.0,12.0,0,0,96.373055,73,1,8.342346,4.5785494
1,0,2,0,0,0,55679.793,44.0,44.0,0,1,13450.777,74,1,10.927373,9.506866
1,0,2,0,1,0,21669.43,22.0,22.0,0,0,2753.368,75,1,9.983658,7.9209433
1,0,3,0,1,0,26180.31,25.0,25.0,0,0,3581.3472,76,1,10.172763,8.183773
1,0,3,0,1,0,12166.84,16.0,16.0,0,0,752.3316,77,1,9.406469,6.6245055
1,0,2,0,0,0,14328.497,16.0,16.0,0,1,1224.8705,78,1,9.570005,7.1114063
0,1,2,0,1,0,5745.0776,12.0,12.0,0,0,0.0,79,1,8.656098,0.0
0,0,1,0,0,0,9045.596,14.0,17.0,0,1,256.9948,80,1,9.110033,5.5529394
1,0,3,0,0,0,42957.51,33.0,39.0,0,0,6297.409,81,1,10.667967,8.748053
0,0,1,1,0,0,10059.067,17.0,17.0,0,1,845.5958,82,1,9.216229,6.7412233
1,0,2,0,0,0,61313.99,39.0,44.0,1,1,0.0,83,1,11.023764,0.0
1,0,4,0,0,0,47442.49,39.0,39.0,0,1,9280.829,84,1,10.767274,9.135814
1,0,1,0,0,0,2893.2642,12.0,12.0,0,0,11.398964,85,1,7.9701405,2.517613
1,0,4,0,0,0,38552.332,29.0,33.0,0,1,4287.047,86,1,10.559772,8.363586
1,0,5,0,0,0,16032.124,16.0,16.0,0,1,569.9482,87,1,9.68235,6.3472986
1,0,2,0,0,0,151910.88,50.0,50.0,1,1,52839.38,88,1,11.931049,10.8750305
1,0,3,0,0,0,51941.97,39.0,44.0,0,0,7618.653,89,1,10.8578825,8.938486
0,0,1,0,1,0,10321.243,19.0,19.0,0,1,1075.6477,90,1,9.24196,6.9816074
0,0,1,0,0,0,11731.606,22.0,19.0,0,0,1737.8239,91,1,9.370042,7.460964
0,0,1,0,0,0,8164.7666,0.0,17.0,0,1,0.0,92,1,9.007584,0.0
0,0,1,0,0,1,11265.285,19.0,19.0,0,0,1252.8497,93,1,9.329481,7.133974
1,0,6,0,0,0,23992.746,22.0,22.0,1,1,0.0,94,1,10.085506,0.0
1,0,5,0,0,0,31669.43,29.0,29.0,0,1,4012.4353,95,1,10.363107,8.297402
1,0,5,0,0,0,35695.336,29.0,29.0,0,1,4614.508,96,1,10.482776,8.437177
1,0,3,0,1,0,7923.316,12.0,12.0,0,0,0.0,97,1,8.977565,0.0
1,0,2,0,0,0,25121.244,22.0,25.0,0,1,2331.6062,98,1,10.131469,7.7547417
1,0,5,0,0,0,30705.7,25.0,29.0,0,0,3006.2175,99,1,10.332204,8.008771
0,0,1,1,0,0,21018.652,27.0,31.0,0,1,2491.1917,100,1,9.953166,7.8209176
