schoolid,male,pped,rep,wt1,mses
10103,0,0,0,2,0.88
10103,0,1,0,4,0.88
10103,1,1,0,10,0.88
10103,1,1,1,1,0.88
10104,0,0,0,7,0.2
10104,0,1,0,8,0.2
10104,1,0,0,6,0.2
10104,1,1,0,8,0.2
10105,0,0,0,3,-0.07
10105,0,1,0,3,-0.07
10105,0,1,1,2,-0.07
10105,1,0,0,2,-0.07
10105,1,0,1,1,-0.07
10105,1,1,0,5,-0.07
10105,1,1,1,2,-0.07
10106,0,1,0,2,0.47
10106,1,1,0,3,0.47
10108,0,1,0,11,0.76
10108,0,1,1,1,0.76
10108,1,1,0,5,0.76
10108,1,1,1,2,0.76
10109,0,1,0,8,1.06
10109,0,1,1,3,1.06
10109,1,0,0,2,1.06
10109,1,0,1,1,1.06
10109,1,1,0,2,1.06
10109,1,1,1,5,1.06
10211,0,0,0,3,0.54
10211,0,1,0,7,0.54
10211,1,0,0,4,0.54
10211,1,0,1,1,0.54
10211,1,1,0,10,0.54
10312,0,0,0,6,0.5
10312,1,0,0,6,0.5
10314,0,0,0,7,0.29
10314,0,0,1,1,0.29
10314,1,0,0,5,0.29
10314,1,0,1,4,0.29
10315,0,0,0,3,0.68
10315,0,0,1,1,0.68
10315,0,1,0,7,0.68
10315,1,0,0,3,0.68
10315,1,0,1,5,0.68
10315,1,1,0,2,0.68
10315,1,1,1,1,0.68
10316,0,0,0,9,-0.29
10316,1,0,0,5,-0.29
10316,1,1,0,1,-0.29
10418,0,1,0,14,0.11
10418,1,0,0,2,0.11
10418,1,1,0,9,0.11
10418,1,1,1,1,0.11
10419,0,0,0,1,-0.19
10419,0,1,0,12,-0.19
10419,1,1,0,12,-0.19
20101,0,0,0,4,0.06
20101,0,0,1,1,0.06
20101,1,0,0,6,0.06
20101,1,0,1,3,0.06
20101,1,1,0,2,0.06
20101,1,1,1,1,0.06
20102,0,0,0,1,0.32
20102,0,1,0,13,0.32
20102,1,0,0,1,0.32
20102,1,1,0,12,0.32
20203,0,1,0,4,-0.38
20203,1,0,0,2,-0.38
20203,1,0,1,1,-0.38
20203,1,1,0,6,-0.38
20203,1,1,1,1,-0.38
20204,0,1,0,5,0.04
20204,1,1,0,11,0.04
20204,1,1,1,1,0.04
20205,0,0,0,1,-0.45
20205,1,0,0,1,-0.45
20205,1,0,1,1,-0.45
20205,1,1,0,6,-0.45
20205,1,1,1,2,-0.45
20206,0,1,0,7,-0.11
20206,0,1,1,1,-0.11
20206,1,1,0,7,-0.11
20206,1,1,1,1,-0.11
20207,0,1,0,11,-0.04
20207,0,1,1,3,-0.04
20207,1,0,0,1,-0.04
20207,1,1,0,10,-0.04
20207,1,1,1,6,-0.04
20308,0,1,0,9,-0.42
20308,0,1,1,3,-0.42
20308,1,1,0,2,-0.42
20308,1,1,1,4,-0.42
20309,0,1,0,1,-0.38
20309,1,1,1,1,-0.38
20310,0,1,0,4,-0.39
20310,0,1,1,3,-0.39
20310,1,1,0,8,-0.39
20310,1,1,1,1,-0.39
20311,0,1,0,5,-0.16
20311,1,1,0,3,-0.16
20311,1,1,1,2,-0.16
20312,0,1,0,14,-0.24
20312,1,1,0,4,-0.24
20414,0,1,0,8,-0.31
20414,0,1,1,1,-0.31
20414,1,0,0,1,-0.31
20414,1,1,0,9,-0.31
20414,1,1,1,2,-0.31
20515,0,0,1,1,-0.52
20515,0,1,0,4,-0.52
20515,0,1,1,3,-0.52
20515,1,1,0,2,-0.52
20515,1,1,1,2,-0.52
20517,0,1,0,4,-0.33
20517,0,1,1,2,-0.33
20517,1,1,0,1,-0.33
20518,0,0,0,2,-0.23
20518,0,1,0,2,-0.23
20518,1,0,0,3,-0.23
20518,1,1,0,4,-0.23
20519,0,1,0,2,-0.45
20519,0,1,1,1,-0.45
20519,1,0,0,2,-0.45
20519,1,1,0,2,-0.45
20520,1,0,0,2,-0.24
20520,1,0,1,2,-0.24
30101,0,0,0,4,0.14
30101,0,1,0,13,0.14
30101,0,1,1,1,0.14
30101,1,0,0,6,0.14
30101,1,1,0,4,0.14
30202,0,0,0,3,-0.16
30202,0,0,1,2,-0.16
30202,0,1,0,6,-0.16
30202,0,1,1,1,-0.16
30202,1,0,1,2,-0.16
30202,1,1,0,8,-0.16
30202,1,1,1,3,-0.16
30203,0,0,0,9,-0.25
30203,0,0,1,1,-0.25
30203,0,1,0,5,-0.25
30203,1,0,0,8,-0.25
30203,1,0,1,3,-0.25
30203,1,1,0,4,-0.25
30204,0,0,0,8,-0.11
30204,0,1,0,1,-0.11
30204,0,1,1,1,-0.11
30204,1,0,0,10,-0.11
30204,1,0,1,5,-0.11
30205,0,0,0,15,0.15
30205,0,0,1,1,0.15
30205,1,0,0,11,0.15
30205,1,0,1,2,0.15
30206,0,0,0,5,-0.08
30206,0,1,0,2,-0.08
30206,1,0,0,5,-0.08
30206,1,0,1,1,-0.08
30206,1,1,0,5,-0.08
30207,0,0,0,7,-0.03
30207,0,0,1,1,-0.03
30207,1,0,0,5,-0.03
30207,1,0,1,4,-0.03
30208,0,0,0,14,-0.09
30208,0,1,0,2,-0.09
30208,1,0,0,7,-0.09
30208,1,0,1,3,-0.09
30309,0,0,0,6,-0.17
30309,0,0,1,1,-0.17
30309,0,1,0,9,-0.17
30309,1,0,0,3,-0.17
30309,1,0,1,2,-0.17
30309,1,1,0,1,-0.17
30309,1,1,1,1,-0.17
30310,0,0,0,5,-0.35
30310,1,0,0,11,-0.35
30310,1,0,1,2,-0.35
30311,0,0,0,9,-0.2
30311,0,0,1,2,-0.2
30311,1,0,0,5,-0.2
30312,0,0,0,3,-0.29
30312,0,0,1,1,-0.29
30312,0,1,0,8,-0.29
30312,1,0,1,2,-0.29
30312,1,1,0,6,-0.29
30312,1,1,1,5,-0.29
30313,0,0,0,5,-0.26
30313,0,0,1,5,-0.26
30313,0,1,0,1,-0.26
30313,1,0,0,4,-0.26
30313,1,0,1,5,-0.26
30414,0,1,0,9,-0.36
30414,1,0,1,1,-0.36
30414,1,1,0,10,-0.36
30416,0,0,0,2,-0.33
30416,0,0,1,2,-0.33
30416,0,1,0,1,-0.33
30416,1,0,0,4,-0.33
30416,1,0,1,2,-0.33
30417,0,1,0,4,-0.24
30417,0,1,1,1,-0.24
30417,1,1,0,8,-0.24
30417,1,1,1,2,-0.24
30418,0,0,0,2,0.35
30418,0,1,0,6,0.35
30418,0,1,1,1,0.35
30418,1,0,0,2,0.35
30418,1,0,1,1,0.35
30418,1,1,0,7,0.35
30519,0,0,0,6,0.02
30519,0,1,0,12,0.02
30519,1,0,0,5,0.02
30519,1,1,0,5,0.02
30520,0,0,0,4,0.15
30520,0,1,0,12,0.15
30520,1,0,0,3,0.15
30520,1,1,0,10,0.15
30520,1,1,1,1,0.15
30521,0,0,0,1,0.17
30521,0,1,0,14,0.17
30521,0,1,1,2,0.17
30521,1,1,0,7,0.17
30521,1,1,1,1,0.17
30522,0,0,0,1,0.24
30522,0,1,0,13,0.24
30522,1,0,0,1,0.24
30522,1,1,0,10,0.24
30522,1,1,1,1,0.24
30523,0,1,0,8,-0.15
30523,1,0,0,3,-0.15
30523,1,1,0,7,-0.15
30525,0,1,0,21,-0.04
30525,0,1,1,1,-0.04
30525,1,1,0,7,-0.04
30526,0,0,0,3,0.13
30526,0,1,0,6,0.13
30526,0,1,1,2,0.13
30526,1,0,0,8,0.13
30526,1,0,1,2,0.13
30526,1,1,0,4,0.13
30627,0,0,0,11,-0.39
30627,0,0,1,2,-0.39
30627,1,0,0,8,-0.39
30627,1,0,1,4,-0.39
30628,0,0,0,13,-0.37
30628,0,0,1,3,-0.37
30628,1,0,0,9,-0.37
30628,1,0,1,3,-0.37
30629,0,0,0,6,-0.62
30629,0,0,1,3,-0.62
30629,1,0,0,10,-0.62
30629,1,0,1,4,-0.62
30630,0,0,0,3,-0.26
30630,0,1,0,7,-0.26
30630,0,1,1,1,-0.26
30630,1,0,0,5,-0.26
30630,1,0,1,2,-0.26
30630,1,1,0,8,-0.26
40101,0,0,0,1,0.28
40101,0,1,0,8,0.28
40101,0,1,1,3,0.28
40101,1,0,0,2,0.28
40101,1,0,1,1,0.28
40101,1,1,0,4,0.28
40101,1,1,1,1,0.28
40102,0,0,0,2,-0.39
40102,0,0,1,1,-0.39
40102,0,1,0,9,-0.39
40102,0,1,1,1,-0.39
40102,1,1,0,10,-0.39
40102,1,1,1,1,-0.39
40203,0,0,0,12,-0.21
40203,0,1,0,1,-0.21
40203,1,0,0,7,-0.21
40203,1,0,1,2,-0.21
40203,1,1,0,1,-0.21
40204,0,0,0,11,0.06
40204,0,0,1,2,0.06
40204,0,1,0,2,0.06
40204,1,0,0,5,0.06
40204,1,0,1,5,0.06
40205,0,0,0,8,-0.15
40205,0,0,1,3,-0.15
40205,0,1,0,2,-0.15
40205,1,0,0,7,-0.15
40205,1,0,1,1,-0.15
40206,0,0,0,5,-0.42
40206,0,0,1,1,-0.42
40206,0,1,0,2,-0.42
40206,1,0,0,8,-0.42
40206,1,0,1,2,-0.42
40206,1,1,0,1,-0.42
50101,0,0,0,1,0.45
50101,0,1,0,14,0.45
50101,0,1,1,2,0.45
50101,1,0,0,2,0.45
50101,1,1,0,10,0.45
50102,0,1,0,14,0.43
50102,1,1,0,12,0.43
50203,0,0,0,7,-0.18
50203,0,1,0,10,-0.18
50203,1,0,0,4,-0.18
50203,1,1,0,3,-0.18
50204,0,0,0,3,0.62
50204,0,0,1,2,0.62
50204,0,1,0,6,0.62
50204,1,0,0,4,0.62
50204,1,0,1,1,0.62
50204,1,1,0,4,0.62
50205,0,0,0,4,0.71
50205,0,1,0,7,0.71
50205,1,0,0,2,0.71
50205,1,1,0,6,0.71
50206,0,0,0,3,0.18
50206,0,1,0,4,0.18
50206,0,1,1,1,0.18
50206,1,0,0,5,0.18
50206,1,0,1,1,0.18
50206,1,1,0,9,0.18
50206,1,1,1,2,0.18
50207,0,0,0,3,0.6
50207,0,1,0,3,0.6
50207,1,0,0,1,0.6
50207,1,1,0,1,0.6
50310,0,0,0,3,-0.13
50310,0,1,0,5,-0.13
50310,1,0,0,3,-0.13
50310,1,0,1,1,-0.13
50310,1,1,0,5,-0.13
50311,0,0,0,6,0.1
50311,1,0,0,7,0.1
50312,0,0,0,1,-0.07
50312,0,0,1,1,-0.07
50312,0,1,0,5,-0.07
50312,0,1,1,2,-0.07
50312,1,0,0,3,-0.07
50312,1,1,0,3,-0.07
50312,1,1,1,1,-0.07
50313,0,0,0,1,0.42
50313,0,1,0,6,0.42
50313,1,0,0,1,0.42
50313,1,0,1,1,0.42
50313,1,1,0,4,0.42
50314,0,0,0,5,0.13
50314,0,1,0,6,0.13
50314,0,1,1,1,0.13
50314,1,0,0,1,0.13
50314,1,1,0,15,0.13
60101,0,0,0,9,0.81
60101,0,1,0,10,0.81
60101,0,1,1,1,0.81
60101,1,1,0,4,0.81
60202,0,0,0,1,0.04
60202,0,1,0,6,0.04
60202,1,1,0,2,0.04
60303,0,0,0,1,0.1
60303,0,1,0,9,0.1
60303,0,1,1,3,0.1
60303,1,1,0,2,0.1
60303,1,1,1,1,0.1
60305,0,0,1,1,0.19
60305,0,1,0,3,0.19
60305,0,1,1,2,0.19
60305,1,0,0,1,0.19
60305,1,0,1,1,0.19
60305,1,1,0,4,0.19
60305,1,1,1,2,0.19
60306,0,0,0,1,-0.03
60306,0,1,0,6,-0.03
60306,0,1,1,1,-0.03
60306,1,0,0,1,-0.03
60306,1,0,1,1,-0.03
60306,1,1,0,8,-0.03
60306,1,1,1,3,-0.03
60307,0,1,0,11,0.17
60307,0,1,1,4,0.17
60307,1,0,0,1,0.17
60307,1,0,1,1,0.17
60307,1,1,0,7,0.17
60307,1,1,1,3,0.17
60408,0,1,0,3,0.27
60408,0,1,1,3,0.27
60408,1,1,0,5,0.27
60409,0,0,0,2,-0.02
60409,0,0,1,1,-0.02
60409,0,1,0,8,-0.02
60409,1,0,0,2,-0.02
60409,1,1,0,9,-0.02
60410,0,0,0,5,0.35
60410,0,0,1,3,0.35
60410,0,1,0,7,0.35
60410,1,0,0,4,0.35
60410,1,1,0,7,0.35
60410,1,1,1,2,0.35
60411,0,1,0,10,0.19
60411,1,0,0,1,0.19
60411,1,1,0,12,0.19
60411,1,1,1,1,0.19
60412,0,0,0,1,0.34
60412,0,1,0,7,0.34
60412,0,1,1,2,0.34
60412,1,0,0,2,0.34
60412,1,1,0,5,0.34
70101,0,0,0,2,0.11
70101,0,0,1,1,0.11
70101,0,1,0,11,0.11
70101,1,0,0,1,0.11
70101,1,1,0,10,0.11
70101,1,1,1,3,0.11
70102,0,1,0,14,0.19
70102,1,0,0,1,0.19
70102,1,1,0,13,0.19
70102,1,1,1,1,0.19
70104,0,0,0,2,-0.16
70104,0,0,1,1,-0.16
70104,0,1,0,4,-0.16
70104,0,1,1,3,-0.16
70104,1,0,0,1,-0.16
70104,1,1,0,11,-0.16
70104,1,1,1,1,-0.16
70105,0,0,0,2,0.11
70105,0,0,1,1,0.11
70105,0,1,0,1,0.11
70105,1,1,0,1,0.11
70107,0,0,0,2,0.03
70107,0,1,0,6,0.03
70107,0,1,1,2,0.03
70107,1,0,1,1,0.03
70107,1,1,0,9,0.03
70107,1,1,1,1,0.03
70209,0,1,0,8,0.13
70209,0,1,1,1,0.13
70209,1,0,0,1,0.13
70209,1,1,0,12,0.13
70209,1,1,1,3,0.13
70210,0,1,0,6,1.3
70210,1,1,0,6,1.3
70211,0,0,0,2,0.4
70211,0,1,0,6,0.4
70211,0,1,1,1,0.4
70211,1,0,0,1,0.4
70211,1,1,0,11,0.4
70212,0,1,0,10,0.45
70212,1,0,0,3,0.45
70213,0,0,0,2,0.19
70213,0,0,1,1,0.19
70213,0,1,0,7,0.19
70213,1,0,0,2,0.19
70213,1,0,1,1,0.19
70213,1,1,0,17,0.19
80101,0,0,0,5,0.14
80101,0,1,0,7,0.14
80101,1,0,0,7,0.14
80101,1,1,0,7,0.14
80102,0,1,0,9,0.6
80102,0,1,1,1,0.6
80102,1,0,0,1,0.6
80102,1,1,0,12,0.6
80102,1,1,1,6,0.6
80104,0,1,0,12,0.14
80104,1,0,0,1,0.14
80104,1,1,0,11,0.14
80205,0,0,0,2,-0.14
80205,0,0,1,4,-0.14
80205,0,1,0,3,-0.14
80205,0,1,1,1,-0.14
80205,1,0,0,3,-0.14
80205,1,0,1,3,-0.14
