id,level,famnum,group,age,sex,tlm,tlpl,tlcpl,tlsub,tlcsub,occ,dtlm
19,-1,1,3,27,1,1.0986123,0.25190514,0.2700271,1.4793292,1.6695918,3,1
19,0,1,3,27,1,1.9459101,0.57089746,0.35065684,3.407842,1.9242487,4,0
19,1,1,3,27,1,1.7491999,0.69253385,0.52472854,2.562639,1.9213246,5,0
20,-1,1,3,34,2,1.178655,0.564096,0.49469623,1.5325569,1.2237755,3,0
20,0,1,3,34,2,1.3862944,0.19222312,0.36464316,1.8640801,1.521699,4,1
20,1,1,3,34,2,2.1102133,0.4081797,0.10436003,2.8225687,1.5560371,5,0
21,-1,1,3,25,2,1.0986123,0.42552567,0.6205765,1.10194,1.5496879,3,1
21,0,1,3,25,2,1.5581446,0.70906377,0.24686006,2.1938858,1.5686159,4,0
21,1,1,3,25,2,1.658228,0.6842981,-0.15082288,2.686486,1.7917595,5,0
70,-1,1,2,69,1,1.178655,0.3946567,0.5364934,1.5040774,1.166271,3,0
70,0,1,2,69,1,1.658228,0.40072325,0.8586616,2.5967462,1.4951488,4,0
70,1,1,2,69,1,1.8718022,0.7721764,0.3435897,2.8449094,1.5368673,5,0
71,-1,1,2,55,2,1.2527629,0.7892113,0.7793249,2.5185025,1.8515995,3,0
71,0,1,2,55,2,1.5040774,0.7580762,0.8109302,2.4501426,1.798404,4,0
71,1,1,2,55,2,1.8718022,0.6836025,0.37156358,2.7650604,2.0347056,5,0
72,-1,1,2,30,1,1.0986123,0.71418345,-0.22314353,1.427916,0.99694866,3,1
72,0,1,2,30,1,1.3862944,0.7398213,-0.15082288,1.5303947,1.3737156,4,1
72,1,1,2,30,1,1.9095426,0.9287381,0.17395335,2.4300983,1.52388,5,0
73,-1,1,2,65,1,1.0986123,0.9003415,0.4054651,0.98954123,1.2919837,3,1
73,0,1,2,65,1,1.446919,1.2459699,0.26236424,2.799109,1.9501867,4,0
73,1,1,2,65,1,1.7491999,1.0355325,0.42526773,2.8707356,1.9329696,5,0
74,-1,1,2,62,2,1.0986123,0.5439315,0.7793249,2.1294215,1.6174061,3,1
74,0,1,2,62,2,1.8325815,0.9327946,0.57661337,3.163363,1.9050881,4,0
