Ttime,Hinc,Psize,traveler,alt
0,35,1,1,4
0,30,2,2,4
0,40,1,3,4
0,70,3,4,4
0,45,2,5,4
40,20,1,6,2
45,45,1,7,1
0,12,1,8,4
0,40,1,9,4
0,70,2,10,4
0,15,2,11,4
0,35,2,12,4
0,50,4,13,4
0,40,1,14,4
0,26,4,15,4
20,26,1,16,2
15,26,1,17,2
20,6,1,18,2
45,20,1,19,2
10,72,2,20,2
20,6,1,21,2
45,10,2,22,2
90,50,1,23,1
50,50,1,24,1
15,18,2,25,1
30,60,1,26,1
80,45,1,27,1
45,18,2,28,1
60,8,2,29,2
2,6,1,30,2
5,20,1,31,2
15,45,1,32,2
45,70,2,33,2
10,4,1,34,2
15,40,1,35,2
10,35,1,36,2
45,40,2,37,2
30,4,3,38,2
55,15,4,39,2
30,26,1,40,1
75,26,1,41,1
40,70,1,42,1
30,70,1,43,1
40,45,2,44,1
45,8,2,45,1
20,70,1,46,1
60,26,2,47,1
40,50,1,48,1
50,10,3,49,1
75,30,1,50,1
90,60,2,51,1
85,30,4,52,1
15,30,1,53,2
30,50,2,54,2
15,6,4,55,2
30,30,1,56,2
45,12,1,57,2
10,36,2,58,2
40,30,1,59,2
50,35,3,60,2
40,6,1,61,2
25,6,1,62,2
25,8,2,63,2
5,6,1,64,2
75,12,2,65,2
10,30,1,66,3
0,35,2,67,4
45,35,1,68,3
40,60,3,69,2
45,60,2,70,2
40,12,2,71,2
30,10,1,72,2
25,10,1,73,2
75,15,1,74,2
30,10,2,75,2
50,8,1,76,2
30,30,1,77,2
0,20,2,78,4
0,70,5,79,4
30,20,1,80,3
60,60,1,81,3
0,70,4,82,4
1,8,1,83,2
25,30,1,84,2
25,70,2,85,1
10,60,1,86,2
0,20,2,87,4
10,15,1,88,2
0,30,2,89,4
20,26,2,90,2
20,35,4,91,2
10,12,1,92,2
0,70,2,93,4
30,50,1,94,1
45,40,2,95,1
30,70,1,96,1
5,10,1,97,3
45,26,1,98,1
40,50,3,99,3
0,70,3,100,4
15,30,1,101,3
0,50,5,102,4
0,20,1,103,4
0,32,2,104,4
0,27,2,105,4
30,30,1,106,3
0,35,1,107,4
0,40,4,108,4
0,60,2,109,4
0,40,4,110,4
0,70,1,111,4
0,70,2,112,4
60,30,2,113,1
30,35,2,114,1
55,60,1,115,1
40,45,1,116,1
40,45,1,117,3
20,6,1,118,3
90,36,1,119,1
10,20,1,120,1
25,20,2,121,1
99,26,1,122,1
30,29,1,123,1
35,8,2,124,1
15,32,1,125,3
30,45,2,126,3
0,45,3,127,4
30,26,2,128,3
0,60,1,129,4
10,10,2,130,2
0,45,2,131,4
0,60,3,132,4
15,60,1,133,3
25,8,1,134,3
0,60,2,135,4
0,12,2,136,4
0,45,1,137,4
5,50,1,138,3
45,26,1,139,3
0,35,3,140,4
30,12,1,141,2
30,15,1,142,2
99,12,4,143,2
25,35,3,144,2
15,26,1,145,2
45,6,1,146,2
30,4,1,147,2
10,40,2,148,2
10,40,1,149,2
45,60,1,150,1
45,4,1,151,1
60,50,1,152,1
60,60,2,153,1
60,70,1,154,1
60,40,2,155,1
45,35,3,156,1
75,60,2,157,1
30,60,1,158,1
90,50,2,159,1
45,40,3,160,1
60,60,1,161,1
75,20,1,162,1
0,50,3,163,4
0,70,4,164,4
0,50,3,165,4
0,26,1,166,4
0,45,4,167,4
0,45,6,168,4
0,30,1,169,4
0,40,3,170,4
0,50,2,171,4
50,35,1,172,3
15,34,1,173,3
15,8,2,174,3
0,30,1,175,4
30,32,1,176,3
15,26,1,177,3
15,42,1,178,3
90,50,1,179,1
15,70,2,180,1
0,30,1,181,4
0,26,1,182,4
20,26,3,183,2
50,18,2,184,2
30,35,2,185,2
15,50,3,186,3
15,4,1,187,1
10,30,4,188,1
0,45,1,189,4
0,60,1,190,4
0,4,1,191,4
30,30,1,192,1
20,60,1,193,1
30,4,2,194,3
10,18,3,195,2
10,15,2,196,2
0,26,1,197,4
30,40,1,198,1
5,70,2,199,1
5,45,4,200,1
16,26,3,201,3
0,35,1,202,4
5,4,1,203,3
10,20,1,204,3
30,45,1,205,3
0,40,1,206,4
45,40,1,207,1
50,2,1,208,3
0,20,1,209,4
0,70,4,210,4
