school,class,thk,prethk,cc,tv
403,403101,3,2,1,0
403,403101,4,4,1,0
403,403101,3,4,1,0
403,403101,4,3,1,0
403,403101,4,3,1,0
403,403101,3,4,1,0
403,403101,2,2,1,0
403,403101,4,4,1,0
403,403101,4,5,1,0
403,403101,4,3,1,0
403,403101,3,3,1,0
403,403101,4,3,1,0
403,403101,3,1,1,0
403,403101,4,2,1,0
403,403101,2,2,1,0
403,403101,4,1,1,0
403,403101,4,4,1,0
403,403101,3,3,1,0
403,403101,3,0,1,0
403,403101,4,3,1,0
403,403102,2,0,1,0
403,403102,4,1,1,0
403,403102,3,5,1,0
404,404101,3,1,1,1
404,404101,4,2,1,1
404,404101,2,4,1,1
404,404101,3,3,1,1
404,404101,2,1,1,1
404,404101,1,1,1,1
404,404101,3,2,1,1
404,404101,4,0,1,1
404,404101,2,1,1,1
404,404101,3,2,1,1
404,404101,4,2,1,1
404,404102,3,1,1,1
404,404102,1,1,1,1
404,404102,1,0,1,1
404,404102,4,4,1,1
404,404102,4,1,1,1
404,404102,3,2,1,1
404,404102,3,1,1,1
404,404102,4,2,1,1
404,404102,2,2,1,1
404,404103,3,2,1,1
404,404103,2,1,1,1
404,404103,2,2,1,1
404,404103,3,1,1,1
404,404103,3,1,1,1
193,193101,2,1,0,0
193,193101,2,3,0,0
193,193101,3,0,0,0
193,193101,2,3,0,0
193,193101,1,1,0,0
193,193101,2,2,0,0
193,193101,4,3,0,0
193,193101,2,3,0,0
193,193101,3,3,0,0
193,193101,3,1,0,0
193,193101,1,5,0,0
193,193101,2,1,0,0
193,193101,1,3,0,0
193,193101,2,2,0,0
193,193101,1,0,0,0
193,193101,4,3,0,0
193,193101,3,4,0,0
193,193101,4,2,0,0
193,193101,4,2,0,0
193,193101,1,3,0,0
193,193101,3,2,0,0
193,193101,3,3,0,0
193,193101,2,1,0,0
193,193101,4,2,0,0
193,193101,3,0,0,0
193,193101,2,3,0,0
194,194101,1,3,0,0
194,194101,2,1,0,0
194,194101,3,2,0,0
194,194101,3,2,0,0
194,194101,1,0,0,0
194,194101,3,0,0,0
194,194101,2,4,0,0
194,194101,2,2,0,0
194,194101,3,1,0,0
194,194101,2,1,0,0
194,194101,1,1,0,0
194,194102,3,2,0,0
194,194102,4,4,0,0
194,194102,3,4,0,0
194,194102,3,2,0,0
194,194102,1,0,0,0
194,194102,4,4,0,0
194,194102,2,4,0,0
194,194102,3,2,0,0
194,194102,2,0,0,0
194,194102,2,4,0,0
194,194103,2,2,0,0
194,194103,2,2,0,0
194,194103,2,2,0,0
194,194103,1,2,0,0
194,194103,4,3,0,0
194,194103,1,2,0,0
194,194103,4,2,0,0
194,194103,1,0,0,0
194,194103,4,0,0,0
194,194103,2,2,0,0
194,194103,1,1,0,0
194,194103,1,3,0,0
194,194103,1,2,0,0
194,194103,1,5,0,0
194,194103,1,1,0,0
194,194104,1,1,0,0
194,194104,4,4,0,0
194,194104,4,3,0,0
194,194104,4,3,0,0
194,194104,3,1,0,0
194,194104,4,5,0,0
194,194104,2,1,0,0
194,194104,3,4,0,0
194,194104,1,2,0,0
194,194104,1,2,0,0
194,194104,1,2,0,0
194,194104,3,2,0,0
194,194105,2,2,0,0
194,194105,2,2,0,0
194,194105,1,2,0,0
194,194105,2,3,0,0
194,194105,2,2,0,0
194,194105,2,4,0,0
194,194105,4,3,0,0
194,194105,4,0,0,0
194,194105,1,0,0,0
194,194105,4,1,0,0
194,194105,3,2,0,0
194,194105,2,1,0,0
194,194106,2,3,0,0
194,194106,2,2,0,0
194,194106,4,2,0,0
194,194106,4,2,0,0
194,194106,4,5,0,0
194,194106,4,3,0,0
194,194106,4,3,0,0
194,194106,3,3,0,0
194,194106,1,1,0,0
194,194106,4,2,0,0
196,196101,4,3,1,0
196,196101,4,3,1,0
196,196101,2,4,1,0
196,196101,4,5,1,0
196,196101,3,1,1,0
196,196101,2,2,1,0
196,196101,4,4,1,0
196,196101,1,2,1,0
196,196101,4,4,1,0
196,196101,2,1,1,0
196,196101,4,2,1,0
196,196101,4,3,1,0
196,196101,3,2,1,0
196,196101,3,4,1,0
196,196101,1,3,1,0
196,196101,4,2,1,0
196,196101,3,2,1,0
196,196101,3,2,1,0
196,196101,3,3,1,0
196,196101,3,2,1,0
196,196101,3,3,1,0
196,196102,4,4,1,0
196,196102,3,3,1,0
196,196102,3,3,1,0
196,196102,3,0,1,0
196,196102,2,0,1,0
196,196102,4,3,1,0
196,196102,4,4,1,0
196,196102,4,2,1,0
196,196102,3,0,1,0
196,196102,4,1,1,0
197,197101,4,2,0,0
197,197101,2,1,0,0
197,197101,4,2,0,0
197,197101,2,2,0,0
197,197101,2,3,0,0
197,197101,3,4,0,0
197,197101,2,1,0,0
197,197101,1,1,0,0
197,197101,3,3,0,0
197,197101,1,0,0,0
197,197101,1,1,0,0
197,197101,1,3,0,0
197,197101,4,3,0,0
197,197101,4,5,0,0
197,197101,2,0,0,0
197,197101,3,4,0,0
197,197101,2,3,0,0
197,197102,4,1,0,0
197,197102,1,0,0,0
197,197102,1,2,0,0
197,197102,4,4,0,0
197,197102,2,2,0,0
197,197102,4,3,0,0
197,197102,3,3,0,0
197,197102,1,3,0,0
197,197102,4,3,0,0
197,197102,2,1,0,0
197,197102,2,3,0,0
197,197102,1,2,0,0
197,197102,1,2,0,0
197,197102,3,3,0,0
197,197102,2,2,0,0
197,197102,1,2,0,0
197,197102,1,2,0,0
197,197102,1,1,0,0
197,197102,1,2,0,0
197,197103,4,0,0,0
197,197103,3,1,0,0
197,197104,1,1,0,0
197,197104,3,2,0,0
197,197104,4,1,0,0
197,197104,2,2,0,0
198,198101,2,1,1,1
198,198101,4,2,1,1
198,198101,4,2,1,1
198,198101,4,4,1,1
198,198101,3,1,1,1
198,198101,4,3,1,1
198,198101,3,5,1,1
198,198101,1,3,1,1
198,198101,4,2,1,1
198,198101,4,2,1,1
198,198101,3,3,1,1
198,198101,4,3,1,1
198,198101,1,3,1,1
198,198101,1,0,1,1
198,198101,4,2,1,1
198,198101,4,3,1,1
198,198101,1,3,1,1
198,198101,4,3,1,1
198,198101,2,1,1,1
198,198101,4,2,1,1
198,198101,1,5,1,1
198,198102,3,3,1,1
