twin1,twin2,num2,dzmz
8,2,3,dz
10,2,1,dz
12,2,2,dz
16,2,1,dz
4,3,1,dz
5,3,1,dz
6,3,1,dz
7,3,4,dz
9,3,3,dz
11,3,2,dz
12,3,2,dz
13,3,2,dz
14,3,1,dz
16,3,3,dz
17,3,1,dz
4,4,1,dz
5,4,3,dz
7,4,1,dz
8,4,3,dz
9,4,4,dz
10,4,3,dz
11,4,1,dz
12,4,1,dz
13,4,1,dz
16,4,2,dz
17,4,2,dz
18,4,1,dz
5,5,1,dz
6,5,2,dz
7,5,4,dz
8,5,1,dz
9,5,2,dz
10,5,4,dz
11,5,2,dz
12,5,2,dz
13,5,2,dz
14,5,2,dz
15,5,1,dz
16,5,1,dz
6,6,3,dz
7,6,6,dz
8,6,6,dz
9,6,6,dz
10,6,2,dz
11,6,4,dz
12,6,2,dz
13,6,1,dz
14,6,2,dz
15,6,2,dz
17,6,1,dz
18,6,1,dz
7,7,1,dz
8,7,4,dz
9,7,2,dz
10,7,1,dz
11,7,4,dz
12,7,4,dz
13,7,1,dz
14,7,5,dz
15,7,1,dz
16,7,1,dz
17,7,1,dz
8,8,4,dz
9,8,5,dz
10,8,2,dz
11,8,4,dz
14,8,2,dz
15,8,1,dz
17,8,2,dz
18,8,3,dz
9,9,3,dz
10,9,2,dz
11,9,4,dz
12,9,2,dz
13,9,3,dz
14,9,1,dz
15,9,2,dz
16,9,4,dz
17,9,1,dz
18,9,1,dz
10,10,3,dz
11,10,2,dz
12,10,4,dz
13,10,1,dz
14,10,2,dz
15,10,4,dz
16,10,1,dz
17,10,1,dz
18,10,3,dz
19,10,1,dz
12,11,1,dz
13,11,3,dz
14,11,4,dz
15,11,5,dz
17,11,2,dz
12,12,1,dz
13,12,7,dz
14,12,2,dz
15,12,2,dz
16,12,2,dz
17,12,2,dz
18,12,1,dz
19,12,1,dz
13,13,1,dz
14,13,1,dz
16,13,1,dz
18,13,2,dz
19,13,1,dz
20,13,1,dz
14,14,1,dz
15,14,4,dz
16,14,4,dz
18,14,1,dz
19,14,1,dz
15,15,2,dz
16,15,3,dz
17,15,3,dz
16,16,2,dz
17,16,1,dz
17,17,1,dz
18,17,1,dz
19,17,2,dz
20,17,1,dz
19,19,1,dz
4,1,1,mz
3,2,1,mz
4,2,3,mz
5,2,1,mz
6,2,1,mz
8,2,1,mz
9,2,1,mz
13,2,1,mz
14,2,1,mz
19,2,1,mz
3,3,1,mz
4,3,4,mz
5,3,1,mz
6,3,2,mz
7,3,5,mz
8,3,1,mz
9,3,2,mz
10,3,5,mz
11,3,1,mz
12,3,2,mz
4,4,2,mz
5,4,12,mz
6,4,6,mz
7,4,5,mz
8,4,1,mz
9,4,1,mz
10,4,3,mz
11,4,1,mz
12,4,3,mz
13,4,2,mz
14,4,1,mz
15,4,2,mz
16,4,1,mz
18,4,1,mz
5,5,4,mz
6,5,11,mz
7,5,8,mz
8,5,4,mz
9,5,5,mz
10,5,2,mz
11,5,4,mz
12,5,3,mz
13,5,4,mz
14,5,3,mz
15,5,1,mz
6,6,6,mz
7,6,7,mz
8,6,8,mz
9,6,12,mz
10,6,3,mz
11,6,3,mz
12,6,4,mz
13,6,5,mz
14,6,2,mz
15,6,2,mz
16,6,1,mz
17,6,1,mz
19,6,1,mz
7,7,6,mz
8,7,6,mz
9,7,9,mz
10,7,8,mz
11,7,3,mz
12,7,4,mz
13,7,4,mz
14,7,3,mz
15,7,1,mz
16,7,2,mz
18,7,1,mz
8,8,3,mz
9,8,8,mz
10,8,5,mz
11,8,9,mz
12,8,6,mz
13,8,7,mz
14,8,1,mz
15,8,4,mz
16,8,1,mz
17,8,1,mz
18,8,1,mz
19,8,1,mz
9,9,7,mz
10,9,5,mz
11,9,8,mz
12,9,8,mz
13,9,7,mz
14,9,4,mz
15,9,4,mz
16,9,2,mz
17,9,2,mz
18,9,2,mz
19,9,2,mz
20,9,1,mz
10,10,4,mz
11,10,3,mz
12,10,9,mz
13,10,6,mz
14,10,4,mz
15,10,1,mz
16,10,4,mz
17,10,3,mz
19,10,1,mz
11,11,5,mz
12,11,4,mz
13,11,6,mz
14,11,9,mz
15,11,2,mz
16,11,4,mz
17,11,2,mz
18,11,1,mz
19,11,1,mz
12,12,3,mz
13,12,6,mz
14,12,4,mz
15,12,5,mz
16,12,5,mz
17,12,1,mz
18,12,2,mz
19,12,1,mz
21,12,1,mz
13,13,3,mz
14,13,13,mz
15,13,7,mz
16,13,6,mz
17,13,4,mz
18,13,2,mz
14,14,5,mz
15,14,7,mz
16,14,4,mz
17,14,6,mz
15,15,3,mz
16,15,4,mz
17,15,6,mz
18,15,5,mz
16,16,1,mz
17,16,9,mz
18,16,1,mz
17,17,1,mz
18,17,4,mz
19,17,2,mz
18,18,1,mz
19,18,3,mz
19,19,1,mz
