rater,video,y,novice
1,4,6,1
1,8,0,1
1,9,18,1
1,11,12,1
1,13,14,1
1,16,19,1
2,4,5,1
2,6,4,1
2,9,13,1
2,10,13,1
2,12,0,1
2,15,16,1
3,3,20,1
3,5,13,1
3,6,1,1
3,8,0,1
3,9,15,1
3,14,15,1
4,1,9,1
4,7,22,1
4,9,19,1
4,10,18,1
4,13,14,1
4,14,14,1
5,1,11,1
5,2,0,1
5,3,21,1
5,9,19,1
5,11,10,1
5,15,19,1
6,2,1,1
6,5,13,1
6,7,22,1
6,9,16,1
6,12,0,1
6,16,22,1
7,1,12,1
7,2,0,1
7,4,0,1
7,6,1,1
7,7,22,1
7,8,0,1
8,2,1,1
8,3,19,1
8,4,5,1
8,5,14,1
8,10,15,1
8,13,14,1
9,4,9,1
9,5,16,1
9,7,15,1
9,11,10,1
9,14,12,1
9,15,19,1
10,1,10,1
10,3,17,1
10,4,7,1
10,12,0,1
10,14,13,1
10,16,20,1
11,2,0,1
11,8,0,1
11,12,0,1
11,13,13,1
11,14,16,1
11,15,22,1
12,3,20,1
12,7,20,1
12,8,0,1
12,10,12,1
12,11,10,1
12,12,0,1
13,1,6,1
13,5,15,1
13,8,0,1
13,10,17,1
13,15,19,1
13,16,22,1
14,1,8,1
14,5,16,1
14,6,1,1
14,11,11,1
14,12,0,1
14,13,15,1
15,3,21,1
15,6,1,1
15,7,18,1
15,13,16,1
15,15,21,1
15,16,22,1
16,2,0,1
16,6,1,1
16,10,18,1
16,11,15,1
16,14,10,1
16,16,21,1
17,1,10,0
17,2,0,0
17,3,21,0
17,4,8,0
17,5,18,0
17,6,4,0
17,7,16,0
17,8,0,0
17,9,18,0
17,10,16,0
17,11,10,0
17,12,0,0
17,13,16,0
17,14,12,0
17,15,19,0
17,16,20,0
18,1,10,0
18,2,0,0
18,3,21,0
18,4,5,0
18,5,19,0
18,6,7,0
18,7,18,0
18,8,0,0
18,9,16,0
18,10,15,0
18,11,12,0
18,12,0,0
18,13,14,0
18,14,14,0
18,15,20,0
18,16,21,0
