nr,year,agric,black,bus,construc,ent,exper,fin,hisp,poorhlth,hours,manuf,married,min,nrthcen,nrtheast,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,per,pro,pub,rur,south,educ,tra,trad,union,lwage,d81,d82,d83,d84,d85,d86,d87,expersq
13,1980,0,0,1,0,0,1,0,0,0,2672,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.1975402,0,0,0,0,0,0,0,1
13,1981,0,0,0,0,0,2,0,0,0,2320,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,1,1.85306,1,0,0,0,0,0,0,4
13,1982,0,0,1,0,0,3,0,0,0,2940,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.3444617,0,1,0,0,0,0,0,9
13,1983,0,0,1,0,0,4,0,0,0,2960,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1.4332134,0,0,1,0,0,0,0,16
13,1984,0,0,0,0,0,5,0,0,0,3071,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,1.5681251,0,0,0,1,0,0,0,25
13,1985,0,0,1,0,0,6,0,0,0,2864,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.699891,0,0,0,0,1,0,0,36
13,1986,0,0,1,0,0,7,0,0,0,2994,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-0.7202626,0,0,0,0,0,1,0,49
13,1987,0,0,1,0,0,8,0,0,0,2640,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.6691879,0,0,0,0,0,0,1,64
17,1980,0,0,0,0,0,4,0,0,0,2484,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.6759624,0,0,0,0,0,0,0,16
17,1981,0,0,0,0,0,5,0,0,0,2804,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.5183982,1,0,0,0,0,0,0,25
17,1982,0,0,0,0,0,6,0,0,0,2530,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.5591905,0,1,0,0,0,0,0,36
17,1983,0,0,0,0,0,7,0,0,0,2340,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7254101,0,0,1,0,0,0,0,49
17,1984,0,0,0,0,0,8,0,0,0,2486,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.6220223,0,0,0,1,0,0,0,64
17,1985,0,0,0,1,0,9,0,0,0,2164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.6085882,0,0,0,0,1,0,0,81
17,1986,0,0,0,1,0,10,0,0,0,2749,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.5723854,0,0,0,0,0,1,0,100
17,1987,0,0,0,1,0,11,0,0,0,2476,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1.8203338,0,0,0,0,0,0,1,121
18,1980,0,0,0,0,0,4,0,0,0,2332,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.5159627,0,0,0,0,0,0,0,16
18,1981,0,0,0,0,0,5,0,0,0,2116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.7353791,1,0,0,0,0,0,0,25
18,1982,0,0,0,0,0,6,0,0,0,2500,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.6317437,0,1,0,0,0,0,0,36
18,1983,0,0,0,0,0,7,0,0,0,2474,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.9982288,0,0,1,0,0,0,0,49
18,1984,0,0,0,0,0,8,0,0,0,2362,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.1840143,0,0,0,1,0,0,0,64
18,1985,0,0,0,0,0,9,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.2666621,0,0,0,0,1,0,0,81
18,1986,0,0,0,0,0,10,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.069944,0,0,0,0,0,1,0,100
18,1987,0,0,0,0,0,11,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.8731608,0,0,0,0,0,0,1,121
45,1980,0,0,0,0,0,2,0,0,0,1864,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,1,1.894115,0,0,0,0,0,0,0,4
45,1981,0,0,0,0,0,3,0,0,0,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,1,1.4711593,1,0,0,0,0,0,0,9
45,1982,0,0,0,0,0,4,0,0,0,2274,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.4734975,0,1,0,0,0,0,0,16
45,1983,0,0,0,0,0,5,0,0,0,2112,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.7409142,0,0,1,0,0,0,0,25
45,1984,0,0,1,0,0,6,0,0,0,1920,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.8232137,0,0,0,1,0,0,0,36
45,1985,0,0,0,0,0,7,0,0,0,2205,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.9082729,0,0,0,0,1,0,0,49
45,1986,0,0,0,0,0,8,0,0,0,2551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.7424474,0,0,0,0,0,1,0,64
45,1987,0,0,0,1,0,9,0,0,0,2860,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.135689,0,0,0,0,0,0,1,81
110,1980,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1.9487748,0,0,0,0,0,0,0,25
110,1981,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9622593,1,0,0,0,0,0,0,36
110,1982,0,0,0,0,0,7,0,0,0,2639,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9632968,0,1,0,0,0,0,0,49
110,1983,0,0,0,0,0,8,0,0,0,2223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2.2025156,0,0,1,0,0,0,0,64
110,1984,0,0,0,0,0,9,0,0,0,2150,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.1349542,0,0,0,1,0,0,0,81
110,1985,0,0,1,0,0,10,0,0,0,1532,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.1258228,0,0,0,0,1,0,0,100
110,1986,0,0,0,0,0,11,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.9910166,0,0,0,0,0,1,0,121
110,1987,0,0,0,0,0,12,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.1123934,0,0,0,0,0,0,1,144
120,1980,0,0,0,0,0,2,0,0,0,1025,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0.25855488,0,0,0,0,0,0,0,4
120,1981,0,0,0,0,0,3,0,0,0,1496,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.3199717,1,0,0,0,0,0,0,9
120,1982,0,0,0,0,0,4,0,0,0,1394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.4620852,0,1,0,0,0,0,0,16
120,1983,0,0,0,0,0,5,0,0,0,2924,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.3202869,0,0,1,0,0,0,0,25
120,1984,0,0,0,0,1,6,0,0,0,3564,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1.7036465,0,0,0,1,0,0,0,36
120,1985,0,0,0,0,0,7,0,0,0,3979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.4458032,0,0,0,0,1,0,0,49
120,1986,0,0,0,0,0,8,1,0,0,4351,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.806364,0,0,0,0,0,1,0,64
120,1987,0,0,1,0,0,9,0,0,0,3568,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2.1481202,0,0,0,0,0,0,1,81
126,1980,0,0,0,0,0,2,0,0,0,3115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7372855,0,0,0,0,0,0,0,4
126,1981,0,0,0,0,0,3,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.9896009,1,0,0,0,0,0,0,9
126,1982,0,0,0,0,0,4,0,0,0,2390,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.1899168,0,1,0,0,0,0,0,16
126,1983,0,0,0,0,0,5,0,0,0,2340,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.8554633,0,0,1,0,0,0,0,25
126,1984,0,0,0,0,0,6,0,0,0,2250,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.9224378,0,0,0,1,0,0,0,36
126,1985,0,0,0,0,0,7,0,0,0,2340,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.061024,0,0,0,0,1,0,0,49
126,1986,0,0,0,0,0,8,0,0,0,2941,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7822016,0,0,0,0,0,1,0,64
126,1987,0,0,0,0,0,9,0,0,0,2847,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.4146817,0,0,0,0,0,0,1,81
150,1980,0,0,1,0,0,2,0,0,0,1876,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.2087353,0,0,0,0,0,0,0,4
150,1981,0,0,1,0,0,3,0,0,0,2327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1940397,1,0,0,0,0,0,0,9
150,1982,0,0,1,0,0,4,0,0,0,2006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1704406,0,1,0,0,0,0,0,16
150,1983,0,0,1,0,0,5,0,0,0,1826,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.0979645,0,0,1,0,0,0,0,25
150,1984,0,0,1,0,0,6,0,0,0,3414,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0.7658162,0,0,0,1,0,0,0,36
150,1985,0,0,1,0,0,7,0,0,0,3928,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1.119026,0,0,0,0,1,0,0,49
150,1986,0,0,1,0,0,8,0,0,0,4000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1193668,0,0,0,0,0,1,0,64
150,1987,0,0,1,0,0,9,0,0,0,4992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,0.8314595,0,0,0,0,0,0,1,81
162,1980,0,0,0,0,0,2,0,0,0,1874,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0.50247014,0,0,0,0,0,0,0,4
162,1981,0,0,0,0,0,3,0,0,0,1710,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.0649123,1,0,0,0,0,0,0,9
162,1982,0,0,0,0,0,4,0,0,0,1488,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.189498,0,1,0,0,0,0,0,16
162,1983,0,0,0,0,0,5,0,0,0,939,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1.5398885,0,0,1,0,0,0,0,25
162,1984,0,0,0,0,0,6,0,0,0,1980,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.598286,0,0,0,1,0,0,0,36
162,1985,0,0,0,0,0,7,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.7373207,0,0,0,0,1,0,0,49
162,1986,0,0,0,0,0,8,0,0,0,2720,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.9884559,0,0,0,0,0,1,0,64
162,1987,0,0,0,0,0,9,0,0,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,2.1586785,0,0,0,0,0,0,1,81
166,1980,0,0,0,0,0,2,0,0,0,1296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.005294,0,0,0,0,0,0,0,4
166,1981,0,0,0,0,0,3,0,0,0,1942,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,0.9376874,1,0,0,0,0,0,0,9
166,1982,0,0,0,0,0,4,0,0,0,1245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.3674877,0,1,0,0,0,0,0,16
166,1983,0,0,0,0,0,5,0,0,0,1196,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.3780087,0,0,1,0,0,0,0,25
