case,wemp,husunemp,time,under1,under5,age
1,1,0,9,1,1,-12
1,0,0,10,0,1,-11
1,0,0,11,0,1,-10
1,0,0,12,0,1,-9
6,1,0,-1,0,0,7
6,1,0,0,0,0,8
6,0,0,1,0,0,9
6,0,0,2,0,0,10
6,1,0,3,0,0,11
6,1,0,4,0,0,12
6,1,0,5,0,0,13
6,1,0,6,0,0,14
6,1,0,7,0,0,15
6,1,0,8,0,0,16
6,1,0,9,0,0,17
6,1,0,10,0,0,18
6,1,0,11,0,0,19
6,1,0,12,0,0,20
20,1,0,5,0,0,-11
20,1,0,6,0,0,-10
20,1,0,7,0,0,-9
20,0,0,8,1,1,-8
20,1,0,9,0,1,-7
20,1,0,10,0,1,-6
20,1,0,11,0,1,-5
20,1,0,12,1,1,-4
24,1,0,-1,0,0,-2
24,1,0,0,0,0,-1
24,1,0,1,0,0,0
24,1,0,2,0,0,1
24,1,0,3,0,0,2
24,1,0,4,0,0,3
24,1,0,5,0,0,4
24,1,0,6,0,0,5
24,1,0,7,0,0,6
24,1,0,8,0,0,7
24,1,0,9,0,0,8
24,1,0,10,0,0,9
24,1,0,11,0,0,10
24,1,0,12,0,0,11
26,1,0,-1,0,0,0
26,1,0,0,0,0,1
26,1,0,1,0,0,2
26,1,0,2,0,0,3
26,1,0,3,0,0,4
26,1,0,4,0,0,5
26,1,0,5,0,0,6
26,1,0,6,0,0,7
26,1,0,7,0,0,8
26,1,0,8,0,0,9
26,1,0,9,0,0,10
26,1,0,10,0,0,11
26,1,0,11,0,0,12
26,1,0,12,0,0,13
32,1,0,-1,0,0,8
32,1,0,0,0,0,9
32,1,1,1,0,0,10
32,1,0,2,0,0,11
32,1,0,3,0,0,12
32,1,0,4,0,0,13
32,1,0,5,0,0,14
32,1,0,6,0,0,15
32,1,0,7,0,0,16
32,1,0,8,0,0,17
32,1,0,9,0,0,18
32,1,0,10,0,0,19
32,1,0,11,0,0,20
32,1,0,12,0,0,21
38,1,0,5,0,0,-15
38,0,1,6,1,1,-14
38,0,1,7,0,1,-13
38,0,0,8,0,1,-12
38,0,0,9,0,1,-11
38,0,0,10,0,1,-10
38,0,0,11,0,0,-9
38,0,0,12,0,0,-8
50,0,0,11,1,1,-9
50,0,0,12,0,1,-8
52,1,0,-1,0,0,-11
52,0,0,0,1,1,-10
52,0,0,1,0,1,-9
52,0,0,2,0,1,-8
52,0,0,3,1,1,-7
52,0,0,4,0,1,-6
52,0,0,5,0,1,-5
52,1,0,6,0,1,-4
52,1,0,7,0,1,-3
52,1,0,8,0,0,-2
52,1,0,9,0,0,-1
52,1,0,10,0,0,0
52,1,0,11,0,0,1
52,1,0,12,0,0,2
57,1,0,10,0,0,-10
57,1,0,11,0,0,-9
57,1,0,12,0,0,-8
65,0,0,4,0,0,-13
65,1,0,5,0,0,-12
65,1,0,6,0,0,-11
65,0,0,7,0,0,-10
65,1,0,8,1,1,-9
65,1,0,9,0,1,-8
65,1,0,10,1,1,-7
65,1,0,11,0,1,-6
65,1,0,12,0,1,-5
78,1,0,0,0,1,-1
78,1,0,1,0,0,0
78,1,0,2,0,0,1
78,1,0,3,0,0,2
78,1,0,4,0,0,3
78,1,0,5,0,0,4
78,1,0,6,0,0,5
78,1,0,7,0,0,6
78,1,0,8,0,0,7
78,1,0,9,0,0,8
78,1,1,10,0,0,9
78,1,0,11,0,0,10
78,1,0,12,0,0,11
84,0,1,11,0,1,-2
84,0,1,12,0,1,-1
88,0,0,3,1,1,-14
88,0,1,4,0,1,-13
88,0,1,5,1,1,-12
88,0,1,6,1,1,-11
88,0,1,7,1,1,-10
88,0,1,8,1,1,-9
88,0,1,9,0,1,-8
88,0,1,10,0,1,-7
88,0,1,11,0,1,-6
88,0,1,12,1,1,-5
95,1,0,-1,0,0,9
95,1,0,0,0,0,10
95,1,0,1,0,0,11
95,1,0,2,0,0,12
95,1,0,3,0,0,13
95,1,0,4,0,0,14
95,1,0,5,0,0,15
95,1,0,6,0,0,16
104,1,0,3,0,0,-10
104,0,0,4,0,0,-9
104,0,0,5,1,1,-8
104,0,0,6,0,1,-7
104,0,0,7,1,1,-6
104,0,0,8,0,1,-5
104,0,0,9,0,1,-4
104,0,0,10,1,1,-3
104,1,0,11,0,1,-2
104,1,0,12,0,1,-1
106,1,0,-1,0,0,10
106,1,0,0,0,0,11
106,1,0,1,0,0,12
106,1,0,2,0,0,13
106,1,0,3,0,0,14
106,1,0,4,0,0,15
106,0,0,5,0,0,16
106,0,1,6,0,0,17
106,0,1,7,0,0,18
106,0,1,8,0,0,19
106,0,0,9,0,0,20
106,0,0,10,0,0,21
119,0,0,7,1,1,-13
119,0,1,8,0,1,-12
119,0,1,9,1,1,-11
119,0,1,10,0,1,-10
119,0,1,11,0,1,-9
119,0,0,12,0,1,-8
129,1,0,-1,0,1,-10
129,1,0,0,0,1,-9
129,1,0,1,0,1,-8
129,1,0,2,0,1,-7
129,1,0,3,0,0,-6
129,1,0,4,0,0,-5
129,1,0,5,0,0,-4
129,1,0,6,0,0,-3
129,1,0,7,0,0,-2
129,1,0,8,0,0,-1
129,1,0,9,0,0,0
129,1,0,10,0,0,1
129,1,0,11,0,0,2
129,1,0,12,0,0,3
131,1,0,-1,0,0,-3
131,1,0,0,0,0,-2
131,1,0,1,0,0,-1
131,0,0,2,0,0,0
131,1,0,3,0,0,1
131,1,0,4,0,0,2
131,1,0,5,0,0,3
131,1,0,6,0,0,4
131,1,1,7,0,0,5
131,1,0,8,0,0,6
131,1,0,9,0,0,7
131,1,1,10,0,0,8
131,1,0,11,0,0,9
131,1,0,12,0,0,10
133,0,0,-1,0,1,-9
133,0,0,0,0,1,-8
133,0,0,1,0,1,-7
133,0,0,2,0,1,-6
133,0,0,3,0,0,-5
133,1,0,4,0,0,-4
133,1,0,5,0,0,-3
133,1,0,6,0,0,-2
133,0,0,7,1,1,-1
133,0,0,8,0,1,0
133,1,0,9,0,1,1
133,1,0,10,0,1,2
133,1,0,11,0,1,3
133,1,0,12,0,0,4
155,0,0,9,0,1,-5
155,0,0,10,0,1,-4
155,0,0,11,0,0,-3
155,0,0,12,0,0,-2
162,0,0,-1,0,1,-14
162,0,0,0,1,1,-13
162,0,0,1,0,1,-12
162,0,0,2,0,1,-11
162,0,0,3,0,1,-10
162,1,0,4,0,1,-9
162,1,0,5,0,0,-8
162,1,0,6,0,0,-7
162,1,0,7,0,0,-6
162,0,1,8,0,0,-5
162,0,1,9,0,0,-4
162,0,0,10,0,0,-3
162,0,1,11,0,0,-2
162,0,1,12,0,0,-1
164,1,0,-1,0,0,-12
164,1,0,0,0,0,-11
164,1,0,1,0,0,-10
164,1,0,2,0,0,-9
164,1,0,3,0,0,-8
164,1,0,4,0,0,-7
164,1,0,5,0,0,-6
164,1,0,6,0,0,-5
164,1,0,7,0,0,-4
164,1,0,8,0,0,-3
164,1,0,9,0,0,-2
164,1,0,10,0,0,-1
164,1,0,11,0,0,0
164,1,0,12,0,0,1
187,0,0,8,0,0,-15
187,0,0,9,1,1,-14
187,0,0,10,0,1,-13
187,0,1,11,0,1,-12
187,0,0,12,0,1,-11
200,0,0,8,0,0,0
200,0,0,9,0,0,1
200,0,0,10,0,0,2
200,0,0,11,0,0,3
200,0,0,12,0,0,4
205,1,0,1,0,0,-3
205,1,0,2,0,0,-2
205,0,0,3,1,1,-1
205,0,0,4,0,1,0
205,0,0,5,0,1,1
205,0,0,6,1,1,2
205,0,0,7,0,1,3
205,0,0,8,0,1,4
205,0,0,9,0,1,5
205,1,0,10,0,1,6
205,1,0,11,0,0,7
205,1,0,12,0,0,8
207,1,0,2,0,0,-9
207,1,0,3,0,0,-8
207,1,0,4,0,0,-7
207,1,0,5,0,0,-6
207,1,0,6,0,0,-5
207,1,0,7,0,0,-4
207,1,0,8,0,0,-3
207,1,0,9,0,0,-2
207,1,0,10,0,0,-1
207,1,0,11,0,0,0
207,1,0,12,0,0,1
211,1,0,-1,0,0,5
211,1,0,0,0,0,6
211,1,0,1,0,0,7
211,1,0,2,0,0,8
211,1,0,3,0,0,9
211,1,0,4,0,0,10
211,1,0,5,0,0,11
211,1,0,6,0,0,12
211,0,0,7,0,0,13
211,0,0,8,0,0,14
211,0,0,9,0,0,15
211,1,0,10,0,0,16
211,1,0,11,0,0,17
211,1,0,12,0,0,18
213,1,0,2,0,0,14
213,1,0,3,0,0,15
213,1,0,4,0,0,16
213,1,0,5,0,0,17
213,0,0,6,0,0,18
213,0,0,7,0,0,19
219,1,0,-1,0,0,6
219,1,0,0,0,0,7
219,1,0,1,0,0,8
219,1,0,2,0,0,9
219,1,0,3,0,0,10
219,1,0,4,0,0,11
219,0,0,5,0,0,12
219,0,0,6,0,0,13
219,0,0,7,0,0,14
219,1,0,8,0,0,15
219,1,0,9,0,0,16
219,1,0,10,0,0,17
219,1,0,11,0,0,18
219,1,0,12,0,0,19
223,1,0,5,0,0,-12
223,1,0,6,0,0,-11
223,0,0,7,1,1,-10
223,1,0,8,0,1,-9
223,1,0,9,0,1,-8
223,1,0,10,0,1,-7
223,0,0,11,1,1,-6
223,1,0,12,0,1,-5
232,1,0,-1,0,0,9
232,1,0,0,0,0,10
232,1,0,1,0,0,11
232,1,0,2,0,0,12
232,1,0,3,0,0,13
232,1,0,4,0,0,14
232,0,0,5,0,0,15
232,0,0,6,0,0,16
232,0,0,7,0,0,17
232,0,0,8,0,0,18
232,0,0,9,0,0,19
234,0,1,11,0,0,-16
234,0,1,12,0,0,-15
236,1,0,-1,0,0,11
236,1,0,0,0,0,12
236,1,0,1,0,0,13
236,1,0,2,0,0,14
236,1,0,3,0,0,15
236,1,0,4,0,0,16
236,1,0,5,0,0,17
236,1,0,6,0,0,18
236,1,0,7,0,0,19
236,1,0,8,0,0,20
236,1,0,9,0,0,21
236,1,0,10,0,0,22
236,1,0,11,0,0,23
236,1,0,12,0,0,24
242,1,0,-1,0,0,11
242,1,0,0,0,0,12
242,1,0,1,0,0,13
242,1,0,2,0,0,14
242,1,0,3,0,0,15
242,1,0,4,0,0,16
242,0,0,5,0,0,17
242,1,0,6,0,0,18
242,1,0,7,0,0,19
242,1,0,8,0,0,20
242,1,1,9,0,0,21
242,1,0,10,0,0,22
242,1,0,11,0,0,23
242,1,0,12,0,0,24
246,1,0,8,0,0,-13
246,1,0,9,0,0,-12
246,1,0,10,0,0,-11
246,1,0,11,1,1,-10
246,1,0,12,0,1,-9
258,0,0,-1,1,1,-5
258,0,0,0,0,1,-4
258,0,0,1,1,1,-3
258,0,0,2,0,1,-2
258,0,0,3,0,1,-1
258,0,0,4,0,1,0
258,0,0,5,0,1,1
258,0,0,6,0,0,2
258,0,0,7,0,0,3
258,1,0,8,0,0,4
258,1,0,9,0,0,5
258,1,0,10,0,0,6
258,1,0,11,0,0,7
258,1,0,12,0,0,8
268,0,0,-1,0,1,-6
268,0,0,0,0,1,-5
268,0,0,1,0,1,-4
268,0,0,2,0,0,-3
268,0,0,3,0,0,-2
268,0,0,4,0,0,-1
268,0,0,5,0,0,0
268,1,0,6,0,0,1
268,0,0,7,0,0,2
268,0,0,8,0,0,3
268,0,0,9,0,0,4
268,0,0,10,0,0,5
268,0,0,11,0,0,6
268,0,0,12,0,0,7
274,0,0,-1,0,1,-3
274,0,0,0,1,1,-2
274,0,0,1,0,1,-1
274,1,0,2,1,1,0
274,1,0,3,0,1,1
274,1,0,4,0,1,2
274,1,0,5,0,1,3
274,1,0,6,0,1,4
274,1,0,7,0,0,5
274,1,0,8,0,0,6
274,1,0,9,0,0,7
274,1,0,10,0,0,8
274,0,0,11,0,0,9
274,0,0,12,0,0,10
277,0,0,1,0,0,-2
277,0,0,2,1,1,-1
277,1,0,3,1,1,0
277,1,0,4,0,1,1
277,1,0,5,0,1,2
277,1,0,6,0,1,3
277,1,0,7,0,1,4
277,1,0,8,0,0,5
277,1,0,9,0,0,6
277,1,0,10,0,0,7
277,1,0,11,0,0,8
277,0,0,12,0,0,9
280,1,0,7,0,0,4
280,1,0,8,0,0,5
280,1,0,9,0,0,6
280,1,0,10,0,0,7
280,1,0,11,0,0,8
280,1,0,12,0,0,9
282,1,0,2,0,0,-11
282,1,0,3,0,0,-10
282,1,0,4,1,1,-9
282,1,0,5,0,1,-8
282,1,0,6,0,1,-7
282,1,0,7,1,1,-6
282,1,0,8,0,1,-5
282,1,0,9,0,1,-4
282,1,0,10,0,1,-3
282,1,0,11,0,1,-2
282,1,0,12,0,0,-1
286,1,0,-1,0,1,-9
286,1,0,0,0,0,-8
286,1,0,1,0,0,-7
286,1,0,2,0,0,-6
286,1,0,3,0,0,-5
286,1,0,4,0,0,-4
286,1,0,5,0,0,-3
286,1,0,6,0,0,-2
286,1,0,7,0,0,-1
286,1,0,8,0,0,0
286,1,0,9,0,0,1
286,1,0,10,0,0,2
286,1,0,11,0,0,3
286,1,0,12,0,0,4
