plot,variety,yield,moist
1,1,41,10
2,1,69,57
3,1,53,32
4,1,66,52
5,1,64,47
6,1,64,48
1,2,49,30
2,2,44,21
3,2,44,20
4,2,46,26
5,2,57,44
6,2,42,19
1,3,69,50
2,3,62,40
3,3,50,23
4,3,76,58
5,3,48,21
6,3,55,30
1,4,48,22
2,4,60,40
3,4,45,17
4,4,47,21
5,4,62,44
6,4,43,13
1,5,65,49
2,5,63,44
3,5,71,57
4,5,68,51
5,5,52,27
6,5,68,52
1,6,76,55
2,6,46,11
3,6,45,11
4,6,67,43
5,6,65,38
6,6,79,60
1,7,35,17
2,7,37,20
3,7,30,11
4,7,30,10
5,7,57,48
6,7,49,36
1,8,75,57
2,8,64,41
3,8,46,15
4,8,54,28
5,8,52,23
6,8,52,23
1,9,51,26
2,9,63,44
3,9,42,13
4,9,61,40
5,9,67,48
6,9,69,53
1,10,60,37
2,10,73,58
3,10,66,44
4,10,71,53
5,10,67,48
6,10,74,59
