obs,husbinc,region,workstat,chilpres
1,15,Ontario,0,1
2,13,Ontario,0,1
3,45,Ontario,0,1
4,23,Ontario,0,1
5,19,Ontario,0,1
6,7,Ontario,0,1
7,15,Ontario,0,1
8,7,Ontario,2,1
9,15,Ontario,0,1
10,23,Ontario,0,1
11,23,Ontario,0,1
12,13,Ontario,2,1
13,9,Prairie,0,1
14,9,Prairie,0,1
15,45,Atlantic,0,1
16,15,Atlantic,0,1
17,5,Ontario,0,1
18,9,Ontario,0,1
19,13,Ontario,0,1
20,13,Ontario,0,0
21,19,Ontario,1,0
22,23,Prairie,0,1
23,10,Prairie,2,0
24,11,Ontario,2,0
25,23,Ontario,0,1
26,23,Ontario,0,1
27,19,Ontario,0,1
28,19,Ontario,0,1
29,17,Prairie,0,1
30,14,Prairie,2,1
31,13,Ontario,0,1
32,13,Ontario,0,1
33,15,Ontario,0,1
34,9,Ontario,0,0
35,9,Ontario,0,0
36,19,Ontario,0,0
37,15,Ontario,0,1
38,20,Ontario,2,0
39,9,Atlantic,0,1
40,6,Atlantic,1,0
41,9,BC,0,1
42,4,Ontario,1,1
43,28,Ontario,1,0
44,23,Ontario,0,1
45,5,Ontario,1,1
46,28,Ontario,0,1
47,7,Ontario,0,1
48,7,Ontario,0,1
49,23,Prairie,0,1
50,15,Prairie,2,0
51,10,Prairie,1,1
52,10,Prairie,1,1
53,9,Ontario,0,0
54,9,Ontario,0,0
55,9,Atlantic,1,1
56,17,Atlantic,0,0
57,23,Atlantic,0,1
58,23,Atlantic,0,1
59,9,Ontario,0,1
60,9,Ontario,0,1
61,9,Ontario,2,0
62,28,Ontario,2,0
63,10,Ontario,1,1
64,23,Prairie,1,0
65,11,Prairie,0,1
66,15,Ontario,0,1
67,15,Ontario,0,1
68,19,Ontario,0,1
69,19,Ontario,0,1
70,23,Ontario,0,1
71,17,Ontario,0,1
72,17,Ontario,0,1
73,17,Ontario,0,1
74,17,Ontario,0,1
75,17,Ontario,0,1
76,38,Ontario,1,1
77,38,Ontario,1,1
78,7,Atlantic,0,1
79,19,Prairie,0,1
80,19,BC,1,1
81,13,Ontario,2,0
82,15,Ontario,1,1
83,17,Ontario,2,1
84,17,Ontario,2,1
85,23,Ontario,1,1
86,27,BC,2,0
87,16,BC,2,1
88,27,Ontario,2,0
89,35,Ontario,0,0
90,35,Ontario,0,0
91,35,Ontario,0,0
92,9,Ontario,1,1
93,9,Ontario,1,1
94,9,Ontario,1,1
95,13,Ontario,0,1
96,17,Ontario,0,1
97,17,Ontario,0,1
98,15,Ontario,2,0
99,15,Ontario,2,0
100,15,Ontario,0,1
101,11,Atlantic,2,0
102,23,Atlantic,0,1
103,15,Atlantic,0,1
104,15,BC,0,0
105,12,BC,1,0
106,12,BC,1,0
107,13,Prairie,0,1
108,19,Ontario,0,1
109,19,Atlantic,0,1
110,3,Atlantic,0,1
111,9,Atlantic,0,1
112,17,Atlantic,2,1
113,1,Atlantic,0,1
114,1,Atlantic,0,1
115,13,Prairie,1,1
116,13,Prairie,0,1
117,19,BC,0,0
118,19,BC,0,0
119,15,BC,2,0
120,30,Ontario,1,1
121,9,Atlantic,0,1
122,23,Atlantic,0,1
123,9,Ontario,2,0
124,9,Ontario,2,0
125,13,Prairie,0,1
126,13,Ontario,1,1
127,17,Atlantic,0,1
128,13,Prairie,1,1
129,13,Prairie,1,1
130,19,Ontario,1,1
131,19,Ontario,1,1
132,3,Ontario,0,1
133,14,Ontario,2,0
134,14,Ontario,2,0
135,11,Ontario,2,1
136,11,Ontario,2,1
137,14,Ontario,1,1
138,13,Ontario,0,1
139,28,Ontario,0,1
140,28,Ontario,0,1
141,14,Ontario,0,1
142,14,Ontario,0,1
143,11,Prairie,0,1
144,13,Prairie,0,1
145,13,Prairie,0,1
146,11,Atlantic,1,1
147,11,Atlantic,1,1
148,19,BC,0,1
149,6,BC,2,0
150,28,BC,0,0
151,13,BC,2,0
152,13,BC,2,0
153,5,BC,0,0
154,28,BC,1,1
155,11,BC,1,1
156,23,BC,0,1
157,15,BC,1,1
158,13,BC,0,1
159,22,Ontario,2,0
160,15,Ontario,2,0
161,15,Ontario,0,1
162,15,Atlantic,0,1
163,5,Atlantic,2,1
164,1,Prairie,2,0
165,1,Prairie,2,0
166,9,Atlantic,0,1
167,15,Ontario,0,1
168,13,Ontario,2,0
169,19,Atlantic,0,1
170,8,BC,1,1
171,7,Prairie,2,1
172,19,Ontario,0,1
173,7,Ontario,0,1
174,9,Ontario,2,0
175,9,Ontario,2,0
176,24,Ontario,2,0
177,15,Ontario,0,1
178,13,Ontario,2,0
179,13,BC,0,0
180,13,BC,2,0
181,17,Atlantic,2,1
182,16,Atlantic,2,0
183,18,Ontario,2,0
184,18,Ontario,2,0
185,13,Ontario,0,0
186,15,BC,1,1
187,13,BC,0,1
188,7,BC,0,1
189,9,Atlantic,2,1
190,23,BC,0,1
191,17,Prairie,0,1
192,15,BC,0,1
193,11,Prairie,0,1
194,17,Prairie,0,1
195,17,Prairie,0,1
196,5,Prairie,2,1
197,5,Prairie,2,1
198,26,Ontario,0,1
199,10,Quebec,2,0
200,11,Quebec,2,0
201,20,Quebec,2,1
202,13,Quebec,0,1
203,15,Quebec,0,1
204,28,Quebec,0,1
205,9,Quebec,1,1
206,19,Quebec,0,1
207,11,Quebec,0,1
208,11,Quebec,2,0
209,9,Quebec,0,1
210,10,Quebec,2,0
211,19,Quebec,0,1
212,13,Quebec,0,1
213,3,Quebec,2,0
214,15,Quebec,0,1
215,15,Quebec,0,1
216,17,Quebec,1,1
217,7,Quebec,0,1
218,15,Quebec,1,0
219,19,Quebec,0,1
220,16,Quebec,2,0
221,5,Quebec,0,0
222,11,Quebec,0,1
223,11,Quebec,0,1
224,19,Quebec,0,1
225,15,Quebec,0,1
226,15,Quebec,0,1
227,11,Quebec,0,1
228,5,Quebec,2,0
229,23,Quebec,1,1
230,23,Quebec,1,1
231,7,Quebec,0,1
232,13,Quebec,0,1
233,15,Quebec,2,0
234,5,Quebec,2,0
235,7,Quebec,0,1
236,6,Quebec,2,0
237,5,Quebec,2,1
238,5,Quebec,2,1
239,13,Quebec,0,1
240,13,Quebec,0,1
241,13,Quebec,0,1
242,13,Quebec,0,0
243,17,Quebec,0,1
244,6,Quebec,2,1
245,5,Quebec,0,1
246,19,Quebec,1,1
247,3,Quebec,2,1
248,23,Quebec,0,0
249,23,Quebec,0,0
250,15,Quebec,2,0
251,11,Quebec,0,0
252,23,Quebec,0,0
253,13,Quebec,0,1
254,23,Quebec,1,1
255,11,Quebec,2,0
256,9,Quebec,0,0
257,2,Quebec,2,0
258,15,Quebec,0,1
259,15,Quebec,0,0
260,15,Quebec,0,1
261,11,Quebec,0,1
262,11,Quebec,0,0
263,15,Quebec,0,1
