house,occ,brand,choice,feature,price
1,1,1,0,0,0.108
1,1,2,0,0,0.081
1,1,3,0,0,0.061
1,1,4,1,0,0.079
1,2,1,0,0,0.108
1,2,2,1,0,0.098
1,2,3,0,0,0.064
1,2,4,0,0,0.075
1,3,1,0,0,0.108
1,3,2,1,0,0.098
1,3,3,0,0,0.061
1,3,4,0,0,0.086
1,4,1,0,0,0.108
1,4,2,1,0,0.098
1,4,3,0,0,0.061
1,4,4,0,0,0.086
1,5,1,0,0,0.125
1,5,2,1,0,0.098
1,5,3,0,0,0.049
1,5,4,0,0,0.079
1,6,1,0,0,0.108
1,6,2,1,0,0.092
1,6,3,0,0,0.05
1,6,4,0,0,0.079
1,7,1,0,0,0.103
1,7,2,1,0,0.081
1,7,3,0,0,0.049
1,7,4,0,0,0.079
1,8,1,0,0,0.108
1,8,2,0,0,0.086
1,8,3,0,0,0.054
1,8,4,1,0,0.079
2,1,1,1,0,0.108
2,1,2,0,0,0.098
2,1,3,0,0,0.05
2,1,4,0,0,0.079
2,2,1,1,0,0.108
2,2,2,0,0,0.098
2,2,3,0,0,0.05
2,2,4,0,0,0.079
2,3,1,1,0,0.108
2,3,2,0,0,0.098
2,3,3,0,0,0.05
2,3,4,0,0,0.079
2,4,1,1,0,0.108
2,4,2,0,0,0.098
2,4,3,0,0,0.05
2,4,4,0,0,0.079
2,5,1,0,0,0.108
2,5,2,0,0,0.081
2,5,3,0,0,0.05
2,5,4,1,0,0.086
2,6,1,0,0,0.108
2,6,2,0,0,0.081
2,6,3,0,0,0.05
2,6,4,1,0,0.086
2,7,1,0,0,0.108
2,7,2,0,0,0.081
2,7,3,0,0,0.05
2,7,4,1,0,0.079
2,8,1,0,0,0.108
2,8,2,0,0,0.081
2,8,3,0,0,0.05
2,8,4,1,0,0.079
2,9,1,0,0,0.108
2,9,2,0,0,0.081
2,9,3,0,0,0.05
2,9,4,1,0,0.079
2,10,1,0,0,0.108
2,10,2,0,0,0.081
2,10,3,0,0,0.05
2,10,4,1,0,0.079
2,11,1,0,0,0.108
2,11,2,0,0,0.081
2,11,3,0,0,0.05
2,11,4,1,0,0.079
2,12,1,0,0,0.108
2,12,2,0,0,0.081
2,12,3,0,0,0.05
2,12,4,1,0,0.081
2,13,1,0,0,0.108
2,13,2,0,0,0.081
2,13,3,0,0,0.05
2,13,4,1,0,0.079
2,14,1,0,0,0.108
2,14,2,0,0,0.081
2,14,3,0,0,0.05
2,14,4,1,0,0.079
2,15,1,0,0,0.108
2,15,2,0,0,0.081
2,15,3,0,0,0.05
2,15,4,1,0,0.079
2,16,1,0,0,0.108
2,16,2,0,0,0.081
2,16,3,0,0,0.05
2,16,4,1,0,0.081
2,17,1,0,0,0.112
2,17,2,0,0,0.081
2,17,3,0,0,0.05
2,17,4,1,0,0.079
2,18,1,0,0,0.112
2,18,2,0,0,0.081
2,18,3,0,0,0.05
2,18,4,1,0,0.079
2,19,1,0,0,0.112
2,19,2,0,0,0.081
2,19,3,0,0,0.05
2,19,4,1,0,0.079
2,20,1,0,0,0.108
2,20,2,0,0,0.081
2,20,3,0,0,0.05
2,20,4,1,0,0.081
3,1,1,0,0,0.11
3,1,2,1,0,0.049
3,1,3,0,0,0.061
3,1,4,0,0,0.079
3,2,1,0,0,0.103
3,2,2,1,0,0.044
3,2,3,0,0,0.049
3,2,4,0,0,0.079
3,3,1,0,0,0.103
3,3,2,1,0,0.044
3,3,3,0,0,0.049
3,3,4,0,0,0.079
3,4,1,1,0,0.032
3,4,2,0,0,0.095
3,4,3,0,0,0.058
3,4,4,0,0,0.103
3,5,1,1,0,0.108
3,5,2,0,0,0.095
3,5,3,0,0,0.058
3,5,4,0,0,0.103
3,6,1,1,0,0.108
3,6,2,0,0,0.095
3,6,3,0,0,0.058
3,6,4,0,0,0.103
3,7,1,1,0,0.055
3,7,2,0,0,0.086
3,7,3,0,0,0.054
3,7,4,0,0,0.079
3,8,1,1,0,0.083
3,8,2,0,0,0.086
3,8,3,0,0,0.054
3,8,4,0,0,0.079
3,9,1,1,0,0.083
3,9,2,0,0,0.086
3,9,3,0,0,0.054
3,9,4,0,0,0.079
3,10,1,1,0,0.115
3,10,2,0,0,0.086
3,10,3,0,0,0.056
3,10,4,0,1,0.063
3,11,1,1,0,0.032
3,11,2,0,0,0.086
3,11,3,0,0,0.056
3,11,4,0,1,0.063
3,12,1,0,0,0.115
3,12,2,0,0,0.086
3,12,3,0,0,0.061
3,12,4,1,1,0.063
3,13,1,0,0,0.115
3,13,2,1,0,0.055
3,13,3,0,0,0.061
3,13,4,0,0,0.064
3,14,1,0,0,0.115
3,14,2,1,0,0.063
3,14,3,0,1,0.061
3,14,4,0,0,0.079
3,15,1,0,0,0.042
3,15,2,1,0,0.031
3,15,3,0,0,0.061
3,15,4,0,1,0.063
4,1,1,0,0,0.11
4,1,2,0,0,0.081
4,1,3,1,0,0.066
4,1,4,0,0,0.079
4,2,1,0,0,0.11
4,2,2,0,0,0.081
4,2,3,1,0,0.066
4,2,4,0,0,0.079
4,3,1,0,0,0.135
4,3,2,1,0,0.081
4,3,3,0,0,0.066
4,3,4,0,0,0.079
4,4,1,0,0,0.135
4,4,2,1,0,0.081
4,4,3,0,0,0.066
4,4,4,0,0,0.079
4,5,1,0,0,0.11
4,5,2,0,0,0.081
4,5,3,1,0,0.061
4,5,4,0,0,0.079
4,6,1,0,0,0.11
4,6,2,0,0,0.081
4,6,3,1,0,0.061
4,6,4,0,0,0.079
4,7,1,0,0,0.103
4,7,2,0,0,0.081
4,7,3,1,0,0.049
4,7,4,0,0,0.079
4,8,1,0,0,0.108
4,8,2,1,0,0.086
4,8,3,0,0,0.05
4,8,4,0,0,0.079
4,9,1,0,0,0.112
4,9,2,1,0,0.086
4,9,3,0,1,0.061
4,9,4,0,0,0.079
4,10,1,1,0,0.025
4,10,2,0,0,0.086
4,10,3,0,0,0.054
4,10,4,0,0,0.079
4,11,1,1,0,0.058
4,11,2,0,0,0.086
4,11,3,0,1,0.025
4,11,4,0,0,0.079
4,12,1,1,0,0.058
4,12,2,0,0,0.086
4,12,3,0,1,0.025
4,12,4,0,0,0.079
4,13,1,0,0,0.115
4,13,2,0,0,0.086
4,13,3,0,0,0.061
4,13,4,1,1,0.063
4,14,1,0,0,0.11
4,14,2,1,0,0.019
4,14,3,0,0,0.054
4,14,4,0,0,0.079
5,1,1,1,0,0.103
5,1,2,0,0,0.098
5,1,3,0,0,0.049
5,1,4,0,0,0.079
5,2,1,1,0,0.103
5,2,2,0,0,0.098
5,2,3,0,0,0.049
5,2,4,0,0,0.079
5,3,1,1,0,0.103
5,3,2,0,0,0.098
5,3,3,0,0,0.049
5,3,4,0,0,0.079
5,4,1,0,0,0.108
5,4,2,1,0,0.086
5,4,3,0,0,0.054
5,4,4,0,0,0.079
5,5,1,0,0,0.108
5,5,2,1,0,0.086
5,5,3,0,0,0.054
5,5,4,0,0,0.079
5,6,1,0,0,0.108
5,6,2,1,0,0.086
5,6,3,0,0,0.054
5,6,4,0,0,0.079
5,7,1,1,0,0.108
5,7,2,0,0,0.086
5,7,3,0,0,0.054
5,7,4,0,0,0.079
5,8,1,1,0,0.108
5,8,2,0,0,0.086
5,8,3,0,0,0.054
5,8,4,0,0,0.079
5,9,1,0,0,0.108
5,9,2,1,0,0.086
5,9,3,0,0,0.054
5,9,4,0,0,0.079
5,10,1,0,0,0.108
5,10,2,1,0,0.086
5,10,3,0,0,0.054
5,10,4,0,0,0.079
5,11,1,0,0,0.108
5,11,2,1,0,0.086
5,11,3,0,0,0.025
5,11,4,0,0,0.079
5,12,1,0,0,0.108
5,12,2,1,0,0.086
5,12,3,0,0,0.025
5,12,4,0,0,0.079
5,13,1,0,0,0.122
5,13,2,1,0,0.086
5,13,3,0,0,0.05
5,13,4,0,0,0.086
5,14,1,1,0,0.125
5,14,2,0,0,0.086
5,14,3,0,0,0.05
5,14,4,0,0,0.086
6,1,1,0,0,0.115
6,1,2,0,0,0.086
6,1,3,0,0,0.061
6,1,4,1,1,0.074
6,2,1,0,0,0.115
6,2,2,0,0,0.086
6,2,3,0,0,0.061
6,2,4,1,1,0.074
6,3,1,0,0,0.108
6,3,2,0,0,0.069
6,3,3,0,0,0.061
6,3,4,1,0,0.086
6,4,1,0,0,0.108
6,4,2,0,0,0.069
6,4,3,0,0,0.061
6,4,4,1,0,0.086
6,5,1,0,0,0.115
6,5,2,0,0,0.051
6,5,3,0,0,0.066
6,5,4,1,0,0.086
6,6,1,0,0,0.115
6,6,2,0,0,0.051
6,6,3,0,0,0.066
6,6,4,1,0,0.086
6,7,1,0,0,0.115
6,7,2,0,0,0.081
6,7,3,0,0,0.066
6,7,4,1,0,0.081
6,8,1,0,0,0.115
6,8,2,0,0,0.081
6,8,3,0,0,0.066
6,8,4,1,0,0.081
6,9,1,0,0,0.115
6,9,2,0,0,0.081
6,9,3,0,0,0.061
6,9,4,1,0,0.081
6,10,1,0,0,0.115
6,10,2,0,0,0.081
6,10,3,0,0,0.061
6,10,4,1,0,0.081
6,11,1,1,0,0.112
6,11,2,0,0,0.081
6,11,3,0,0,0.061
6,11,4,0,0,0.081
6,12,1,1,0,0.112
6,12,2,0,0,0.081
6,12,3,0,0,0.061
6,12,4,0,0,0.081
6,13,1,1,0,0.122
6,13,2,0,0,0.086
6,13,3,0,0,0.061
6,13,4,0,0,0.086
6,14,1,1,0,0.122
6,14,2,0,0,0.086
6,14,3,0,0,0.061
6,14,4,0,0,0.086
6,15,1,1,0,0.122
6,15,2,0,0,0.086
6,15,3,0,0,0.061
