id,data,model,n,p,q,ntheta,ngrp
A0,bs10,1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H),1104,4,416,20,2
A1,genetics,1+A+(1|G)+(1|H),60,5,16,2,2
A2,rail,1+(1|G),18,1,6,1,1
A3,kb07,1+S+T+U+V+W+X+Z+((1+S+T+U+V+W+X+Z)|G)+((1+S+T+U+V+W+X+Z)|H),1790,8,704,72,2
A4,kb07,1+S+T+U+V+W+X+Z+(1|G)+((0+S)|G)+((0+T)|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+((0+X)|G)+((0+Z)|G)+(1|H)+((0+S)|H)+((0+T)|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)+((0+X)|H)+((0+Z)|H),1790,8,704,16,2
A5,bond,1+A+(1|G),21,3,7,1,1
A7,ml1m,1+(1|G)+(1|H),1000209,1,9746,2,2
A8,ergostool,1+A+(1|G),36,4,9,1,1
A9,cake,1+A*B+(1|G),270,6,45,1,1
AA,cultivation,1+A*B+(1|G),24,6,4,1,1
AB,cultivation,1+A+B+(1|G),24,4,4,1,1
AC,cultivation,1+A+(1|G),24,3,4,1,1
AD,pastes,1+(1|G)+(1|H),60,1,40,2,2
AE,exam,1+A*U+B+(1|G),4059,6,65,1,1
AF,exam,1+A+B+U+(1|G),4059,5,65,1,1
AG,wwheat,1+U+((1+U)|G),60,2,20,3,1
AH,pixel,1+U+V+((1+U)|G)+(1|H),102,3,50,4,2
AI,teachingii,1+A+T+U+V+W+X+Z+(1|G),96,12,12,1,1
AJ,avgdailygain,1+A*U+(1|G),32,4,8,1,1
AK,avgdailygain,1+A+U+(1|G),32,3,8,1,1
AL,insteval,1+A+(1|G)+(1|H)+(1|I),73421,2,4114,3,3
AM,insteval,1+A*I+(1|G)+(1|H),73421,28,4100,2,2
AN,poems,1+U+V+W+(1|G)+(1|H)+(1|I),275996,4,2728,3,3
AO,d3,1+U+(1|G)+(1|H)+(1|I),130418,2,4932,3,3
AP,d3,1+U+((1+U)|G)+((1+U)|H)+((1+U)|I),130418,2,9864,9,3
AQ,hsb82,1+A+B+C+U+(1|G),7185,5,160,1,1
AR,alfalfa,1+A*B+(1|G),72,12,6,1,1
AS,alfalfa,1+A+B+(1|G),72,6,6,1,1
AT,gasoline,1+U+(1|G),32,2,10,1,1
AU,semiconductor,1+A*B+(1|G),48,4,12,1,1
AV,weights,1+A*U+((1+U)|G),399,6,114,3,1
AW,dyestuff2,1+(1|G),30,1,6,1,1
AX,chem97,1+(1|G)+(1|H),31022,1,2541,2,2
AY,chem97,1+U+(1|G)+(1|H),31022,2,2541,2,2
AZ,animal,1+(1|G)+(1|H),20,1,15,2,2
Aa,penicillin,1+(1|G)+(1|H),144,1,30,2,2
Ab,dyestuff,1+(1|G),30,1,6,1,1
Ac,cbpp,1+A+(1|G),56,4,15,1,1
Ad,early,1+U+U&A+((1+U)|G),309,3,206,3,1
Ae,scotssec,1+A+U+V+(1|G)+(1|H),3435,4,167,2,2
Af,paulsim,1+S+T+U+(1|H)+(1|G),15419,4,269,2,2
Ag,sleepstudy,1+U+((1+U)|G),180,2,36,3,1
Ah,sleepstudy,1+U+(1|G)+((0+U)|G),180,2,36,2,1
Ai,oxboys,1+U+((1+U)|G),234,2,52,3,1
Aj,multilocation,1+A+((0+A)|G)+(1|H),108,2,12,2,2
Ak,semi2,1+A+(1|G)+(1|H),72,2,32,2,2
Al,dialectnl,1+A+T+U+V+W+X+(1|G)+(1|H)+(1|I),225866,7,1013,3,3
Am,incblk,1+A+U+V+W+Z+(1|G),24,8,12,1,1
An,gb12,1+S+T+U+V+W+X+Z+((1+S+U+W)|G)+((1+S+T+V)|H),512,8,192,20,2
Ao,mississippi,1+A+(1|G),37,3,6,1,1
Ap,sims,1+U+((1+U)|G),3691,2,380,3,1
Aq,egsingle,1+A+U+V+(1|G)+(1|H),7230,4,1781,2,2
Ar,demand,1+U+V+W+X+(1|G)+(1|H),77,5,18,2,2
As,pbib,1+A+(1|G),60,2,15,1,1
At,assay,1+A+B*C+(1|G)+(1|H),60,13,22,2,2
Au,hr,1+A*U+V+((1+U)|G),120,7,48,3,1
Av,bib,1+A*U+(1|G),24,4,8,1,1
Aw,bib,1+A+U+(1|G),24,3,8,1,1
